synthetic_species_id,world,orientation,target_fold,D3_support_cells,legal_target_fold_plots_in_support,plots_per_occupied_cell,target_fold_TI_sum_in_support,kish_effective_plot_information,mean_expected_total_tree_count,latent_concentration_D3,two_panel_plot_fraction,three_panel_plot_fraction,dominant_panel_role,E1_hellinger,E4_hellinger,E0_test_appearance_count,E5_test_appearance_count,individual_gain_missing_semantics,E0_individual_gain_pp_mean_over_test_appearances,E5_individual_gain_pp_mean_over_MC_and_test_appearances,E5_minus_E0_individual_gain_pp
SYN001,STRONG,AB,B,137,2421,17.67153284671533,21910532.973047957,1540.6980064065096,1640.0849609375,0.025340973596092616,0.0,1.0,3_PANEL,0.11982444259131843,0.007831648539437689,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN001,STRONG,BA,A,137,1608,11.737226277372264,21911341.078867342,1045.3936804113478,1091.5150146484375,0.025340973596092616,1.0,0.0,2_PANEL,0.15461461034608998,0.008837221064983296,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN001,PAIRED_NULL,AB,B,137,2421,17.67153284671533,21910532.973047957,1540.6980064065096,2493.5,0.025532958944756753,0.0,1.0,3_PANEL,0.12644298486912411,0.007830700698359732,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN001,PAIRED_NULL,BA,A,137,1608,11.737226277372264,21911341.078867342,1045.3936804113478,1714.324951171875,0.025532958944756753,1.0,0.0,2_PANEL,0.14657721944867674,0.008977394981559727,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN002,STRONG,AB,B,65,2037,31.338461538461537,21666054.225496754,1768.7212121751825,1533.5050048828125,0.054854186684438755,0.0,1.0,3_PANEL,0.09096392110574353,0.005271722881260669,3,600,OBSERVED_IN_FROZEN_TEST_SPLITS,8.576982264863075,-88.06730304368718,-96.64428530855025
SYN002,STRONG,BA,A,65,1357,20.876923076923077,21706742.14299064,1170.960613785983,1028.010009765625,0.054854186684438755,1.0,0.0,2_PANEL,0.08601173532393531,0.006189723906510962,3,600,OBSERVED_IN_FROZEN_TEST_SPLITS,8.576982264863075,-141.0076756194208,-149.58465788428387
SYN002,PAIRED_NULL,AB,B,65,2037,31.338461538461537,21666054.225496754,1768.7212121751825,1325.9599609375,0.054854186684438755,0.0,1.0,3_PANEL,0.08393500441024927,0.00487408180407198,3,600,OBSERVED_IN_FROZEN_TEST_SPLITS,-0.21900244794476795,5.988438862937769,6.207441310882537
SYN002,PAIRED_NULL,BA,A,65,1357,20.876923076923077,21706742.14299064,1170.960613785983,875.0050048828125,0.054854186684438755,1.0,0.0,2_PANEL,0.0928354879551304,0.007856543707525771,3,600,OBSERVED_IN_FROZEN_TEST_SPLITS,-0.21900244794476795,6.111980204214935,6.330982652159703
SYN003,STRONG,AB,B,170,6321,37.18235294117647,64892231.84577579,5229.338598812343,1503.925048828125,0.03234618528692708,0.0,1.0,3_PANEL,0.1280686375992035,0.007963882966933481,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN003,STRONG,BA,A,170,4230,24.88235294117647,65232452.31078985,3407.06676442615,971.2050170898438,0.03234618528692708,1.0,0.0,2_PANEL,0.159726164041146,0.010703803521578929,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN003,PAIRED_NULL,AB,B,170,6321,37.18235294117647,64892231.84577579,5229.338598812343,1607.56494140625,0.03368533066816692,0.0,1.0,3_PANEL,0.12810617792146614,0.008728752876285389,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN003,PAIRED_NULL,BA,A,170,4230,24.88235294117647,65232452.31078985,3407.06676442615,1050.125,0.03368533066816692,1.0,0.0,2_PANEL,0.17621782847324893,0.011005559043935053,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN004,STRONG,AB,B,148,7018,47.41891891891892,66308746.67020604,5982.23299801444,1701.2449951171875,0.024482113127460427,0.0,1.0,3_PANEL,0.12040349492097732,0.008008618636410714,2,400,OBSERVED_IN_FROZEN_TEST_SPLITS,6.621267399402441,-3.6859854738866566,-10.307252873289098
SYN004,STRONG,BA,A,148,4576,30.91891891891892,65427431.832337126,3889.046808849607,1125.385009765625,0.024482113127460427,1.0,0.0,2_PANEL,0.1367793440182265,0.00914264563539784,2,400,OBSERVED_IN_FROZEN_TEST_SPLITS,6.621267399402441,-8.500372445196222,-15.121639844598663
SYN004,PAIRED_NULL,AB,B,148,7018,47.41891891891892,66308746.67020604,5982.23299801444,1741.81005859375,0.024482113127460424,0.0,1.0,3_PANEL,0.11307637537545163,0.007722418713629207,2,400,OBSERVED_IN_FROZEN_TEST_SPLITS,-0.1748079397210554,1.975376819611048,2.1501847593321033
SYN004,PAIRED_NULL,BA,A,148,4576,30.91891891891892,65427431.832337126,3889.046808849607,1129.7750244140625,0.024482113127460424,1.0,0.0,2_PANEL,0.14524126938607718,0.009913203666382969,2,400,OBSERVED_IN_FROZEN_TEST_SPLITS,-0.1748079397210554,1.4244898433592033,1.5992977830802586
SYN005,STRONG,AB,B,134,3716,27.73134328358209,38386681.700051814,3277.3790479243094,1562.8599853515625,0.026871860898672873,0.0,1.0,3_PANEL,0.12009345418790221,0.007129987294848039,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN005,STRONG,BA,A,134,2380,17.761194029850746,37294584.68750153,2093.230429876982,1025.574951171875,0.026871860898672873,1.0,0.0,2_PANEL,0.12850212771602298,0.009914824011449849,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN005,PAIRED_NULL,AB,B,134,3716,27.73134328358209,38386681.700051814,3277.3790479243094,1623.239990234375,0.02742944203978379,0.0,1.0,3_PANEL,0.11483615511384351,0.008073465897498548,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN005,PAIRED_NULL,BA,A,134,2380,17.761194029850746,37294584.68750153,2093.230429876982,1000.760009765625,0.02742944203978379,1.0,0.0,2_PANEL,0.13632053419942064,0.009650503189618596,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN006,STRONG,AB,B,65,1695,26.076923076923077,17701452.74727051,1518.5989741787184,1576.9849853515625,0.060141523860409274,0.0,1.0,3_PANEL,0.08922333665704091,0.004868622246983198,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN006,STRONG,BA,A,65,1134,17.446153846153845,17766681.524245284,993.5687476106508,1043.85498046875,0.060141523860409274,1.0,0.0,2_PANEL,0.11575777259480437,0.006188663991148069,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN006,PAIRED_NULL,AB,B,65,1695,26.076923076923077,17701452.74727051,1518.5989741787184,1617.89501953125,0.06024361986627654,0.0,1.0,3_PANEL,0.0832152906054105,0.005304576743999278,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN006,PAIRED_NULL,BA,A,65,1134,17.446153846153845,17766681.524245284,993.5687476106508,1101.9849853515625,0.06024361986627654,1.0,0.0,2_PANEL,0.08768319970956619,0.005964468856042088,0,0,NO_FROZEN_TEST_APPEARANCE,nan,nan,nan
SYN007,STRONG,AB,B,122,2239,18.352459016393443,23393213.88925735,1932.5274405642656,1486.1949462890625,0.08616003849379084,0.0,1.0,3_PANEL,0.12230796802245827,0.006703084921312623,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,27.576559528872124,24.962886037438274,-2.6136734914338504
SYN007,STRONG,BA,A,122,1485,12.172131147540984,23238063.97616443,1278.701368721846,967.5050048828125,0.08616003849379084,1.0,0.0,2_PANEL,0.1439505609912682,0.008714414164419208,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,27.576559528872124,32.327901402181,4.751341873308874
SYN007,PAIRED_NULL,AB,B,122,2239,18.352459016393443,23393213.88925735,1932.5274405642656,1469.425048828125,0.0931981300193403,0.0,1.0,3_PANEL,0.1392017544943122,0.007392711762042852,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,3.431732725601387,-17.480343586657753,-20.91207631225914
SYN007,PAIRED_NULL,BA,A,122,1485,12.172131147540984,23238063.97616443,1278.701368721846,857.6199951171875,0.0931981300193403,1.0,0.0,2_PANEL,0.15987678955547807,0.010151020379942342,1,200,OBSERVED_IN_FROZEN_TEST_SPLITS,3.431732725601387,-11.070606539858044,-14.502339265459431
