scope,predictor,outcome,statistic,value,n,threshold_applied
POOLED,legal_target_fold_plots_in_support,E1_hellinger,pearson_r,-0.06708359023968911,288,NO
POOLED,legal_target_fold_plots_in_support,E1_hellinger,spearman_rho,-0.051763599511888976,288,NO
POOLED,legal_target_fold_plots_in_support,E4_hellinger,pearson_r,-0.01068157572948556,288,NO
POOLED,legal_target_fold_plots_in_support,E4_hellinger,spearman_rho,0.006572932220628448,288,NO
POOLED,legal_target_fold_plots_in_support,E5_minus_E0_individual_gain_pp,pearson_r,0.10795100612219789,196,NO
POOLED,legal_target_fold_plots_in_support,E5_minus_E0_individual_gain_pp,spearman_rho,0.07102413777358921,196,NO
POOLED,plots_per_occupied_cell,E1_hellinger,pearson_r,-0.49933753082026217,288,NO
POOLED,plots_per_occupied_cell,E1_hellinger,spearman_rho,-0.48822662992909793,288,NO
POOLED,plots_per_occupied_cell,E4_hellinger,pearson_r,-0.4350930893942993,288,NO
POOLED,plots_per_occupied_cell,E4_hellinger,spearman_rho,-0.40923663999209914,288,NO
POOLED,plots_per_occupied_cell,E5_minus_E0_individual_gain_pp,pearson_r,0.11279677583581267,196,NO
POOLED,plots_per_occupied_cell,E5_minus_E0_individual_gain_pp,spearman_rho,0.08105249994026535,196,NO
POOLED,target_fold_TI_sum_in_support,E1_hellinger,pearson_r,0.299312050313904,288,NO
POOLED,target_fold_TI_sum_in_support,E1_hellinger,spearman_rho,0.2757495745443902,288,NO
POOLED,target_fold_TI_sum_in_support,E4_hellinger,pearson_r,0.3821500853930369,288,NO
POOLED,target_fold_TI_sum_in_support,E4_hellinger,spearman_rho,0.35855693476562867,288,NO
POOLED,target_fold_TI_sum_in_support,E5_minus_E0_individual_gain_pp,pearson_r,0.03923135350096337,196,NO
POOLED,target_fold_TI_sum_in_support,E5_minus_E0_individual_gain_pp,spearman_rho,0.041480952598524135,196,NO
POOLED,kish_effective_plot_information,E1_hellinger,pearson_r,-0.05283757007473942,288,NO
POOLED,kish_effective_plot_information,E1_hellinger,spearman_rho,-0.050376872060628686,288,NO
POOLED,kish_effective_plot_information,E4_hellinger,pearson_r,0.007158742004572865,288,NO
POOLED,kish_effective_plot_information,E4_hellinger,spearman_rho,0.0077494378580699845,288,NO
POOLED,kish_effective_plot_information,E5_minus_E0_individual_gain_pp,pearson_r,0.10611327298276176,196,NO
POOLED,kish_effective_plot_information,E5_minus_E0_individual_gain_pp,spearman_rho,0.07326824678990834,196,NO
POOLED,mean_expected_total_tree_count,E1_hellinger,pearson_r,-0.5061118065624661,288,NO
POOLED,mean_expected_total_tree_count,E1_hellinger,spearman_rho,-0.5323942345948424,288,NO
POOLED,mean_expected_total_tree_count,E4_hellinger,pearson_r,-0.5260338833294812,288,NO
POOLED,mean_expected_total_tree_count,E4_hellinger,spearman_rho,-0.545956761470729,288,NO
POOLED,mean_expected_total_tree_count,E5_minus_E0_individual_gain_pp,pearson_r,0.1440087251621891,196,NO
POOLED,mean_expected_total_tree_count,E5_minus_E0_individual_gain_pp,spearman_rho,0.11564519599327433,196,NO
POOLED,D3_support_cells,E1_hellinger,pearson_r,0.6414089774289101,288,NO
POOLED,D3_support_cells,E1_hellinger,spearman_rho,0.6471207718137401,288,NO
POOLED,D3_support_cells,E4_hellinger,pearson_r,0.651669066257042,288,NO
POOLED,D3_support_cells,E4_hellinger,spearman_rho,0.6471197667259133,288,NO
POOLED,D3_support_cells,E5_minus_E0_individual_gain_pp,pearson_r,0.04809439356920801,196,NO
POOLED,D3_support_cells,E5_minus_E0_individual_gain_pp,spearman_rho,0.021554336680714777,196,NO
POOLED,latent_concentration_D3,E1_hellinger,pearson_r,-0.34937847651023995,288,NO
POOLED,latent_concentration_D3,E1_hellinger,spearman_rho,-0.46160434856225036,288,NO
POOLED,latent_concentration_D3,E4_hellinger,pearson_r,-0.4003667518379967,288,NO
POOLED,latent_concentration_D3,E4_hellinger,spearman_rho,-0.4984813548851695,288,NO
POOLED,latent_concentration_D3,E5_minus_E0_individual_gain_pp,pearson_r,0.07317288131619255,196,NO
POOLED,latent_concentration_D3,E5_minus_E0_individual_gain_pp,spearman_rho,0.08958352104774674,196,NO
POOLED,two_panel_plot_fraction,E1_hellinger,pearson_r,0.4885141483951081,288,NO
