K,block,start_realization,end_realization,orientation,strong_gain_pp,paired_null_gain_pp,separation_pp,strong_geometry_coverage,paired_null_geometry_coverage,STRONG_hellinger_median,PAIRED_NULL_hellinger_median,STRONG_sliced_wasserstein_km_median,PAIRED_NULL_sliced_wasserstein_km_median,STRONG_geometry_coverage_crosscheck,PAIRED_NULL_geometry_coverage_crosscheck,BA_minus_AB_separation_pp
1,1,1,1,AB,-8.9207201569741,3.427374718787842,-13.361913199412184,1.0,0.875,0.10692655860855985,0.11110834612525355,3.0005609425345607,3.841073861766339,1.0,0.875,-11.04844457863266
1,1,1,1,BA,-17.963735860511786,3.9347760310192315,-24.410357778044844,1.0,0.875,0.13767263971783794,0.13440843432905092,3.9385790982801208,4.471580760811036,1.0,0.875,-11.04844457863266
1,2,2,2,AB,-4.4033706686929435,4.451792352913963,-8.888197149027349,1.0,0.8125,0.11034153395638385,0.11095628358275275,3.020858965626541,3.6973233602621116,1.0,0.8125,-19.731200369947945
1,2,2,2,BA,-25.229146544049467,3.3902509749258267,-28.619397518975294,0.9375,0.875,0.1357767831368521,0.13341309532916346,3.4891382994004996,4.169906238851997,0.9375,0.875,-19.731200369947945
1,3,3,3,AB,-12.255502769745316,3.1084959564301533,-15.82700588536693,1.0,0.875,0.10962932240610283,0.11300710953575002,3.219196185962023,3.771625603205551,1.0,0.875,-12.276712028067575
1,3,3,3,BA,-29.010794938747974,3.6141398296716014,-28.103717913434505,0.9375,0.875,0.13398273412460893,0.13361812213176077,3.8126005876433045,4.532478643479134,0.9375,0.875,-12.276712028067575
1,4,4,4,AB,-7.400178758862342,4.48437178761783,-11.884550546480172,1.0,0.875,0.11141191732268027,0.1102618835507935,3.0719295581857806,3.7490593247767867,1.0,0.875,-14.770768504122499
1,4,4,4,BA,-22.279272649925108,4.142159983217097,-26.65531905060267,0.9375,0.875,0.13303019513374686,0.1357367056328657,3.44897573116505,4.449503032808742,0.9375,0.875,-14.770768504122499
1,5,5,5,AB,-12.01502865105128,3.9936554797896124,-15.067003266150335,1.0,0.875,0.10773933037639111,0.11003562005200904,3.0111192030457437,3.7527038462326745,1.0,0.875,-10.499401447157355
1,5,5,5,BA,-20.383062677865592,3.8533963625849372,-25.56640471330769,0.9375,0.875,0.13394431439426382,0.13510420973292667,3.6998984350615247,4.680723929332912,0.9375,0.875,-10.499401447157355
1,6,6,6,AB,-8.596187311579712,4.137471602862964,-12.733658914442675,1.0,0.8125,0.1098534096072275,0.10894137575766555,2.8585429047999877,3.284363353548037,1.0,0.8125,-16.70496284442269
1,6,6,6,BA,-25.303323030403728,3.117867853307992,-29.438621758865363,0.9375,0.875,0.1329763839886885,0.13681988827911473,3.7542780674189338,4.2921380483879465,0.9375,0.875,-16.70496284442269
1,7,7,7,AB,-7.657686962809541,4.163024042539793,-13.227497679711163,1.0,0.875,0.10866664562207884,0.10850800047784925,2.87198009146179,3.6722158849123065,1.0,0.875,-10.113222943069488
1,7,7,7,BA,-20.096463865230827,3.244256757549823,-23.34072062278065,1.0,0.875,0.13246376458301806,0.1361100445117382,3.8380680337278177,4.557900658173109,1.0,0.875,-10.113222943069488
1,8,8,8,AB,-3.284469918396327,2.901970613098281,-6.259469897856857,1.0,0.875,0.11125593339491296,0.11126018406536317,3.253583310695473,3.8150156052720385,1.0,0.875,-20.9349710096312
1,8,8,8,BA,-25.96506333690767,4.567409993312294,-27.194440907488058,0.9375,0.875,0.1332289973360816,0.14056388869267655,3.9989141020735177,4.604674091000898,0.9375,0.875,-20.9349710096312
1,9,9,9,AB,-9.63905473625119,2.8813661192989803,-14.424021340251759,1.0,0.875,0.11248950870568752,0.11451974120080612,2.923085740469344,3.4069444949108583,1.0,0.875,-11.956911988468239
1,9,9,9,BA,-22.20669784928917,4.174235479430826,-26.380933328719998,0.9375,0.875,0.13458263090796893,0.13474371079387248,3.335477584224618,4.273477617818198,0.9375,0.875,-11.956911988468239
1,10,10,10,AB,-8.97616849292197,3.945874366687227,-12.922042859609196,1.0,0.875,0.10964845884782103,0.11001138014573428,2.9617896414918725,3.280233435112918,1.0,0.875,-13.017604599714591
1,10,10,10,BA,-23.157742630597653,4.278379012578361,-25.939647459323787,0.9375,0.875,0.1322096845982902,0.13605302149178,3.9128384200548236,4.202252177226976,0.9375,0.875,-13.017604599714591
1,11,11,11,AB,-9.27768299533389,3.864881206642532,-13.349219608466296,1.0,0.875,0.11126561600117954,0.11014155065492462,2.7013077052066006,3.999584830803596,1.0,0.875,-17.697090781290783
1,11,11,11,BA,-27.842693373548318,3.476684429922038,-31.04631038975708,0.9375,0.875,0.13452264742733283,0.1356600282432982,3.8309366778401355,4.308445042115697,0.9375,0.875,-17.697090781290783
