K,orientation,metric,n,mean,sd,mcse,q05,median,q95,min,max
1,AB,strong_gain_pp,200,-9.521266119631429,3.5143319611629527,0.24850079610789422,-15.07821715179074,-9.420540712606265,-3.6849462423003714,-16.425681205076515,-1.9222533646134385
1,AB,paired_null_gain_pp,200,3.8350399484274544,0.6387663640170157,0.045167602759030645,2.6712811681955344,3.934944563635943,4.732748997466207,1.8759194407774173,5.1521808712316535
1,AB,separation_pp,200,-13.299176678478304,3.3381828038136705,0.23604516974169687,-18.609593920571417,-13.267645600388699,-7.944648407582117,-20.80257804682085,-6.259469897856857
1,AB,BA_minus_AB_separation_pp,200,-12.42042594828039,5.550311084003116,0.3924662605193461,-21.331659014631043,-12.580551063875685,-3.4624669467933127,-28.589648326729066,0.9757180822337723
1,AB,STRONG_hellinger_median,200,0.10918205236816413,0.0017342585395778542,0.0001226305973666179,0.10667482944921024,0.10915007918668355,0.11182517375478294,0.10366741693964637,0.11513429920616683
1,AB,PAIRED_NULL_hellinger_median,200,0.11124413959066412,0.0017971523509924927,0.00012707786142121378,0.10823873613023181,0.11123261228421977,0.11400446917072606,0.10669707979793483,0.11648509558831216
1,AB,STRONG_sliced_wasserstein_km_median,200,2.9967423045298114,0.1437484594964603,0.010164551049506684,2.758945618259196,2.98585941386988,3.24109608253391,2.6550837795216213,3.3350548604811046
1,AB,PAIRED_NULL_sliced_wasserstein_km_median,200,3.622532878746008,0.19638753116215343,0.013886695502524311,3.259302040532743,3.6321857591715387,3.9353693929225155,3.1282168786867395,4.274307555446895
1,AB,STRONG_geometry_coverage_crosscheck,200,0.9975,0.01227818263605087,0.000868198620259849,1.0,1.0,1.0,0.9375,1.0
1,AB,PAIRED_NULL_geometry_coverage_crosscheck,200,0.8584375,0.03099930853094928,0.002191982127432823,0.8125,0.875,0.875,0.8125,0.9375
1,BA,strong_gain_pp,200,-22.54337838128717,4.257015679749823,0.30101646547685595,-28.907625690129773,-23.038907340718715,-15.697484832960933,-32.5353339536766,-12.114671547122356
1,BA,paired_null_gain_pp,200,3.549419024713737,0.634050375827715,0.044834132036165625,2.5361024884268097,3.6260843064817325,4.373595616257491,0.23762728352196852,4.9146610501555195
1,BA,separation_pp,200,-25.719602626758693,3.9555152966350198,0.27969716893377405,-31.843307394341473,-25.705114900013974,-19.72388074799177,-36.699586753953284,-15.50629501390388
1,BA,BA_minus_AB_separation_pp,200,-12.42042594828039,5.550311084003116,0.3924662605193461,-21.331659014631043,-12.580551063875685,-3.4624669467933127,-28.589648326729066,0.9757180822337723
1,BA,STRONG_hellinger_median,200,0.13384909009839965,0.0021502580494626904,0.0001520462048076027,0.13031922921983768,0.13387120941095426,0.13726151285251975,0.12767948038556282,0.13948316836025076
1,BA,PAIRED_NULL_hellinger_median,200,0.1362110021159565,0.0021207376114648793,0.00014995879461841778,0.13297704781532294,0.13603322073294816,0.13985418348501383,0.13030786281922924,0.14210325388971715
1,BA,STRONG_sliced_wasserstein_km_median,200,3.692749743503414,0.19079020500245603,0.013490904774120821,3.4278033243127837,3.682051502305737,4.021118391459241,3.259846118896429,4.2720473354971835
