check_id,status,observed,expected,note
REQUIRED_CORE_FILES,PASS,35,35,
TERMINAL_STATUS,PASS,ABUNDANCE_MEASUREMENT_NOISE_DECOMPOSITION_COMPLETE_READY_FOR_MAINLINE,ABUNDANCE_MEASUREMENT_NOISE_DECOMPOSITION_COMPLETE_READY_FOR_MAINLINE,
BOUNDARY_FLAGS,PASS,all prohibited-action flags false,all prohibited-action flags false,
INPUT_ID_ROWS,PASS,14,14,
INPUT_ID_STATUS,PASS,Counter({'PASS': 14}),all PASS,
COMPUTE_CHECKS,PASS,Counter({'PASS': 16}),16 PASS,
STATE_ROWS,PASS,54,54,
STATE_KEYS,PASS,0,0,
STATE_COVERAGE,PASS,complete,E0-E5 x O1-O3 x AB/BA/ALL,
REGIME_INVARIANCE,PASS,0.0,<=1e-12,
BUILD_STATE_SUMMARY_MATCH,PASS,checked E0-E5,exact within 1e-12,
E0_E1_ROWS,PASS,"60,60","60,60",
E0_E1_FROZEN_UNIVERSE,PASS,72-species oracle summaries,72 species and ORACLE model,
DECOMPOSITION_ROWS,PASS,108,108,
DECOMPOSITION_ROW_ARITHMETIC,PASS,7.105427357601002e-15,<=1e-12,
DECOMPOSITION_COMPONENT_SET,PASS,"['A_SYSTEMATIC_MEASUREMENT_OPERATOR', 'B_NORMALIZATION_NONLINEARITY', 'C_FINITE_REALIZATION_DOWNSTREAM', 'D_CURRENT_REALIZATION_DEVIATION']","['A_SYSTEMATIC_MEASUREMENT_OPERATOR', 'B_NORMALIZATION_NONLINEARITY', 'C_FINITE_REALIZATION_DOWNSTREAM', 'D_CURRENT_REALIZATION_DEVIATION']",
DECOMPOSITION_TELESCOPES,PASS,7.105427357601002e-15,<=1e-10,
MC_ACCEPTED,PASS,200,200,
MC_PRECISION,PASS,"0.1687201020106007,0.2360451697416968,0.279697168933774","<=0.25,<=0.50,<=0.50",
E5_REALIZATION_ROWS,PASS,200,200,
E5_SUMMARY_RECONSTRUCTION,PASS,3.552713678800501e-15,<=1e-12,
K_LADDER_BLOCK_COUNTS,PASS,"{1: 200, 2: 100, 4: 50, 8: 25, 16: 12, 32: 6}","{1: 200, 2: 100, 4: 50, 8: 25, 16: 12, 32: 6}",
K_LADDER_SUMMARY_RECONSTRUCTION,PASS,3.552713678800501e-15,<=1e-12,
MAP_ROWS_BY_STATE,PASS,"{'E0': 33200, 'E1': 33200, 'E2': 33200, 'E3': 33200, 'E4': 33200}","33,200 per state",
MAP_KEY_UNIQUENESS,PASS,1,1,
UNCERTAINTY_SUMMARY,PASS,"rows=4,cells=33200","4 rows,33,200 cells,coverage in [0,1]",
INFORMATION_PROFILES,PASS,288,288,
INFORMATION_RELATIONSHIPS,PASS,144,144,
OPTIONAL_PANEL_AUTHORITY,PASS,NOT_ENTERED — ADDITIONAL PANEL ESTIMATOR AUTHORITY NOT FROZEN,NOT_ENTERED,
PATH_LENGTHS,PASS,90,<256,
