asset,path,size_bytes,expected_sha256,actual_sha256,status
D10D_v01.zip,C:\range_paper\10_archive\d10d\D10D_v01.zip,4144072,8efd2e9c5609de0fbb831c4aa268c1334a368569e7fc870b80e262a196bbeb42,8efd2e9c5609de0fbb831c4aa268c1334a368569e7fc870b80e262a196bbeb42,PASS
D10CR_v01.zip,C:\range_paper\10_archive\d10cr\D10CR_v01.zip,17917401,5ae34a71d50c8bea0809cef77d9835051926f3ea3455b41b2ed913860bab64b1,5ae34a71d50c8bea0809cef77d9835051926f3ea3455b41b2ed913860bab64b1,PASS
D10CA_v01.zip,C:\range_paper\10_archive\d10ca\D10CA_v01.zip,7092335,c8f73406f7f192b8f124add3cb0ded7ea65474e8d72d752e37dc557a08588865,c8f73406f7f192b8f124add3cb0ded7ea65474e8d72d752e37dc557a08588865,PASS
Q1_D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_REPRODUCIBLE_v01.zip,C:\range_paper\10_archive\d10b_oracle_source_decomposition_v01\Q1_D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_REPRODUCIBLE_v01.zip,98285008,cb041fca5897f31c8ea0bf2a3b29a262a5c83ef44bdfda9a37a0394cfc7cafeb,cb041fca5897f31c8ea0bf2a3b29a262a5c83ef44bdfda9a37a0394cfc7cafeb,PASS
Q1_D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_REPRODUCIBLE_v01.zip,C:\range_paper\10_archive\d10a_real_layout_nonoracle_v01\Q1_D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_REPRODUCIBLE_v01.zip,98141367,20e5d3ed33df6414b72a6e679d5349f3b10fe6397ce73f98b51d0bcc96033013,20e5d3ed33df6414b72a6e679d5349f3b10fe6397ce73f98b51d0bcc96033013,PASS
request.txt,C:\range_paper\10_archive\d10e\pkg\control\request.txt,21082,9b79421cf450d9850f71c6c37fc15b2363a397fd587e1f50345eb649dd78b2bd,9b79421cf450d9850f71c6c37fc15b2363a397fd587e1f50345eb649dd78b2bd,PASS
contract_v01.md,C:\range_paper\10_archive\d10e\pkg\control\contract_v01.md,5518,FROZEN_PRECOMPUTE,a6d5ca0c2da189cc3604ec5222c771c4eb2a7c12947791bc27c6af51aa5c4eb0,PASS
Q1_D10E_OBSERVATION_STOCHASTIC_HIERARCHY_v01.md,C:\range_paper\10_archive\d10e\pkg\control\Q1_D10E_OBSERVATION_STOCHASTIC_HIERARCHY_v01.md,4209,FROZEN_PRECOMPUTE,adb191c1a559af5c7eda3c16c4777a7e0c7674a768c9716be162d5ece79d068b,PASS
stochastic_ledger_v01.csv,C:\range_paper\10_archive\d10e\pkg\control\stochastic_ledger_v01.csv,2495,FROZEN_PRECOMPUTE,6ea0a8c8c361509100ee7b1e581b6d1a704b9c8988374b2eaf61cd35412929dd,PASS
D10D_internal,INTERNAL_MANIFEST,49,ALL_LISTED_MEMBERS_MATCH,PASS,PASS
D10CR_internal,INTERNAL_MANIFEST,49,ALL_LISTED_MEMBERS_MATCH,PASS,PASS
D10CA_internal,INTERNAL_MANIFEST,17,ALL_LISTED_MEMBERS_MATCH,PASS,PASS
D10A_internal,INTERNAL_MANIFEST,34,ALL_LISTED_MEMBERS_MATCH,PASS,PASS
D10B_internal,INTERNAL_MANIFEST,27,ALL_LISTED_MEMBERS_MATCH,PASS,PASS
