check_id,expected,observed,status,detail
CACHE_FILE_SHA256,0daf80d098546d61aecd8e75701f5174d9f6fd4452ce4a1b257651d45c9d2953,0daf80d098546d61aecd8e75701f5174d9f6fd4452ce4a1b257651d45c9d2953,PASS,C:\range_paper\99_tmp\d10fb12_v01\cache\b12_cache.sqlite
CACHE_SQLITE_INTEGRITY,ok,ok,PASS,PRAGMA integrity_check
CACHE_FINGERPRINT,5d0a9dbaf55045c20bdab107f061c477fe77106d100bc95681a6dfebd1eeb7bd,5d0a9dbaf55045c20bdab107f061c477fe77106d100bc95681a6dfebd1eeb7bd,PASS,cache_meta
CACHE_LOGICAL_DIGEST,e85168819a7954f9f1ead69f1554e29c193ba9ef369c7c2793b4587d5f8dd416,e85168819a7954f9f1ead69f1554e29c193ba9ef369c7c2793b4587d5f8dd416,PASS,529475 ordered plot_species rows; parent SQLite printf semantics
CACHE_SCHEMA_SHA256,RECORDED_V01_1,0cf6d9e54dd3c7f6314132b3884f779f5d60f9b021e40622c379336084ad8679,PASS,14 tables; schema and row counts retained in run metadata
PARENT_B12_ZIP,202b7a475a7aeb3dfe35749d70fccb076729dea79e8a75fcafb63c83c800c433,202b7a475a7aeb3dfe35749d70fccb076729dea79e8a75fcafb63c83c800c433,PASS,Exact parent package
B11_ZIP,ee6888a47762aaa966afaeffddd2569500f0f8271745263b763711348d761624,ee6888a47762aaa966afaeffddd2569500f0f8271745263b763711348d761624,PASS,Accepted synthetic result
SUBSTRATE_ZIP,1dbd8cf3fdb9fdbd25945ed70af64e1c739ec78f10f24ec4866128c38d5d946e,1dbd8cf3fdb9fdbd25945ed70af64e1c739ec78f10f24ec4866128c38d5d946e,PASS,Accepted structural substrate
NEW_TREE_SOURCE_SCAN_ROWS,0,0,PASS,B12 v01 cache opened read-only; national SQLite path is absent from this builder
OLD_STAGE_P_SEAL_B12_POOL_MEMBERSHIP_v01.parquet,46276d2aea5d9a8b59e5e081c28c3c4324828346b70419dbe6472582c36fb27b,46276d2aea5d9a8b59e5e081c28c3c4324828346b70419dbe6472582c36fb27b,PASS,logical rows=321584
OLD_STAGE_P_SEAL_B12_POOL_PREDICTIONS_GENERIC_v01.parquet,0ccb4a33621ddd83ec30e57588592e1e5653300c93fddaf9dadbf3f38a551b78,0ccb4a33621ddd83ec30e57588592e1e5653300c93fddaf9dadbf3f38a551b78,PASS,logical rows=9268
OLD_STAGE_P_SEAL_B12_POOL_PREDICTIONS_SPECIES_v01.parquet,56f32055bf1a87fef2db6d7516867d1f50ecc44407c5fb10a70a21b4f8d4b0e8,56f32055bf1a87fef2db6d7516867d1f50ecc44407c5fb10a70a21b4f8d4b0e8,PASS,logical rows=138367
