target_id,variable,relation_class,target_value_count,pool_value_count,shared_value_count,target_values,pool_values,route,statecd,source_eu,pool_df,target_df,reference_strength,domain_overlap,parent_generic_abs_log_ratio,domain_cov_relative_frobenius,domain_cov_transport_to_noise,generic_joint_relative_frobenius,generic_joint_transport_to_noise,group_size_ratio_pool_to_target,interpretation_boundary
P::12::122301::A::1970863123290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,1,574,79,R5,0.6725346020761246,0.7960373379151985,0.6265233502351623,0.8182273587890542,2.1850032408531024,1.5090573193072871,7.225,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863123290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,1,574,79,R5,0.6725346020761246,0.7960373379151985,0.6265233502351623,0.8182273587890542,2.1850032408531024,1.5090573193072871,7.225,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863123290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,1,574,79,R5,0.6725346020761246,0.7960373379151985,0.6265233502351623,0.8182273587890542,2.1850032408531024,1.5090573193072871,7.225,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863123290487,MEASYEAR,EXACT_SET_MATCH,5,5,5,2019|2020|2021|2022|2023,2019|2020|2021|2022|2023,LEVEL1,12,1,574,79,R5,0.6725346020761246,0.7960373379151985,0.6265233502351623,0.8182273587890542,2.1850032408531024,1.5090573193072871,7.225,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863124290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,1,491,162,R5,0.7714692941686807,0.2824685129487546,0.5216692201428288,0.9063815561202089,0.797859260898368,0.877192691874781,3.03680981595092,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863124290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,1,491,162,R5,0.7714692941686807,0.2824685129487546,0.5216692201428288,0.9063815561202089,0.797859260898368,0.877192691874781,3.03680981595092,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863124290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,1,491,162,R5,0.7714692941686807,0.2824685129487546,0.5216692201428288,0.9063815561202089,0.797859260898368,0.877192691874781,3.03680981595092,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863124290487,MEASYEAR,EXACT_SET_MATCH,5,5,5,2019|2020|2021|2022|2023,2019|2020|2021|2022|2023,LEVEL1,12,1,491,162,R5,0.7714692941686807,0.2824685129487546,0.5216692201428288,0.9063815561202089,0.797859260898368,0.877192691874781,3.03680981595092,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863125290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,1,494,159,R5,0.7830823293172691,0.20459599385159555,0.4355025273592527,0.8429402513113119,0.6233322296484112,0.756198691269338,3.1125,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863125290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,1,494,159,R5,0.7830823293172691,0.20459599385159555,0.4355025273592527,0.8429402513113119,0.6233322296484112,0.756198691269338,3.1125,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863125290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,1,494,159,R5,0.7830823293172691,0.20459599385159555,0.4355025273592527,0.8429402513113119,0.6233322296484112,0.756198691269338,3.1125,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863125290487,MEASYEAR,EXACT_SET_MATCH,5,5,5,2019|2020|2021|2022|2023,2019|2020|2021|2022|2023,LEVEL1,12,1,494,159,R5,0.7830823293172691,0.20459599385159555,0.4355025273592527,0.8429402513113119,0.6233322296484112,0.756198691269338,3.1125,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863126290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,1,459,194,R5,0.7059201417732736,0.2597366960503846,0.5787143829832356,1.1653544747096036,0.6992950369160821,0.8726431399482507,2.3743589743589744,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863126290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,1,459,194,R5,0.7059201417732736,0.2597366960503846,0.5787143829832356,1.1653544747096036,0.6992950369160821,0.8726431399482507,2.3743589743589744,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863126290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,1,459,194,R5,0.7059201417732736,0.2597366960503846,0.5787143829832356,1.1653544747096036,0.6992950369160821,0.8726431399482507,2.3743589743589744,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863126290487,MEASYEAR,EXACT_SET_MATCH,5,5,5,2019|2020|2021|2022|2023,2019|2020|2021|2022|2023,LEVEL1,12,1,459,194,R5,0.7059201417732736,0.2597366960503846,0.5787143829832356,1.1653544747096036,0.6992950369160821,0.8726431399482507,2.3743589743589744,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863127290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,1,594,59,R5,0.41270903010033444,nan,0.9170916698350274,1.1782783611298508,inf,nan,9.966666666666667,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863127290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,1,594,59,R5,0.41270903010033444,nan,0.9170916698350274,1.1782783611298508,inf,nan,9.966666666666667,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863127290487,SAMP_METHOD_CD,PARTIAL_OVERLAP,1,2,1,2,1|2,LEVEL1,12,1,594,59,R5,0.41270903010033444,nan,0.9170916698350274,1.1782783611298508,inf,nan,9.966666666666667,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863127290487,MEASYEAR,PARTIAL_OVERLAP,3,5,3,2019|2020|2021,2019|2020|2021|2022|2023,LEVEL1,12,1,594,59,R5,0.41270903010033444,nan,0.9170916698350274,1.1782783611298508,inf,nan,9.966666666666667,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863128290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,2,473,52,R5,0.6624737945492662,1.5313457533429853,0.6491620503641531,0.8603767544125842,3.3090525711688117,4.612344540117416,9.0,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863128290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,2,473,52,R5,0.6624737945492662,1.5313457533429853,0.6491620503641531,0.8603767544125842,3.3090525711688117,4.612344540117416,9.0,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863128290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,2,473,52,R5,0.6624737945492662,1.5313457533429853,0.6491620503641531,0.8603767544125842,3.3090525711688117,4.612344540117416,9.0,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863128290487,MEASYEAR,EXACT_SET_MATCH,5,5,5,2019|2020|2021|2022|2023,2019|2020|2021|2022|2023,LEVEL1,12,2,473,52,R5,0.6624737945492662,1.5313457533429853,0.6491620503641531,0.8603767544125842,3.3090525711688117,4.612344540117416,9.0,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863129290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,2,434,91,R5,0.7468235060551915,0.23569699700706784,0.4457665310626888,0.5928464497163479,1.2904340151451525,0.7996276685966567,4.760869565217392,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863129290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,2,434,91,R5,0.7468235060551915,0.23569699700706784,0.4457665310626888,0.5928464497163479,1.2904340151451525,0.7996276685966567,4.760869565217392,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863129290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,2,434,91,R5,0.7468235060551915,0.23569699700706784,0.4457665310626888,0.5928464497163479,1.2904340151451525,0.7996276685966567,4.760869565217392,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863129290487,MEASYEAR,EXACT_SET_MATCH,5,5,5,2019|2020|2021|2022|2023,2019|2020|2021|2022|2023,LEVEL1,12,2,434,91,R5,0.7468235060551915,0.23569699700706784,0.4457665310626888,0.5928464497163479,1.2904340151451525,0.7996276685966567,4.760869565217392,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863130290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,2,411,114,R5,0.7245678365636459,0.6868574176237136,0.5158048259066582,0.7002453302161904,0.7488081301315647,0.62763042714086,3.608695652173913,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863130290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,2,411,114,R5,0.7245678365636459,0.6868574176237136,0.5158048259066582,0.7002453302161904,0.7488081301315647,0.62763042714086,3.608695652173913,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863130290487,SAMP_METHOD_CD,EXACT_SET_MATCH,2,2,2,1|2,1|2,LEVEL1,12,2,411,114,R5,0.7245678365636459,0.6868574176237136,0.5158048259066582,0.7002453302161904,0.7488081301315647,0.62763042714086,3.608695652173913,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863130290487,MEASYEAR,EXACT_SET_MATCH,5,5,5,2019|2020|2021|2022|2023,2019|2020|2021|2022|2023,LEVEL1,12,2,411,114,R5,0.7245678365636459,0.6868574176237136,0.5158048259066582,0.7002453302161904,0.7488081301315647,0.62763042714086,3.608695652173913,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863131290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,2,338,187,R5,0.6827174318775662,0.49991932681586587,0.6037988769557281,1.4564332183004574,0.759305051380013,1.1197047258750445,1.8191489361702127,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863131290487,REGIONAL_MANUAL,EXACT_SET_MATCH,1,1,1,MANUAL_DB=9.4,MANUAL_DB=9.4,LEVEL1,12,2,338,187,R5,0.6827174318775662,0.49991932681586587,0.6037988769557281,1.4564332183004574,0.759305051380013,1.1197047258750445,1.8191489361702127,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863131290487,SAMP_METHOD_CD,PARTIAL_OVERLAP,1,2,1,1,1|2,LEVEL1,12,2,338,187,R5,0.6827174318775662,0.49991932681586587,0.6037988769557281,1.4564332183004574,0.759305051380013,1.1197047258750445,1.8191489361702127,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863131290487,MEASYEAR,PARTIAL_OVERLAP,4,5,4,2020|2021|2022|2023,2019|2020|2021|2022|2023,LEVEL1,12,2,338,187,R5,0.6827174318775662,0.49991932681586587,0.6037988769557281,1.4564332183004574,0.759305051380013,1.1197047258750445,1.8191489361702127,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
P::12::122301::A::1970863132290487,MANUAL,EXACT_SET_MATCH,3,3,3,9|9.1|9.2,9|9.1|9.2,LEVEL1,12,2,444,81,R5,0.3707534843205575,4.374348435656277,0.9648972008977637,1.451925232546204,42.06732214231737,21.033661071158686,5.463414634146342,DESCRIPTIVE_ONLY_CONFOUNDING_NOT_FILTER_EVIDENCE
