check_id,expected,observed,status,evidence
STAGE_P_COMPLETE_BEFORE_REFERENCE_OPEN,True,True,PASS,Immutable registry/checkpoint completed before score_pseudo_targets
PLANNED_EQUALS_SEALED,1893464,1893464,PASS,b14c50f9904e91b49186c1fe96e788921904239530267c32c0f821ecbccbc894
SEALED_EQUALS_VERIFIED,1893464,1893464,PASS,Every target bundle fully verified before its reference opened
FAILED_OBJECTS,0,0,PASS,Digest mismatch is a hard-stop exception
TARGET_MEMBER_LEAK,0,0,PASS,Independent cache join
FULL5_ROLE,FULL5_LIMITED_REFERENCE,FULL5_LIMITED_REFERENCE,PASS,Opened only after 404 per-case candidate objects verified
FULL5_CASE_RETENTION,24,24,PASS,No case deletion or tuning
NEW_TREE_SOURCE_SCAN_ROWS,0,0,PASS,Verified task-local cache only
OLD_SEAL_B12_POOL_MEMBERSHIP_v01.parquet,46276d2aea5d9a8b59e5e081c28c3c4324828346b70419dbe6472582c36fb27b,46276d2aea5d9a8b59e5e081c28c3c4324828346b70419dbe6472582c36fb27b,PASS,fresh file SHA; rows=321584
OLD_SEAL_B12_POOL_PREDICTIONS_GENERIC_v01.parquet,0ccb4a33621ddd83ec30e57588592e1e5653300c93fddaf9dadbf3f38a551b78,0ccb4a33621ddd83ec30e57588592e1e5653300c93fddaf9dadbf3f38a551b78,PASS,fresh file SHA; rows=9268
OLD_SEAL_B12_POOL_PREDICTIONS_SPECIES_v01.parquet,56f32055bf1a87fef2db6d7516867d1f50ecc44407c5fb10a70a21b4f8d4b0e8,56f32055bf1a87fef2db6d7516867d1f50ecc44407c5fb10a70a21b4f8d4b0e8,PASS,fresh file SHA; rows=138367
