group_type,group_value,grain_km,measurement_family,component_type,target_count,relative_frobenius_finite_count,positive_trace_pair_count,median_relative_frobenius,p90_relative_frobenius,median_trace_abs_log_ratio,median_unit_trace_frobenius,median_variance_location_tv,median_offdiag_unit_frobenius,noise_comparable_count,median_transport_to_noise_ratio,median_trace_transport_to_noise_ratio,median_shape_transport_to_noise_ratio,median_profile_transport_to_noise_ratio,median_offdiag_transport_to_noise_ratio,nc1_comparable_count,candidate_better_nc1_fraction,median_oracle_scale_relative_frobenius,median_oracle_scale_relative_improvement,median_within_error_share,median_between_error_share,median_cross_error_share,negative_cross_term_fraction,evidence_class
ROUTE,ALL,50,DOMAIN_ONE_HOT,T,4640,4584,4597,0.7654322757702023,1.0009564963125883,0.055104283006668614,0.37429020637689975,0.40404797601199394,0.2028293505615497,3667,0.925641950555598,0.7673100596172038,0.8340856037037274,1.1281191720920445,0.7418114882455272,4604,0.937228496959166,0.7628222489501478,8.841078518241099e-06,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE,LEVEL1,50,DOMAIN_ONE_HOT,T,4397,4356,4363,0.7439018589662647,0.9997041405612946,0.05405817447313993,0.3617884766726762,0.3894229854742039,0.19849135142827046,3511,0.9230490216675423,0.7662991184351229,0.8306162185363182,1.1004374812167612,0.7445323266153084,4372,0.9384720951509606,0.7438438899541766,-2.1086733622502087e-05,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE,LEVEL2,50,DOMAIN_ONE_HOT,T,243,228,234,0.9817294933407108,1.007051184391365,0.07264377636181177,0.5633445593917583,0.9340259476765487,0.286739510653932,156,1.0123308779060638,0.8070089110011572,0.853996376077387,1.9052255469821777,0.6319264867364603,232,0.9137931034482759,0.9799046107682048,0.0003658862184438719,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE,ALL,50,DOMAIN_ONE_HOT,W,4640,4640,0,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,4604,0.0,nan,nan,0.0,1.0,0.0,0.0,DESCRIPTIVE_TRANSPORT_REFERENCE_NOISE_LIMITED
ROUTE,LEVEL1,50,DOMAIN_ONE_HOT,W,4397,4397,0,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,4372,0.0,nan,nan,0.0,1.0,0.0,0.0,DESCRIPTIVE_TRANSPORT_REFERENCE_NOISE_LIMITED
ROUTE,LEVEL2,50,DOMAIN_ONE_HOT,W,243,243,0,0.0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,232,0.0,nan,nan,0.0,1.0,0.0,0.0,DESCRIPTIVE_TRANSPORT_REFERENCE_NOISE_LIMITED
ROUTE,ALL,50,DOMAIN_ONE_HOT,B,4640,4584,4597,0.7654322757702023,1.0009564963125883,0.055104283006668614,0.37429020637689975,0.40404797601199394,0.2028293505615497,3667,0.925641950555598,0.7673100596172038,0.8340856037037274,1.1281191720920445,0.7418114882455272,4604,0.937228496959166,0.7628222489501478,8.841078518241099e-06,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE,LEVEL1,50,DOMAIN_ONE_HOT,B,4397,4356,4363,0.7439018589662647,0.9997041405612946,0.05405817447313993,0.3617884766726762,0.3894229854742039,0.19849135142827046,3511,0.9230490216675423,0.7662991184351229,0.8306162185363182,1.1004374812167612,0.7445323266153084,4372,0.9384720951509606,0.7438438899541766,-2.1086733622502087e-05,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE,LEVEL2,50,DOMAIN_ONE_HOT,B,243,228,234,0.9817294933407108,1.007051184391365,0.07264377636181177,0.5633445593917583,0.9340259476765487,0.286739510653932,156,1.0123308779060638,0.8070089110011572,0.853996376077387,1.9052255469821777,0.6319264867364603,232,0.9137931034482759,0.9799046107682048,0.0003658862184438719,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE,ALL,50,GENERIC_Y,T,4640,4071,3956,0.9989214088159565,17.83533356699289,1.3786236243670196,0.5685788086042727,0.621899886342542,0.13255360449443399,3163,1.0608515747985166,2.4322921553782133,0.6814218447362903,0.8951548672732987,0.8653190027809508,4604,0.603388357949609,0.926588126638437,0.16676792050470812,0.0835562435418882,0.6375790997612404,0.25938871456977863,0.07559158632778265,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
