check_id,expected,observed,status,evidence
B12_OUTER_SHA256,d009bf50225ca3c2f483e08fe17f22312f93c9a28f36786abae8729fde3a21ab,d009bf50225ca3c2f483e08fe17f22312f93c9a28f36786abae8729fde3a21ab,PASS,Exact accepted B12 v01_1 archive
B11_OUTER_SHA256,ee6888a47762aaa966afaeffddd2569500f0f8271745263b763711348d761624,ee6888a47762aaa966afaeffddd2569500f0f8271745263b763711348d761624,PASS,Exact accepted B11 archive
Q1_PROJECTION_OUTER_SHA256,70d34c6905a9d76675943ae03182feae719340d159ca6b69b68b9b9d089f227e,70d34c6905a9d76675943ae03182feae719340d159ca6b69b68b9b9d089f227e,PASS,Exact accepted derived projection
CACHE_FILE_SHA256,0daf80d098546d61aecd8e75701f5174d9f6fd4452ce4a1b257651d45c9d2953,0daf80d098546d61aecd8e75701f5174d9f6fd4452ce4a1b257651d45c9d2953,PASS,Read-only task-local cache
CACHE_LOGICAL_SHA256,e85168819a7954f9f1ead69f1554e29c193ba9ef369c7c2793b4587d5f8dd416,e85168819a7954f9f1ead69f1554e29c193ba9ef369c7c2793b4587d5f8dd416,PASS,rows=529475
CACHE_FINGERPRINT,5d0a9dbaf55045c20bdab107f061c477fe77106d100bc95681a6dfebd1eeb7bd,5d0a9dbaf55045c20bdab107f061c477fe77106d100bc95681a6dfebd1eeb7bd,PASS,cache_meta
PSEUDO_TOTAL,5729,5729,PASS,accepted cache query
PSEUDO_SCOREABLE,4640,4640,PASS,accepted cache query
LEVEL1,4397,4397,PASS,accepted cache query
LEVEL2,243,243,PASS,accepted cache query
ACTUAL24,24,24,PASS,all retained
FIA_SPCD,402,402,PASS,outcome-unselected universe unchanged
TARGET_MEMBER_LEAK,0,0,PASS,B9 membership cache join
STAGE_P_PLANNED_EQUALS_SEALED,1517064,1517064,PASS,3b0d008e4fd9f34f56a1435e77208a9cb54685f3b78b496aa13461a28e1f338e
STAGE_S_VERIFIED,1517064,1517064,PASS,independent reconstruction before reference open
STAGE_S_FAILED,0,0,PASS,digest mismatch is hard stop
MEMBER_T_EQUALS_W_PLUS_B_FAIL,0,0,PASS,checks=43308; max_residual=5.8207660913467407e-11
POOL_T_EQUALS_W_PLUS_B_FAIL,0,0,PASS,checks=55752; max_residual=1.4551915228366852e-11
SPECIES_T_EQUALS_W_PLUS_B_FAIL,0,0,PASS,checks=60516; max_residual=3.637978807091713e-12
ERROR_GEOMETRY_IDENTITY_FAIL,0,0,PASS,checks=85722; max_residual=3.814697265625e-06
MATERIAL_PSD_FAIL,0,0,PASS,analytic scatter matrices checked=993060
SYMMETRY_FAIL,0,0,PASS,diagonal-minus-rank-one representation is symmetric by construction
DF_IDENTITY_FAIL,0,0,PASS,pool df=sum_g(n_g-1); target df=n-1
B12_BASELINE_RECONSTRUCTION_FAIL,0,0,PASS,checks=9280; max relF delta=1.4551915228366852e-11
NEW_TREE_SOURCE_SCAN_ROWS,0,0,PASS,national TREE path absent from builder
Q1_CALCULATION_ROWS,0,0,PASS,no Q1 outcomes/support/range geometry read
REGULARIZATION_APPLIED,NONE,NONE,PASS,no clipping/ridge/shrinkage/nearest-PD/smoothing/completion
