group_type,group_value,grain_km,measurement_family,component_type,target_count,relative_frobenius_finite_count,positive_trace_pair_count,median_relative_frobenius,p90_relative_frobenius,median_trace_abs_log_ratio,median_unit_trace_frobenius,median_variance_location_tv,median_offdiag_unit_frobenius,noise_comparable_count,median_transport_to_noise_ratio,median_trace_transport_to_noise_ratio,median_shape_transport_to_noise_ratio,median_profile_transport_to_noise_ratio,median_offdiag_transport_to_noise_ratio,nc1_comparable_count,candidate_better_nc1_fraction,median_oracle_scale_relative_frobenius,median_oracle_scale_relative_improvement,median_within_error_share,median_between_error_share,median_cross_error_share,negative_cross_term_fraction,evidence_class
ALL,ALL,50,DOMAIN_ONE_HOT,T,4640,4584,4597,0.7654322757702023,1.0009564963125883,0.055104283006668614,0.37429020637689975,0.40404797601199394,0.2028293505615497,3667,0.925641950555598,0.7673100596172038,0.8340856037037274,1.1281191720920445,0.7418114882455272,4604,0.937228496959166,0.7628222489501478,8.841078518241099e-06,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE,LEVEL1,50,DOMAIN_ONE_HOT,T,4397,4356,4363,0.7439018589662647,0.9997041405612946,0.05405817447313993,0.3617884766726762,0.3894229854742039,0.19849135142827046,3511,0.9230490216675423,0.7662991184351229,0.8306162185363182,1.1004374812167612,0.7445323266153084,4372,0.9384720951509606,0.7438438899541766,-2.1086733622502087e-05,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE,LEVEL2,50,DOMAIN_ONE_HOT,T,243,228,234,0.9817294933407108,1.007051184391365,0.07264377636181177,0.5633445593917583,0.9340259476765487,0.286739510653932,156,1.0123308779060638,0.8070089110011572,0.853996376077387,1.9052255469821777,0.6319264867364603,232,0.9137931034482759,0.9799046107682048,0.0003658862184438719,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
REFERENCE_STRENGTH,R1,50,DOMAIN_ONE_HOT,T,288,258,267,0.9788537783958562,1.02445682287615,0.11853667366768561,0.7023832902040958,0.875685491817145,0.4241298559890754,0,nan,nan,nan,nan,nan,284,0.8063380281690141,0.9746078666324679,3.7039811738055546e-05,0.0,1.0,0.0,0.0,DESCRIPTIVE_TRANSPORT_REFERENCE_NOISE_LIMITED
REFERENCE_STRENGTH,R2,50,DOMAIN_ONE_HOT,T,1057,1037,1043,0.9388055880763546,1.0114909228466524,0.1004984064749921,0.5100186737944481,0.6566622823241292,0.30521791509172463,390,0.7733247017333984,0.5126985805206015,0.6035277541782031,1.1071835110302088,0.47656491694715364,1053,0.9145299145299145,0.9364258465163046,0.00010723067354360502,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
REFERENCE_STRENGTH,R3,50,DOMAIN_ONE_HOT,T,1128,1123,1124,0.8213847194790058,1.006512623864183,0.0799445113729615,0.4118090191431671,0.4684093065300102,0.23067593089916072,1115,0.8302455220401285,0.5582978777460088,0.6877496750626239,1.0791017600647386,0.5788055200886719,1119,0.9302949061662198,0.805970722925155,0.00043774400949753546,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
REFERENCE_STRENGTH,R4,50,DOMAIN_ONE_HOT,T,1002,1001,998,0.662654106613376,0.9817692426606595,0.04751638196016593,0.2920807405742514,0.3265425225702808,0.1608043200239604,997,0.9230490216675423,0.7516581163836132,0.825888023806212,1.021841614002329,0.7517262891728302,989,0.9666329625884732,0.6647432788676098,-4.309317451088444e-05,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
REFERENCE_STRENGTH,R5,50,DOMAIN_ONE_HOT,T,1165,1165,1165,0.6037988769557281,0.966642605241229,0.019663963376025446,0.20364540163207506,0.28345858090064024,0.09004670002433283,1165,1.2583323609888284,1.2530221103213233,1.223854567621854,1.31106803945991,1.1503988438646484,1159,0.9715271786022434,0.6132041886249906,-0.0010109168583951659,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE_X_REFERENCE,LEVEL1|R1,50,DOMAIN_ONE_HOT,T,243,222,227,0.9711619775109629,1.029325199097139,0.11853667366768561,0.7035303876757572,0.7921711057304278,0.4242727814623128,0,nan,nan,nan,nan,nan,242,0.8140495867768595,0.9673919205264587,2.363733924637189e-05,0.0,1.0,0.0,0.0,DESCRIPTIVE_TRANSPORT_REFERENCE_NOISE_LIMITED
ROUTE_X_REFERENCE,LEVEL1|R2,50,DOMAIN_ONE_HOT,T,991,977,981,0.9236259976910538,1.0112742666055505,0.10045916447557932,0.5070239157203136,0.6118999705575885,0.30602006605474363,366,0.772679827663526,0.5126985805206015,0.6022100338689965,1.0683171291238802,0.478320520698284,989,0.9180990899898888,0.9177082034133384,7.426976849219737e-05,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE_X_REFERENCE,LEVEL1|R3,50,DOMAIN_ONE_HOT,T,1053,1048,1049,0.7901857598841449,1.0066432300803505,0.08227538835866499,0.40305816718868265,0.44020173308850874,0.23088158384566082,1040,0.8170929638004376,0.5673431243828909,0.678290155657506,1.0386233918197447,0.5778672958015558,1049,0.9256434699714013,0.7841146444357521,0.00040404144830372054,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE_X_REFERENCE,LEVEL1|R4,50,DOMAIN_ONE_HOT,T,973,972,969,0.65297913849207,0.9767734171200924,0.04721907193739106,0.2901719220059495,0.3216599092954295,0.15990020190449689,968,0.9184268617158369,0.735878341669941,0.8200468733550235,1.0035862298148612,0.7500133463192413,961,0.9667013527575442,0.6536488566549093,-7.43966114637007e-05,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE_X_REFERENCE,LEVEL1|R5,50,DOMAIN_ONE_HOT,T,1137,1137,1137,0.5963802292869944,0.9477718796000902,0.01924946435316987,0.20034967781047475,0.2781826927962531,0.08927127968132556,1137,1.2404852223813345,1.245579056541922,1.2049002679310776,1.2836732835357167,1.1365831504704205,1131,0.9708222811671088,0.6067669740835514,-0.0011315773061869178,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE_X_REFERENCE,LEVEL2|R1,50,DOMAIN_ONE_HOT,T,45,36,40,0.9853329230272394,0.9974112511072257,0.1105471805326523,0.6952052322157687,0.9567098500844662,0.40681341349080336,0,nan,nan,nan,nan,nan,42,0.7619047619047619,0.9849455708331092,0.00022492346871764554,0.0,1.0,0.0,0.0,DESCRIPTIVE_TRANSPORT_REFERENCE_NOISE_LIMITED
ROUTE_X_REFERENCE,LEVEL2|R2,50,DOMAIN_ONE_HOT,T,66,60,62,0.9819831830396359,1.02398639506452,0.10263628705526986,0.5838699987542666,0.9366526065572411,0.3049197216600614,24,0.8031111853594899,0.511702384114763,0.6184514344585479,1.6049365460348943,0.4694769792830528,64,0.859375,0.9799046107682048,0.0006288093674673416,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE_X_REFERENCE,LEVEL2|R3,50,DOMAIN_ONE_HOT,T,75,75,75,0.9721615697252212,1.00022043471516,0.052270727115803904,0.48026110325957533,0.9016266582548862,0.22738213862186016,75,0.9738403388114406,0.46234281542640693,0.8246033067513081,1.7081143047458927,0.5797139793358042,70,1.0,0.970641238223181,0.0006785585565280277,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE_X_REFERENCE,LEVEL2|R4,50,DOMAIN_ONE_HOT,T,29,29,29,0.9773742598086239,1.008253182802995,0.05908724155478409,0.48086332859906417,0.8935983761921469,0.215157260070695,29,1.3945609180730139,0.9305435220313442,1.201993277792257,2.7071515198807035,0.893008520463586,28,0.9642857142857143,0.9763478461561946,0.0008067985246894188,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
ROUTE_X_REFERENCE,LEVEL2|R5,50,DOMAIN_ONE_HOT,T,28,28,28,0.997836477577174,1.0050801057824619,0.057721037068189734,0.5670474412938067,0.9713814484024379,0.28695152933805,28,3.160838296438097,1.9101443761837298,3.089717928141987,7.657863937649503,2.300646706019319,28,1.0,0.9984825843942835,-0.00031267993557564306,0.0,1.0,0.0,0.0,DESCRIPTIVE_CONTINUOUS_EVIDENCE_NO_HARD_PASS_THRESHOLD
