group_type,group_value,grain_km,component_type,fia_code_count,universe_target_code_rows,union_nonzero_scored_rows,positive_trace_pair_count,finite_relative_frobenius_count,median_relative_frobenius,p90_relative_frobenius,median_trace_abs_log_ratio,median_unit_trace_frobenius,median_variance_location_tv,noise_comparable_count,median_transport_to_noise_ratio,median_shape_transport_to_noise_ratio,target_within_df_positive_fraction,pool_within_df_positive_fraction,evidence_class
ALL,ALL,50,T,97,450080,30258,9273,10662,1.0022487748866118,13.471295355556482,1.668408068403362,0.8626988418253329,0.844311377245509,10019,0.7002410395093317,0.7402788060398107,0.9255073038535263,0.9994381651133585,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
ROUTE,LEVEL1,50,T,97,426509,28404,9127,10513,1.0022292602090068,13.632799837692364,1.670774690142566,0.8593497513741962,0.8401558888262406,9905,0.7020977115652159,0.7420124579578757,0.9308196028728348,0.9994014927475003,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
ROUTE,LEVEL2,50,T,97,23571,1854,146,149,1.003293633033946,2.7228813778453507,1.546083348115149,1.0117402276622554,0.9786618555247009,114,0.5935695998077066,0.6623188257732663,0.8441208198489751,1.0,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
REFERENCE_STRENGTH,R1,50,T,97,27936,2021,147,154,1.0003278135716416,4.43167947638912,2.1156887044971966,1.0368605201099665,0.9648514534692555,0,nan,nan,0.5131123206333498,0.9995051954477981,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
REFERENCE_STRENGTH,R2,50,T,97,102529,6540,768,876,1.0000015777068398,8.509885325233093,2.1532132098549974,1.0119280880250474,0.9422742837257816,400,0.5541147036633849,0.6644815330822181,0.8235474006116208,0.9986238532110092,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
REFERENCE_STRENGTH,R3,50,T,97,109416,5735,1111,1269,1.0,7.123977896124196,1.8258586023571906,0.9412526094836811,0.889523234816695,1267,0.6041234705773644,0.6834312584779016,0.9797733217088056,0.9987794245858762,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
REFERENCE_STRENGTH,R4,50,T,97,97194,4882,1752,2006,1.0012743400589263,9.646794910150096,1.5467887110153966,0.8636714061102961,0.8172817124260471,2002,0.6515550268207835,0.7159381614811504,1.0,1.0,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
REFERENCE_STRENGTH,R5,50,T,97,113005,11080,5495,6357,1.0143643638928812,16.70595721613669,1.6365760958427604,0.8232449939458324,0.8262837621436958,6350,0.7440570248623921,0.7646408316710589,1.0,1.0,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
ROUTE_X_REFERENCE,LEVEL1|R1,50,T,97,23571,1549,131,138,1.0001860329046974,4.572977221350351,2.2717064717617625,1.040293578027589,0.9460243458732286,0,nan,nan,0.513879922530665,0.9993544222078761,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
ROUTE_X_REFERENCE,LEVEL1|R2,50,T,97,96127,6015,731,839,1.0,9.20528624933749,2.2187424514327754,1.0116966550746227,0.93842162305763,382,0.5465240021137499,0.6635088210513702,0.8177888611803824,0.9985037406483791,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
ROUTE_X_REFERENCE,LEVEL1|R3,50,T,97,102141,5114,1032,1189,1.0,7.219877233969983,1.8320598465867604,0.9294664007727955,0.87022180273714,1187,0.6057839846624238,0.6846410125194964,0.9773171685569026,0.9986312084473993,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
ROUTE_X_REFERENCE,LEVEL1|R4,50,T,97,94381,4718,1738,1990,1.0012743400589263,9.67580080402375,1.552224710298879,0.8629437576455102,0.8163448562328115,1986,0.6515550268207835,0.7160826962594006,1.0,1.0,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
ROUTE_X_REFERENCE,LEVEL1|R5,50,T,97,110289,11008,5495,6357,1.0143643638928812,16.70595721613669,1.6365760958427604,0.8232449939458324,0.8262837621436958,6350,0.7440570248623921,0.7646408316710589,1.0,1.0,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
ROUTE_X_REFERENCE,LEVEL2|R1,50,T,97,4365,472,16,16,1.0006494164481285,1.7308824489609367,1.1039959912931683,1.0229713908352454,0.9928723939890383,0,nan,nan,0.510593220338983,1.0,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
ROUTE_X_REFERENCE,LEVEL2|R2,50,T,97,6402,525,37,37,1.006309450926561,1.6436440832056194,1.547612984534236,1.0208717590118603,0.9875686014068356,18,0.6257860767880564,0.6824785200248962,0.8895238095238095,1.0,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
ROUTE_X_REFERENCE,LEVEL2|R3,50,T,97,7275,621,79,80,1.00302789492645,3.2375706716478545,1.5721095586347216,0.997215042888233,0.9606788958830063,80,0.5828647549224839,0.6172115705171874,1.0,1.0,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
ROUTE_X_REFERENCE,LEVEL2|R4,50,T,97,2813,164,14,16,1.005900231253167,2.7907797323666506,1.5076866865753105,1.005185682889536,0.9635011443092543,16,0.6330951891531287,0.7001589638478308,1.0,1.0,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
ROUTE_X_REFERENCE,LEVEL2|R5,50,T,97,2716,72,0,0,nan,nan,nan,nan,nan,0,nan,nan,1.0,1.0,WEAKLY_IDENTIFIED_OR_TOO_FEW_FINITE_CASES
ALL,ALL,50,W,97,450080,30258,8416,12470,1.0,8.518655996058008,1.0793667120918187,0.8538433838190129,0.8337356785071022,9230,0.7091208010110059,0.741126019264811,0.9255073038535263,0.9994381651133585,Q1_DIRECT97_DIAGNOSTIC_ONLY_NO_COMPONENT_SELECTION
