FIA_SPCD,accepted_scientific_name,stress_tier,AB_fold_B_envelope_tv,BA_fold_A_envelope_tv,max_direction_envelope_tv,abs_AB_minus_BA_envelope_tv,AB_fold_discrepancy_tv,max_stress_to_fold_discrepancy_ratio,comparison_class
16,Abies fraseri,E_OBSERVED,0.0,0.0,0.0,0.0,0.8781180897676197,0.0,POSITIVE_FOLD_DISCREPANCY
16,Abies fraseri,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.8781180897676197,1.1387989971424395,POSITIVE_FOLD_DISCREPANCY
16,Abies fraseri,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.8781180897676197,1.1387989971424395,POSITIVE_FOLD_DISCREPANCY
22,Abies procera,E_OBSERVED,0.0,0.012672747696756779,0.012672747696756779,0.012672747696756779,0.36177295769453643,0.03502956046664227,POSITIVE_FOLD_DISCREPANCY
22,Abies procera,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.36177295769453643,2.7641645919935,POSITIVE_FOLD_DISCREPANCY
22,Abies procera,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.36177295769453643,2.7641645919935,POSITIVE_FOLD_DISCREPANCY
41,Chamaecyparis lawsoniana,E_OBSERVED,0.0,0.0,0.0,0.0,0.2482720070359495,0.0,POSITIVE_FOLD_DISCREPANCY
41,Chamaecyparis lawsoniana,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.2482720070359495,4.02784031892569,POSITIVE_FOLD_DISCREPANCY
41,Chamaecyparis lawsoniana,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.2482720070359495,4.02784031892569,POSITIVE_FOLD_DISCREPANCY
43,Chamaecyparis thyoides,E_OBSERVED,0.0,0.0,0.0,0.0,0.5346443912728696,0.0,POSITIVE_FOLD_DISCREPANCY
43,Chamaecyparis thyoides,E_P95,0.09261156421587981,1.0,1.0,0.9073884357841202,0.5346443912728696,1.8704021146078462,POSITIVE_FOLD_DISCREPANCY
43,Chamaecyparis thyoides,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,0.5346443912728696,1.8704021146078462,POSITIVE_FOLD_DISCREPANCY
52,Hesperocyparis bakeri,E_OBSERVED,0.0,0.0,0.0,0.0,NA,NA,ZERO_FOLD_DISCREPANCY_RATIO_UNDEFINED
