population,group_type,group_value,metric,count,undefined_count,exact_zero_count,exact_zero_fraction,median,q25,q75,iqr,p90,p95,max
ALL_PSEUDO_EVENTS,ALL,ALL,NORMALIZED_TV,26138299,0,24849610,0.9506972890623067,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ALL_PSEUDO_EVENTS,ALL,ALL,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,26138299,0,24849483,0.9506924302916575,0.0,0.0,0.0,0.0,0.0,0.0,498.8439359214557
ALL_PSEUDO_EVENTS,HIGH_TI,P95_OR_HIGHER,NORMALIZED_TV,196716,0,192730,0.9797372862400618,0.0,0.0,0.0,0.0,0.0,0.0,0.9042613168968997
ALL_PSEUDO_EVENTS,HIGH_TI,P95_OR_HIGHER,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,196716,0,192737,0.9797728705341711,0.0,0.0,0.0,0.0,0.0,0.0,23.506786723055022
ALL_PSEUDO_EVENTS,GE_P99,GE_P99,NORMALIZED_TV,15617,0,15465,0.9902670167125568,0.0,0.0,0.0,0.0,0.0,0.0,0.22710785111423298
ALL_PSEUDO_EVENTS,GE_P99,GE_P99,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,15617,0,15467,0.9903950822821285,0.0,0.0,0.0,0.0,0.0,0.0,0.33614387401718765
ALL_PSEUDO_EVENTS,LEVEL,LEVEL1,NORMALIZED_TV,25667558,0,24380658,0.9498627800899485,0.0,0.0,0.0,0.0,0.0,3.062821992784465e-05,1.0
ALL_PSEUDO_EVENTS,LEVEL,LEVEL1,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,25667558,0,24380522,0.9498574815726529,0.0,0.0,0.0,0.0,0.0,3.062821992782268e-05,498.8439359214557
ALL_PSEUDO_EVENTS,LEVEL,LEVEL2,NORMALIZED_TV,470741,0,468952,0.9961996087020251,0.0,0.0,0.0,0.0,0.0,0.0,0.35848966793697556
ALL_PSEUDO_EVENTS,LEVEL,LEVEL2,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,470741,0,468961,0.9962187274955867,0.0,0.0,0.0,0.0,0.0,0.0,0.5855443960098169
ALL_PSEUDO_EVENTS,FOLD,A,NORMALIZED_TV,10536043,0,10056722,0.9545065448195305,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ALL_PSEUDO_EVENTS,FOLD,A,ABSOLUTE_RELATIVE_TOTAL_MASS_PERTURBATION,10536043,0,10056551,0.954490314817432,0.0,0.0,0.0,0.0,0.0,0.0,299.99999999999994
ALL_PSEUDO_EVENTS,FOLD,B,NORMALIZED_TV,15602256,0,14792888,0.9481249378295036,0.0,0.0,0.0,0.0,0.0,0.00012602419909474066,1.0
