FIA_SPCD,accepted_scientific_name,direction,fold,stress_tier,conservative_envelope_tv,AB_fold_discrepancy_tv,stress_to_fold_discrepancy_ratio,stress_minus_fold_discrepancy,comparison_class
16,Abies fraseri,AB,B,E_OBSERVED,0.0,0.8781180897676197,0.0,-0.8781180897676197,STRESS_LT_FOLD_DISCREPANCY
16,Abies fraseri,BA,A,E_OBSERVED,0.0,0.8781180897676197,0.0,-0.8781180897676197,STRESS_LT_FOLD_DISCREPANCY
16,Abies fraseri,AB,B,E_P95,0.09261156421587981,0.8781180897676197,0.10546595645283656,-0.7855065255517399,STRESS_LT_FOLD_DISCREPANCY
16,Abies fraseri,BA,A,E_P95,1.0,0.8781180897676197,1.1387989971424395,0.12188191023238026,STRESS_GT_FOLD_DISCREPANCY
16,Abies fraseri,AB,B,E_EMPIRICAL_MAX,1.0,0.8781180897676197,1.1387989971424395,0.12188191023238026,STRESS_GT_FOLD_DISCREPANCY
16,Abies fraseri,BA,A,E_EMPIRICAL_MAX,1.0,0.8781180897676197,1.1387989971424395,0.12188191023238026,STRESS_GT_FOLD_DISCREPANCY
22,Abies procera,AB,B,E_OBSERVED,0.0,0.36177295769453643,0.0,-0.36177295769453643,STRESS_LT_FOLD_DISCREPANCY
22,Abies procera,BA,A,E_OBSERVED,0.012672747696756779,0.36177295769453643,0.03502956046664227,-0.34910020999777963,STRESS_LT_FOLD_DISCREPANCY
22,Abies procera,AB,B,E_P95,0.09261156421587981,0.36177295769453643,0.25599360661466725,-0.26916139347865664,STRESS_LT_FOLD_DISCREPANCY
22,Abies procera,BA,A,E_P95,1.0,0.36177295769453643,2.7641645919935,0.6382270423054636,STRESS_GT_FOLD_DISCREPANCY
22,Abies procera,AB,B,E_EMPIRICAL_MAX,1.0,0.36177295769453643,2.7641645919935,0.6382270423054636,STRESS_GT_FOLD_DISCREPANCY
22,Abies procera,BA,A,E_EMPIRICAL_MAX,1.0,0.36177295769453643,2.7641645919935,0.6382270423054636,STRESS_GT_FOLD_DISCREPANCY
41,Chamaecyparis lawsoniana,AB,B,E_OBSERVED,0.0,0.2482720070359495,0.0,-0.2482720070359495,STRESS_LT_FOLD_DISCREPANCY
41,Chamaecyparis lawsoniana,BA,A,E_OBSERVED,0.0,0.2482720070359495,0.0,-0.2482720070359495,STRESS_LT_FOLD_DISCREPANCY
41,Chamaecyparis lawsoniana,AB,B,E_P95,0.09261156421587981,0.2482720070359495,0.37302459234749635,-0.1556604428200697,STRESS_LT_FOLD_DISCREPANCY
41,Chamaecyparis lawsoniana,BA,A,E_P95,1.0,0.2482720070359495,4.02784031892569,0.7517279929640505,STRESS_GT_FOLD_DISCREPANCY
41,Chamaecyparis lawsoniana,AB,B,E_EMPIRICAL_MAX,1.0,0.2482720070359495,4.02784031892569,0.7517279929640505,STRESS_GT_FOLD_DISCREPANCY
41,Chamaecyparis lawsoniana,BA,A,E_EMPIRICAL_MAX,1.0,0.2482720070359495,4.02784031892569,0.7517279929640505,STRESS_GT_FOLD_DISCREPANCY
43,Chamaecyparis thyoides,AB,B,E_OBSERVED,0.0,0.5346443912728696,0.0,-0.5346443912728696,STRESS_LT_FOLD_DISCREPANCY
43,Chamaecyparis thyoides,BA,A,E_OBSERVED,0.0,0.5346443912728696,0.0,-0.5346443912728696,STRESS_LT_FOLD_DISCREPANCY
43,Chamaecyparis thyoides,AB,B,E_P95,0.09261156421587981,0.5346443912728696,0.17322086554652194,-0.44203282705698976,STRESS_LT_FOLD_DISCREPANCY
43,Chamaecyparis thyoides,BA,A,E_P95,1.0,0.5346443912728696,1.8704021146078462,0.46535560872713044,STRESS_GT_FOLD_DISCREPANCY
43,Chamaecyparis thyoides,AB,B,E_EMPIRICAL_MAX,1.0,0.5346443912728696,1.8704021146078462,0.46535560872713044,STRESS_GT_FOLD_DISCREPANCY
43,Chamaecyparis thyoides,BA,A,E_EMPIRICAL_MAX,1.0,0.5346443912728696,1.8704021146078462,0.46535560872713044,STRESS_GT_FOLD_DISCREPANCY
52,Hesperocyparis bakeri,AB,B,E_OBSERVED,0.0,NA,NA,NA,STRESS_GT_FOLD_DISCREPANCY
52,Hesperocyparis bakeri,BA,A,E_OBSERVED,0.0,NA,NA,NA,STRESS_GT_FOLD_DISCREPANCY
52,Hesperocyparis bakeri,AB,B,E_P95,0.09261156421587981,NA,NA,NA,STRESS_GT_FOLD_DISCREPANCY
52,Hesperocyparis bakeri,BA,A,E_P95,1.0,NA,NA,NA,STRESS_GT_FOLD_DISCREPANCY
52,Hesperocyparis bakeri,AB,B,E_EMPIRICAL_MAX,1.0,NA,NA,NA,STRESS_GT_FOLD_DISCREPANCY
52,Hesperocyparis bakeri,BA,A,E_EMPIRICAL_MAX,1.0,NA,NA,NA,STRESS_GT_FOLD_DISCREPANCY
54,Hesperocyparis macrocarpa,AB,B,E_OBSERVED,0.0,NA,NA,NA,STRESS_GT_FOLD_DISCREPANCY
54,Hesperocyparis macrocarpa,BA,A,E_OBSERVED,0.0,NA,NA,NA,STRESS_GT_FOLD_DISCREPANCY
54,Hesperocyparis macrocarpa,AB,B,E_P95,0.09261156421587981,NA,NA,NA,STRESS_GT_FOLD_DISCREPANCY
54,Hesperocyparis macrocarpa,BA,A,E_P95,1.0,NA,NA,NA,STRESS_GT_FOLD_DISCREPANCY
54,Hesperocyparis macrocarpa,AB,B,E_EMPIRICAL_MAX,1.0,NA,NA,NA,STRESS_GT_FOLD_DISCREPANCY
54,Hesperocyparis macrocarpa,BA,A,E_EMPIRICAL_MAX,1.0,NA,NA,NA,STRESS_GT_FOLD_DISCREPANCY
55,Hesperocyparis sargentii,AB,B,E_OBSERVED,0.0,1.0,0.0,-1.0,STRESS_LT_FOLD_DISCREPANCY
55,Hesperocyparis sargentii,BA,A,E_OBSERVED,0.0,1.0,0.0,-1.0,STRESS_LT_FOLD_DISCREPANCY
55,Hesperocyparis sargentii,AB,B,E_P95,0.09261156421587981,1.0,0.09261156421587981,-0.9073884357841202,STRESS_LT_FOLD_DISCREPANCY
55,Hesperocyparis sargentii,BA,A,E_P95,1.0,1.0,1.0,0.0,STRESS_EQ_FOLD_DISCREPANCY
55,Hesperocyparis sargentii,AB,B,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,STRESS_EQ_FOLD_DISCREPANCY
55,Hesperocyparis sargentii,BA,A,E_EMPIRICAL_MAX,1.0,1.0,1.0,0.0,STRESS_EQ_FOLD_DISCREPANCY
64,Juniperus occidentalis,AB,B,E_OBSERVED,0.0,0.22499788264293655,0.0,-0.22499788264293655,STRESS_LT_FOLD_DISCREPANCY
64,Juniperus occidentalis,BA,A,E_OBSERVED,0.0,0.22499788264293655,0.0,-0.22499788264293655,STRESS_LT_FOLD_DISCREPANCY
64,Juniperus occidentalis,AB,B,E_P95,0.09261156421587981,0.22499788264293655,0.411610825524305,-0.13238631842705673,STRESS_LT_FOLD_DISCREPANCY
64,Juniperus occidentalis,BA,A,E_P95,1.0,0.22499788264293655,4.444486269175091,0.7750021173570635,STRESS_GT_FOLD_DISCREPANCY
64,Juniperus occidentalis,AB,B,E_EMPIRICAL_MAX,1.0,0.22499788264293655,4.444486269175091,0.7750021173570635,STRESS_GT_FOLD_DISCREPANCY
64,Juniperus occidentalis,BA,A,E_EMPIRICAL_MAX,1.0,0.22499788264293655,4.444486269175091,0.7750021173570635,STRESS_GT_FOLD_DISCREPANCY
65,Juniperus osteosperma,AB,B,E_OBSERVED,0.0,0.20028858265018312,0.0,-0.20028858265018312,STRESS_LT_FOLD_DISCREPANCY
65,Juniperus osteosperma,BA,A,E_OBSERVED,0.0,0.20028858265018312,0.0,-0.20028858265018312,STRESS_LT_FOLD_DISCREPANCY
65,Juniperus osteosperma,AB,B,E_P95,0.09261156421587981,0.20028858265018312,0.4623906315100939,-0.10767701843430331,STRESS_LT_FOLD_DISCREPANCY
65,Juniperus osteosperma,BA,A,E_P95,1.0,0.20028858265018312,4.992795828739595,0.7997114173498169,STRESS_GT_FOLD_DISCREPANCY
65,Juniperus osteosperma,AB,B,E_EMPIRICAL_MAX,1.0,0.20028858265018312,4.992795828739595,0.7997114173498169,STRESS_GT_FOLD_DISCREPANCY
65,Juniperus osteosperma,BA,A,E_EMPIRICAL_MAX,1.0,0.20028858265018312,4.992795828739595,0.7997114173498169,STRESS_GT_FOLD_DISCREPANCY
92,Picea breweriana,AB,B,E_OBSERVED,0.0,0.6529911712432936,0.0,-0.6529911712432936,STRESS_LT_FOLD_DISCREPANCY
92,Picea breweriana,BA,A,E_OBSERVED,0.0,0.6529911712432936,0.0,-0.6529911712432936,STRESS_LT_FOLD_DISCREPANCY
