FIA_SPCD,accepted_scientific_name,direction,fold,actual_case_count,observed_positive_case_count,max_individual_state_aligned_p95,marginal_mean_triangle_upper_sum_raw,marginal_mean_triangle_upper_sum_capped_at_1,empirical_marginal_expected_hidden_positive_count,marginal_union_outer_bound_capped_at_1,observed_point_tv_sum,parent_extreme_failure_conditional_p95_sum_capped_at_1,AB_fold_discrepancy_tv,max_p95_to_fold_tv_ratio,mean_sum_to_fold_tv_ratio,primary_labels,outer_label
16,Abies fraseri,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.8781180897676197,0.0,6.712946598249466e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
22,Abies procera,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.36177295769453643,0.0,0.00016294086437892663,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
41,Chamaecyparis lawsoniana,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.2482720070359495,0.0,0.00023743151368302702,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
43,Chamaecyparis thyoides,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.5346443912728696,0.0,0.00011025571276512877,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
52,Hesperocyparis bakeri,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,NA,NA,NA,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
54,Hesperocyparis macrocarpa,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,NA,NA,NA,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
55,Hesperocyparis sargentii,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,1.0,0.0,5.8947598435668624e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
64,Juniperus occidentalis,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.22499788264293655,0.0,0.00026199179184817627,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
65,Juniperus osteosperma,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.20028858265018312,0.0,0.000294313323583823,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
92,Picea breweriana,AB,B,2,0,0.0,5.8947598435668624e-05,5.8947598435668624e-05,0.011120484821956128,0.011120484821956128,0.0,0.09261156421587981,0.6529911712432936,0.0,9.027319362286711e-05,MAX_INDIVIDUAL_STATE_ALIGNED_P95;MARGINAL_MEAN_TRIANGLE_UPPER_SUM;EMPIRICAL_MARGINAL_EXPECTED_HIDDEN_POSITIVE_COUNT,EXTREME_OUTER_NO_CANCELLATION_ENVELOPE_COMPARISON_ONLY
