group_type,group_value,weighting,state,diagnostic_role,target_count,opportunity_target_count,contributing_target_count,raw_nonzero_state_events,raw_structural_zero_events,opportunity_mass,exact_zero_metric_mass,exact_zero_metric_fraction,mean,median,p90,p95,p99,max,quantile_method
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,33,33,17,80,0,0.19391261659302897,0.0,0.0,0.00804135799660782,0.0024559330818190173,0.02184354596909463,0.03093831398571201,0.065063920457783,0.065063920457783,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|GE_P99,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,33,33,17,80,0,80.0,0.0,0.0,0.008467718933663621,0.002902169298604469,0.01928539963418049,0.065063920457783,0.065063920457783,0.065063920457783,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,1983,1983,1052,437679,0,42.32869599707418,0.07406897651185035,0.0017498525472405316,0.01568436109333408,0.0030080973888510945,0.028827424881760703,0.05559911143433814,0.24052224935092137,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|LT_P95,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,1983,1983,1052,437679,0,437679.0,221.0,0.0005049362660762796,0.02244176000246568,0.004468508187361943,0.04211464781298892,0.0846871277464994,0.3025344045722534,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,190,190,85,3079,0,1.3747267554971279,0.0,0.0,0.02021359779357029,0.0037133074635584927,0.036033275570118935,0.10347301183600205,0.31851012950491986,0.38169362951953767,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,190,190,85,3079,0,3079.0,0.0,0.0,0.04639601919392389,0.006616681118240687,0.14667332695051116,0.38169362951953767,0.38169362951953767,0.38169362951953767,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,3,3,0,0,0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|GE_P99,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,3,3,0,0,0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,107,107,25,577,0,0.526521130644842,0.0,0.0,0.002692961115251132,0.0011933973443871624,0.006199475520719505,0.010531767986588832,0.02927721980049086,0.02927721980049086,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|LT_P95,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,107,107,25,577,0,577.0,0.0,0.0,0.003096370573204319,0.0013448104161018814,0.006278819304004156,0.0116985684922433,0.02927721980049086,0.02927721980049086,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,8,8,1,1,0,0.005154639175257732,0.0,0.0,0.0029861000967321186,0.0029861000967321186,0.0029861000967321186,0.0029861000967321186,0.0029861000967321186,0.0029861000967321186,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,8,8,1,1,0,1.0,0.0,0.0,0.0029861000967321186,0.0029861000967321186,0.0029861000967321186,0.0029861000967321186,0.0029861000967321186,0.0029861000967321186,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,B|LEVEL1|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_AND_TARGET_POSITIVE_ZPLUS,FAILURE_CONDITIONAL_SEVERITY_ONLY,4,4,2,19,0,0.028350515463917526,0.0,0.0,0.011659213766484653,0.0038411198648800196,0.04660998228038563,0.04660998228038563,0.04660998228038563,0.04660998228038563,WEIGHTED_INVERSE_EMPIRICAL_CDF
