group_type,group_value,weighting,estimand,target_count,zero_opportunity_target_count,zplus_target_count,raw_selected_y_zero_opportunities,raw_z0_events,raw_zplus_events,weighted_selected_y_zero_opportunities,weighted_z0_mass,weighted_zplus_mass,hidden_positive_frequency
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,33,33,17,11206,11126,80,32.85370643102602,32.65979381443299,0.19391261659302897,0.005902305634834063
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|GE_P99,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,33,33,17,11206,11126,80,11206.0,11126.0,80.0,0.007139032661074424
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1983,1983,1052,10136832,9699153,437679,1976.5348815640846,1934.2061855670104,42.32869599707418,0.021415607886251093
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|LT_P95,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,1983,1983,1052,10136832,9699153,437679,10136832.0,9699153.0,437679.0,0.04317709911735738
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,190,190,85,163063,159984,3079,189.4984380957033,188.12371134020617,1.3747267554971279,0.007254554545736377
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|P95_TO_LT_P99,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,190,190,85,163063,159984,3079,163063.0,159984.0,3079.0,0.01888227249590649
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,3,3,0,582,582,0,3,3,0,0.0
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|GE_P99,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,3,3,0,582,582,0,582.0,582.0,0.0,0.0
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,107,107,25,181951,181374,577,106.85641803786133,106.3298969072165,0.526521130644842,0.00492737020679736
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|LT_P95,EVENT_EQUAL,EMPIRICAL_TRANSPORT_FREQUENCY_NOT_BIOLOGICAL_DETECTION_PROBABILITY,107,107,25,181951,181374,577,181951.0,181374.0,577.0,0.0031711834504894176
