group_type,group_value,weighting,state,diagnostic_role,target_count,opportunity_target_count,contributing_target_count,raw_nonzero_state_events,raw_structural_zero_events,opportunity_mass,exact_zero_metric_mass,exact_zero_metric_fraction,mean,median,p90,p95,p99,max,quantile_method
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,33,17,17,46,0,0.14629356897398135,0.0,0.0,0.010054201486731314,0.0033900719703249932,0.02162833358009399,0.029004533282307877,0.22710785111423298,0.22710785111423298,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|GE_P99,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,33,17,17,46,0,46.0,0.0,0.0,0.013155728404474909,0.0035237826578630913,0.028795533130784378,0.04241564204042975,0.14466200313532693,0.22710785111423298,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1983,1053,1053,37401,0,6.465118435915513,0.013773571571047763,0.0021304438128359384,0.051091957759548785,0.01679204879945504,0.1303544338184567,0.2291430428841985,0.5297800408303919,0.9557394916381825,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|LT_P95,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,1983,1053,1053,37401,0,37401.0,16.0,0.00042779604823400445,0.1025199971119839,0.04496875802347256,0.26888119844072333,0.4244374318512103,0.7596148212977839,0.9557394916381825,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,190,88,88,576,0,0.5015619042966866,0.0,0.0,0.043309917887546005,0.009642526669273196,0.10769104401137644,0.25264789178429803,0.4730117196589503,0.9042613168968997,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,190,88,88,576,0,576.0,0.0,0.0,0.1591854175686084,0.04319873921152251,0.4782949685341147,0.6214135924858364,0.8452787490199948,0.9042613168968997,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,3,0,0,0,0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|GE_P99,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,3,0,0,0,0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,107,25,25,118,0,0.14358196213866317,0.0,0.0,0.009683812217161978,0.003299073419094841,0.018780677529559798,0.027825345811320262,0.12628118812594125,0.35848966793697556,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|LT_P95,EVENT_EQUAL,SELECTED_Y_POSITIVE,POSITIVE_OBSERVATION_CALIBRATION,107,25,25,118,0,118.0,0.0,0.0,0.013903282272337964,0.004209563459791604,0.025363034209953637,0.04420853335704713,0.11937427120067891,0.35848966793697556,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
