FIA_SPCD,accepted_scientific_name,direction,fold,max_individual_state_aligned_p95,marginal_mean_triangle_upper_sum_raw,AB_fold_discrepancy_tv,max_p95_to_fold_tv_ratio,mean_sum_to_fold_tv_ratio,p95_minus_fold_tv,mean_sum_minus_fold_tv,primary_comparison
16,Abies fraseri,AB,B,0.0,5.8947598435668624e-05,0.8781180897676197,0.0,6.712946598249466e-05,-0.8781180897676197,-0.878059142169184,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
16,Abies fraseri,BA,A,0.0,0.001493305668856408,0.8781180897676197,0.0,0.0017005749981207974,-0.8781180897676197,-0.8766247840987633,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
22,Abies procera,AB,B,0.0,5.8947598435668624e-05,0.36177295769453643,0.0,0.00016294086437892663,-0.36177295769453643,-0.36171401009610077,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
22,Abies procera,BA,A,0.22801588374405032,0.051218386395989114,0.36177295769453643,0.6302734322574102,0.14157605013483468,-0.1337570739504861,-0.3105545712985473,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
41,Chamaecyparis lawsoniana,AB,B,0.0,5.8947598435668624e-05,0.2482720070359495,0.0,0.00023743151368302702,-0.2482720070359495,-0.24821305943751384,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
41,Chamaecyparis lawsoniana,BA,A,0.0,0.001493305668856408,0.2482720070359495,0.0,0.006014796781500136,-0.2482720070359495,-0.2467787013670931,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
43,Chamaecyparis thyoides,AB,B,0.0,5.8947598435668624e-05,0.5346443912728696,0.0,0.00011025571276512877,-0.5346443912728696,-0.5345854436744338,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
43,Chamaecyparis thyoides,BA,A,0.0,0.001493305668856408,0.5346443912728696,0.0,0.00279308208078491,-0.5346443912728696,-0.5331510856040131,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
52,Hesperocyparis bakeri,AB,B,0.0,5.8947598435668624e-05,NA,NA,NA,NA,NA,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
52,Hesperocyparis bakeri,BA,A,0.0,0.001493305668856408,NA,NA,NA,NA,NA,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
54,Hesperocyparis macrocarpa,AB,B,0.0,5.8947598435668624e-05,NA,NA,NA,NA,NA,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
54,Hesperocyparis macrocarpa,BA,A,0.0,0.001493305668856408,NA,NA,NA,NA,NA,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
55,Hesperocyparis sargentii,AB,B,0.0,5.8947598435668624e-05,1.0,0.0,5.8947598435668624e-05,-1.0,-0.9999410524015643,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
55,Hesperocyparis sargentii,BA,A,0.0,0.001493305668856408,1.0,0.0,0.001493305668856408,-1.0,-0.9985066943311436,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
64,Juniperus occidentalis,AB,B,0.0,5.8947598435668624e-05,0.22499788264293655,0.0,0.00026199179184817627,-0.22499788264293655,-0.22493893504450088,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
64,Juniperus occidentalis,BA,A,0.0,0.001493305668856408,0.22499788264293655,0.0,0.006636976540913631,-0.22499788264293655,-0.22350457697408013,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
65,Juniperus osteosperma,AB,B,0.0,5.8947598435668624e-05,0.20028858265018312,0.0,0.000294313323583823,-0.20028858265018312,-0.20022963505174746,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
65,Juniperus osteosperma,BA,A,0.0,0.001493305668856408,0.20028858265018312,0.0,0.007455770314499466,-0.20028858265018312,-0.1987952769813267,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
92,Picea breweriana,AB,B,0.0,5.8947598435668624e-05,0.6529911712432936,0.0,9.027319362286711e-05,-0.6529911712432936,-0.6529322236448579,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
92,Picea breweriana,BA,A,0.0,0.001493305668856408,0.6529911712432936,0.0,0.002286869615730267,-0.6529911712432936,-0.6514978655744372,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
96,Picea pungens,AB,B,0.0,5.8947598435668624e-05,0.6583656886312532,0.0,8.95362553875204e-05,-0.6583656886312532,-0.6583067410328175,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
96,Picea pungens,BA,A,0.0,0.001493305668856408,0.6583656886312532,0.0,0.002268200932465057,-0.6583656886312532,-0.6568723829623968,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
102,Pinus aristata,AB,B,0.0,5.8947598435668624e-05,0.3597176319041692,0.0,0.00016387186283760646,-0.3597176319041692,-0.35965868430573356,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
102,Pinus aristata,BA,A,0.0,0.001493305668856408,0.3597176319041692,0.0,0.004151327420208952,-0.3597176319041692,-0.3582243262353128,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
104,Pinus balfouriana,AB,B,0.0,5.8947598435668624e-05,0.09213427126509827,0.0,0.0006398009950722732,-0.09213427126509827,-0.0920753236666626,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
104,Pinus balfouriana,BA,A,0.0,0.001493305668856408,0.09213427126509827,0.0,0.016207928367498715,-0.09213427126509827,-0.09064096559624185,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
106,Pinus edulis,AB,B,0.0,5.8947598435668624e-05,0.17643220215445113,0.0,0.0003341090669154892,-0.17643220215445113,-0.17637325455601546,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
106,Pinus edulis,BA,A,0.0,0.001493305668856408,0.17643220215445113,0.0,0.008463906535322549,-0.17643220215445113,-0.1749388964855947,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
107,Pinus clausa,AB,B,0.0,5.8947598435668624e-05,0.35734108584753566,0.0,0.00016496171520791596,-0.35734108584753566,-0.3572821382491,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
107,Pinus clausa,BA,A,0.0,0.001493305668856408,0.35734108584753566,0.0,0.0041789363943824445,-0.35734108584753566,-0.35584778017867924,OBSERVED_STATE_ALIGNED_NOT_FAILURE_CONDITIONAL_SUM
