group_type,group_value,weighting,state,target_count,opportunity_target_count,contributing_target_count,raw_nonzero_state_events,raw_structural_zero_events,opportunity_mass,exact_zero_metric_mass,exact_zero_metric_fraction,mean,median,p90,p95,p99,max,quantile_method
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,33,33,17,80,11126,32.85370643102602,32.65979381443299,0.9940976943651658,4.746255261509629e-05,0.0,0.0,0.0,0.0,0.065063920457783,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|GE_P99,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,33,33,17,80,11126,11206.0,11126.0,0.9928609673389256,6.04513220322229e-05,0.0,0.0,0.0,0.0,0.065063920457783,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,1983,1983,1052,437679,9699153,1976.5348815640846,1934.2802545435222,0.9786218662697593,0.0003358901271212151,0.0,0.0,0.0,0.003428431169332339,1.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|LT_P95,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,1983,1983,1052,437679,9699153,10136832.0,9699374.0,0.956844702565851,0.0009689700959944069,0.0,0.0,0.0,0.016876320231402668,1.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|P95_TO_LT_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,190,190,85,3079,159984,189.4984380957033,188.12371134020617,0.9927454454542636,0.00014664064775903214,0.0,0.0,0.0,0.0,0.38169362951953767,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL1|P95_TO_LT_P99,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,190,190,85,3079,159984,163063.0,159984.0,0.9811177275040935,0.0008760622771449786,0.0,0.0,0.0,0.0063784018944531935,0.38169362951953767,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|GE_P99,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,3,3,0,0,582,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|GE_P99,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,3,3,0,0,582,582.0,582.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|LT_P95,TARGET_EQUAL_THEN_PLOT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,107,107,25,577,181374,106.85641803786133,106.3298969072165,0.9950726297932027,1.3269216367352221e-05,0.0,0.0,0.0,0.0,0.02927721980049086,WEIGHTED_INVERSE_EMPIRICAL_CDF
H1_FOLD_ROUTE_TI_BAND,A|LEVEL2|LT_P95,EVENT_EQUAL,SELECTED_Y_ZERO_MIXTURE_Z0_PLUS_ZPLUS,107,107,25,577,181374,181951.0,181374.0,0.9968288165495106,9.819159118327967e-06,0.0,0.0,0.0,0.0,0.02927721980049086,LEGACY_TYPE7_EXPANDED_EVENT_DISTRIBUTION
