asset,required,path_or_member,size_bytes,expected_sha256,actual_sha256,verification_method,status,notes
Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip,YES,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip,22496593,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,FRESH_SHA256,PASS,Exact canonical path; no similarly named substitution.
D10CA_v01.zip,YES,C:\range_paper\10_archive\d10ca\D10CA_v01.zip,7092335,c8f73406f7f192b8f124add3cb0ded7ea65474e8d72d752e37dc557a08588865,c8f73406f7f192b8f124add3cb0ded7ea65474e8d72d752e37dc557a08588865,FRESH_SHA256,PASS,Exact canonical path; no similarly named substitution.
D10FB_v01.zip,YES,C:\range_paper\10_archive\d10fb_preflight_v01\D10FB_v01.zip,54041,c1fe94678d69810b5ce8ced4c1673f03d6568f2c01576165b68fc451b9acccbd,c1fe94678d69810b5ce8ced4c1673f03d6568f2c01576165b68fc451b9acccbd,FRESH_SHA256,PASS,Exact canonical path; no similarly named substitution.
D10FB2_v01.zip,NO,NOT_PRESENT,,ee03e4fce413ee1718b21ead482dbd1ee3fe922b84554d73b2f0d66f6ce5f8c4,NOT_PRESENT,BOUNDED_LOCAL_FILENAME_SEARCH,OPTIONAL_NOT_PRESENT,B3 relies only on D09C/D10C-A/D10F-B local identities as authorized.
D09C_INTERNAL_MANIFEST,YES,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip::Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/SHA256SUMS.csv,27,ALL_LISTED_MEMBERS_MATCH,PASS,INTERNAL_SIZE_AND_SHA256,PASS,All listed non-manifest members.
D10CA_INTERNAL_MANIFEST,YES,C:\range_paper\10_archive\d10ca\D10CA_v01.zip::D10CA_v01/manifest/sha256s.csv,17,ALL_LISTED_MEMBERS_MATCH,PASS,INTERNAL_SIZE_AND_SHA256,PASS,All listed non-manifest members.
D10FB_INTERNAL_MANIFEST,YES,C:\range_paper\10_archive\d10fb_preflight_v01\D10FB_v01.zip::D10FB_v01/manifest/SHA256SUMS.txt,16,ALL_LISTED_MEMBERS_MATCH,PASS,INTERNAL_SIZE_AND_SHA256,PASS,D10F-B manifest deliberately excludes itself and delivery index.
D09C_TI_TABLE,YES,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip::Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv,1492610,b8eff0be84e1085c94df485338ee96783d98e400b2eeb11e2c01da8941b77e0b,b8eff0be84e1085c94df485338ee96783d98e400b2eeb11e2c01da8941b77e0b,EXACT_MEMBER_NAME_PLUS_MANIFEST_SHA256,PASS,Unique archive member; no alternate member accepted.
D09C_PARTITIONS,YES,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip::Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_RULE_SELECTED_PARTITIONS_v02.csv,9615,bad20da15f40b288da7ab2ced6510e2e8456eb7d96b86c351a2a16e3d1802e22,bad20da15f40b288da7ab2ced6510e2e8456eb7d96b86c351a2a16e3d1802e22,EXACT_MEMBER_NAME_PLUS_MANIFEST_SHA256,PASS,Unique archive member; no alternate member accepted.
D09C_WV_MERGED_AUDIT,YES,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip::Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv,3561,b658481a79a7844e4177df5c9f23c538fade15cde2e792ddfa95448d2b64ce21,b658481a79a7844e4177df5c9f23c538fade15cde2e792ddfa95448d2b64ce21,EXACT_MEMBER_NAME_PLUS_MANIFEST_SHA256,PASS,Unique archive member; no alternate member accepted.
D10CA_PLOT_BLOCK_XWALK,YES,C:\range_paper\10_archive\d10ca\D10CA_v01.zip::D10CA_v01/out/plot_block_xwalk_v01.csv.gz,7059832,a2c4bb3f6d45ed7d6497c511648265b7d692bf872aabbba1fdd99cc534be9447,a2c4bb3f6d45ed7d6497c511648265b7d692bf872aabbba1fdd99cc534be9447,EXACT_MEMBER_NAME_PLUS_MANIFEST_SHA256,PASS,Unique archive member; no alternate member accepted.
D10FB_AUDIT_SUMMARY,YES,C:\range_paper\10_archive\d10fb_preflight_v01\D10FB_v01.zip::D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,2775,36ef0be57f07f625153a7c4513158184cd50930db3ef824ff40777b7324f8e76,36ef0be57f07f625153a7c4513158184cd50930db3ef824ff40777b7324f8e76,EXACT_MEMBER_NAME_PLUS_MANIFEST_SHA256,PASS,Unique archive member; no alternate member accepted.
