case_id,state,state_fips,region,region_identity_note,final_effective_block_identity,fold,current_fold_n_h,full_evaluation_unsplit_n_h,A_fold_n_h,B_fold_n_h,source_estimation_unit_identity,source_parent_stratum_poststratum_identity,final_project_effective_block_identity,source_evaluation_identity,source_evaluation_year,locally_recoverable_region_special_exception_identity,classification,evidence_artifact,archive_member_table,exact_fields_used,short_rationale,unresolved_note
S01,CA,06,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1957279656290487,A,1,12,1,11,1,1957279656290487,STRATUM:1957279656290487,62301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_CA_A2-3_B1-4-5;selected_panels=2-3,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=12; frozen split gives A=1, B=11. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S02,CA,06,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1957280737290487,A,1,12,1,11,1,1957280737290487,STRATUM:1957280737290487,62301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_CA_A2-3_B1-4-5;selected_panels=2-3,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=12; frozen split gives A=1, B=11. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S03,CA,06,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1957282358290487,A,1,12,1,11,2,1957282358290487,STRATUM:1957282358290487,62301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_CA_A2-3_B1-4-5;selected_panels=2-3,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=12; frozen split gives A=1, B=11. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S04,CA,06,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1957288670290487,A,1,9,1,8,3,1957288670290487,STRATUM:1957288670290487,62301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_CA_A2-3_B1-4-5;selected_panels=2-3,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=9; frozen split gives A=1, B=8. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S05,CO,08,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1882584578290487,A,1,13,1,12,37,1882584578290487,STRATUM:1882584578290487,82301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_CO_A2-4_B1-3-5;selected_panels=2-4,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=13; frozen split gives A=1, B=12. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S06,IN,18,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1805045265290487,A,1,9,1,8,2,1805045265290487,STRATUM:1805045265290487,182301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_IN_A3-5_B1-2-4;selected_panels=3-5,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=9; frozen split gives A=1, B=8. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S07,IN,18,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1805045266290487,A,1,4,1,3,3,1805045266290487,STRATUM:1805045266290487,182301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_IN_A3-5_B1-2-4;selected_panels=3-5,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=4; frozen split gives A=1, B=3. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S08,IN,18,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1805045267290487,A,1,3,1,2,4,1805045267290487,STRATUM:1805045267290487,182301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_IN_A3-5_B1-2-4;selected_panels=3-5,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=3; frozen split gives A=1, B=2. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S09,IA,19,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1688582649290487,A,1,5,1,4,4,1688582649290487,STRATUM:1688582649290487,192301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_IA_A1-4_B2-3-5;selected_panels=1-4,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=5; frozen split gives A=1, B=4. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S10,MO,29,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1783101523290487,A,1,2,1,1,1,1783101523290487,STRATUM:1783101523290487,292301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_MO_A4-5_B1-2-3;selected_panels=4-5,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=2; frozen split gives A=1, B=1. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
