plot_visit_identity,fold,source_eu,source_parent_poststratum_identity,final_pooled_block,pooled_block_alias,selected_partition_identity,pooled_numerator,pooled_numerator_exact_fraction,pooled_denominator,pooled_ti,pooled_coefficient,pooled_coefficient_exact_fraction,separate_eu_numerator,separate_eu_numerator_exact_fraction,separate_eu_denominator,separate_eu_ti,separate_eu_coefficient,separate_eu_coefficient_exact_fraction,signed_difference_pooled_minus_separate,absolute_difference,absolute_difference_exact_fraction,relative_difference,relative_difference_exact_fraction,relative_difference_definition,equivalence_flag,numerator_denominator_identity,cross_eu_zero_sample_note
618642942126144,A,3,1778855758290487,MERGED_EU:3+4,WV_EU_3_4,T2_WV_A3-5_B1-2-4,74976.8,374884/5,8,9372.1,9372.1,93721/10,23014.8,115074/5,2,11507.4,11507.4,57537/5,-2135.3,2135.3,21353/10,0.185558857778473,21353/115074,abs(P-S)/abs(S),NON_EQUAL,P:74976.8/8;S_EU3:23014.8/2,
618642961126144,A,3,1778855758290487,MERGED_EU:3+4,WV_EU_3_4,T2_WV_A3-5_B1-2-4,74976.8,374884/5,8,9372.1,9372.1,93721/10,23014.8,115074/5,2,11507.4,11507.4,57537/5,-2135.3,2135.3,21353/10,0.185558857778473,21353/115074,abs(P-S)/abs(S),NON_EQUAL,P:74976.8/8;S_EU3:23014.8/2,
374961222489998,A,4,1778855759290487,MERGED_EU:3+4,WV_EU_3_4,T2_WV_A3-5_B1-2-4,74976.8,374884/5,8,9372.1,9372.1,93721/10,51962.0,51962/1,6,8660.333333333333333,8660.333333333333333,25981/3,711.766666666666667,711.766666666666667,21353/30,0.08218698279512,21353/259810,abs(P-S)/abs(S),NON_EQUAL,P:74976.8/8;S_EU4:51962.0/6,
374961373489998,A,4,1778855759290487,MERGED_EU:3+4,WV_EU_3_4,T2_WV_A3-5_B1-2-4,74976.8,374884/5,8,9372.1,9372.1,93721/10,51962.0,51962/1,6,8660.333333333333333,8660.333333333333333,25981/3,711.766666666666667,711.766666666666667,21353/30,0.08218698279512,21353/259810,abs(P-S)/abs(S),NON_EQUAL,P:74976.8/8;S_EU4:51962.0/6,
374961392489998,A,4,1778855759290487,MERGED_EU:3+4,WV_EU_3_4,T2_WV_A3-5_B1-2-4,74976.8,374884/5,8,9372.1,9372.1,93721/10,51962.0,51962/1,6,8660.333333333333333,8660.333333333333333,25981/3,711.766666666666667,711.766666666666667,21353/30,0.08218698279512,21353/259810,abs(P-S)/abs(S),NON_EQUAL,P:74976.8/8;S_EU4:51962.0/6,
513410668126144,A,4,1778855759290487,MERGED_EU:3+4,WV_EU_3_4,T2_WV_A3-5_B1-2-4,74976.8,374884/5,8,9372.1,9372.1,93721/10,51962.0,51962/1,6,8660.333333333333333,8660.333333333333333,25981/3,711.766666666666667,711.766666666666667,21353/30,0.08218698279512,21353/259810,abs(P-S)/abs(S),NON_EQUAL,P:74976.8/8;S_EU4:51962.0/6,
618642930126144,A,4,1778855759290487,MERGED_EU:3+4,WV_EU_3_4,T2_WV_A3-5_B1-2-4,74976.8,374884/5,8,9372.1,9372.1,93721/10,51962.0,51962/1,6,8660.333333333333333,8660.333333333333333,25981/3,711.766666666666667,711.766666666666667,21353/30,0.08218698279512,21353/259810,abs(P-S)/abs(S),NON_EQUAL,P:74976.8/8;S_EU4:51962.0/6,
618642950126144,A,4,1778855759290487,MERGED_EU:3+4,WV_EU_3_4,T2_WV_A3-5_B1-2-4,74976.8,374884/5,8,9372.1,9372.1,93721/10,51962.0,51962/1,6,8660.333333333333333,8660.333333333333333,25981/3,711.766666666666667,711.766666666666667,21353/30,0.08218698279512,21353/259810,abs(P-S)/abs(S),NON_EQUAL,P:74976.8/8;S_EU4:51962.0/6,
722581104290487,B,4,1778855759290487,MERGED_EU:3+4,WV_EU_3_4,T2_WV_A3-5_B1-2-4,74976.8,374884/5,5,14995.36,14995.36,374884/25,51962.0,51962/1,5,10392.4,10392.4,51962/5,4602.96,4602.96,115074/25,0.442915977060159,57537/129905,abs(P-S)/abs(S),NON_EQUAL,P:74976.8/5;S_EU4:51962.0/5,EU3 fold-B count is zero; separate-EU fold-B summation has no observed EU3 plot contribution.
816547186290487,B,4,1778855759290487,MERGED_EU:3+4,WV_EU_3_4,T2_WV_A3-5_B1-2-4,74976.8,374884/5,5,14995.36,14995.36,374884/25,51962.0,51962/1,5,10392.4,10392.4,51962/5,4602.96,4602.96,115074/25,0.442915977060159,57537/129905,abs(P-S)/abs(S),NON_EQUAL,P:74976.8/5;S_EU4:51962.0/5,EU3 fold-B count is zero; separate-EU fold-B summation has no observed EU3 plot contribution.
816547258290487,B,4,1778855759290487,MERGED_EU:3+4,WV_EU_3_4,T2_WV_A3-5_B1-2-4,74976.8,374884/5,5,14995.36,14995.36,374884/25,51962.0,51962/1,5,10392.4,10392.4,51962/5,4602.96,4602.96,115074/25,0.442915977060159,57537/129905,abs(P-S)/abs(S),NON_EQUAL,P:74976.8/5;S_EU4:51962.0/5,EU3 fold-B count is zero; separate-EU fold-B summation has no observed EU3 plot contribution.
816547393290487,B,4,1778855759290487,MERGED_EU:3+4,WV_EU_3_4,T2_WV_A3-5_B1-2-4,74976.8,374884/5,5,14995.36,14995.36,374884/25,51962.0,51962/1,5,10392.4,10392.4,51962/5,4602.96,4602.96,115074/25,0.442915977060159,57537/129905,abs(P-S)/abs(S),NON_EQUAL,P:74976.8/5;S_EU4:51962.0/5,EU3 fold-B count is zero; separate-EU fold-B summation has no observed EU3 plot contribution.
1192972378290487,B,4,1778855759290487,MERGED_EU:3+4,WV_EU_3_4,T2_WV_A3-5_B1-2-4,74976.8,374884/5,5,14995.36,14995.36,374884/25,51962.0,51962/1,5,10392.4,10392.4,51962/5,4602.96,4602.96,115074/25,0.442915977060159,57537/129905,abs(P-S)/abs(S),NON_EQUAL,P:74976.8/5;S_EU4:51962.0/5,EU3 fold-B count is zero; separate-EU fold-B summation has no observed EU3 plot contribution.
