summary_level,fold,source_eu,selected_partition_identity,plots_compared,exact_equal,non_equal,max_absolute_difference,max_relative_difference,result_label,pooled_numerator,pooled_denominator,separate_eu_numerator,separate_eu_denominator,notes
OVERALL,,,T2_WV_A3-5_B1-2-4,13,0,13,4602.96,0.442915977060159,NON_EQUIVALENT_PROJECT_OPERATOR,,,,,Exact Fraction arithmetic; relative difference is abs(P-S)/abs(S).
BY_FOLD,A,,T2_WV_A3-5_B1-2-4,8,0,8,2135.3,0.185558857778473,NON_EQUIVALENT_PROJECT_OPERATOR,74976.8,8,,,
BY_FOLD,B,,T2_WV_A3-5_B1-2-4,5,0,5,4602.96,0.442915977060159,NON_EQUIVALENT_PROJECT_OPERATOR,74976.8,5,,,
BY_SOURCE_EU,,3,T2_WV_A3-5_B1-2-4,2,0,2,2135.3,0.185558857778473,NON_EQUIVALENT_PROJECT_OPERATOR,,,23014.8,,
BY_SOURCE_EU,,4,T2_WV_A3-5_B1-2-4,11,0,11,4602.96,0.442915977060159,NON_EQUIVALENT_PROJECT_OPERATOR,,,51962.0,,
BY_FOLD_AND_SOURCE_EU,A,3,T2_WV_A3-5_B1-2-4,2,0,2,2135.3,0.185558857778473,NON_EQUIVALENT_PROJECT_OPERATOR,74976.8,8,23014.8,2,
BY_FOLD_AND_SOURCE_EU,A,4,T2_WV_A3-5_B1-2-4,6,0,6,711.766666666666667,0.08218698279512,NON_EQUIVALENT_PROJECT_OPERATOR,74976.8,8,51962.0,6,
BY_FOLD_AND_SOURCE_EU,B,3,T2_WV_A3-5_B1-2-4,0,0,0,0,0,NON_EQUIVALENT_PROJECT_OPERATOR,74976.8,5,23014.8,0,No contributing plot; source-EU fold count is zero.
BY_FOLD_AND_SOURCE_EU,B,4,T2_WV_A3-5_B1-2-4,5,0,5,4602.96,0.442915977060159,NON_EQUIVALENT_PROJECT_OPERATOR,74976.8,5,51962.0,5,
SELECTED_PARTITION,,,T2_WV_A3-5_B1-2-4,13,0,13,4602.96,0.442915977060159,NON_EQUIVALENT_PROJECT_OPERATOR,,,,,The unique D09C WV final-partition row and WV merged-audit final_rule_selected=1 identify the same candidate; D09C records mainline_final_acceptance=NOT_DECIDED.
