asset,required,path_or_member,size_bytes,expected_sha256,actual_sha256,verification_method,status,notes
Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip,YES,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip,22496593,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,FRESH_SHA256,PASS,Exact local frozen package; no similarly named substitution.
D10CA_v01.zip,YES,C:\range_paper\10_archive\d10ca\D10CA_v01.zip,7092335,c8f73406f7f192b8f124add3cb0ded7ea65474e8d72d752e37dc557a08588865,c8f73406f7f192b8f124add3cb0ded7ea65474e8d72d752e37dc557a08588865,FRESH_SHA256,PASS,Exact local frozen package; no similarly named substitution.
D10FB_v01.zip,YES,C:\range_paper\10_archive\d10fb_preflight_v01\D10FB_v01.zip,54041,c1fe94678d69810b5ce8ced4c1673f03d6568f2c01576165b68fc451b9acccbd,c1fe94678d69810b5ce8ced4c1673f03d6568f2c01576165b68fc451b9acccbd,FRESH_SHA256,PASS,Exact local frozen package; no similarly named substitution.
D10FB3_v01.zip,YES,C:\range_paper\05_qc\d10fb3_singleton_wv_operator_v01\D10FB3_v01.zip,30444,b28f54d20c9c0da0b7cfae781e318f4c4cbc30eb450a902be73c330fe97a1fe1,b28f54d20c9c0da0b7cfae781e318f4c4cbc30eb450a902be73c330fe97a1fe1,FRESH_SHA256,PASS,Exact local frozen package; no similarly named substitution.
D10FB4_v01.zip,YES,C:\Users\bug_g\Downloads\D10FB4_v01.zip,36984,d720df6776b545bf077ec3ee9547961f5d11bbe8e71920ae6b3a943a7a7de3ef,d720df6776b545bf077ec3ee9547961f5d11bbe8e71920ae6b3a943a7a7de3ef,FRESH_SHA256,PASS,Exact local frozen package; no similarly named substitution.
D09C_INTERNAL_MANIFEST,YES,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip::Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/SHA256SUMS.csv,27,ALL_LISTED_MEMBERS_MATCH,PASS,INTERNAL_SIZE_AND_SHA256,PASS,All listed D09C members verified.
D10CA_INTERNAL_MANIFEST,YES,C:\range_paper\10_archive\d10ca\D10CA_v01.zip::D10CA_v01/manifest/sha256s.csv,17,ALL_LISTED_MEMBERS_MATCH,PASS,INTERNAL_SIZE_AND_SHA256,PASS,All listed D10C-A members verified.
D10FB_INTERNAL_MANIFEST,YES,C:\range_paper\10_archive\d10fb_preflight_v01\D10FB_v01.zip::D10FB_v01/manifest/SHA256SUMS.txt,16,ALL_LISTED_MEMBERS_MATCH,PASS,INTERNAL_SIZE_AND_SHA256,PASS,D10F-B text checksum manifest verified.
D10FB3_INTERNAL_MANIFEST,YES,C:\range_paper\05_qc\d10fb3_singleton_wv_operator_v01\D10FB3_v01.zip::D10FB3_v01/SHA256SUMS.csv,12,ALL_LISTED_MEMBERS_MATCH,PASS,INTERNAL_SIZE_AND_SHA256,PASS,B3 package members verified.
D10FB4_INTERNAL_MANIFEST,YES,C:\Users\bug_g\Downloads\D10FB4_v01.zip::Q1_D10F_B4_VARIANCE_INTERFACE_AUTHORITY_CLOSURE_v01/manifest/SHA256SUMS_v01.txt,17,ALL_LISTED_MEMBERS_MATCH,PASS,INTERNAL_SIZE_AND_SHA256,PASS,B4 package has 17 listed payload members; all verified.
D10FB4_EXTERNAL_TRANSFER_MANIFEST,NO,NOT_FOUND_IN_BOUNDED_LOCAL_SEARCH,,0b03ca2290a305c05c782f55ec631170945fdae49f6b2f6316a2649484232494,NOT_FOUND,BOUNDED_LOCAL_HASH_SEARCH,OPTIONAL_NOT_PRESENT,Nonblocking: exact B4 ZIP outer hash and all 17 internal payload checks passed.
Q1-D10FB3-v01-20260907_COMMIT,YES,C:\range_paper\05_qc\d10fb3_singleton_wv_operator_v01\TRANSFER_RESULT_Q1-D10FB3-v01-20260907.txt,457,9cd8974cf32834554d50f48bc33359daabae6cf3,9cd8974cf32834554d50f48bc33359daabae6cf3,TRANSFER_RESULT_COMMIT_PARSE,PASS,Exact relay commit identity required by the B5 contract.
B5_TASK_REQUEST,YES,C:\Users\bug_g\.codex\attachments\b668c530-c746-4d15-8a5e-01f3f21450a2\pasted-text.txt,22698,3aaaef43d250caf06cb83608aed05c25b7a05dedf40f79d4208e99e2e1337161,3aaaef43d250caf06cb83608aed05c25b7a05dedf40f79d4208e99e2e1337161,FRESH_SHA256,PASS,Frozen local task instruction copied into the package control directory.
D09C_TI_TABLE,YES,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip::Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv,1492610,b8eff0be84e1085c94df485338ee96783d98e400b2eeb11e2c01da8941b77e0b,b8eff0be84e1085c94df485338ee96783d98e400b2eeb11e2c01da8941b77e0b,EXACT_MEMBER_PLUS_INTERNAL_MANIFEST,PASS,Unique required member; no alternate authority or design file substituted.
D09C_PARTITIONS,YES,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip::Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_RULE_SELECTED_PARTITIONS_v02.csv,9615,bad20da15f40b288da7ab2ced6510e2e8456eb7d96b86c351a2a16e3d1802e22,bad20da15f40b288da7ab2ced6510e2e8456eb7d96b86c351a2a16e3d1802e22,EXACT_MEMBER_PLUS_INTERNAL_MANIFEST,PASS,Unique required member; no alternate authority or design file substituted.
D09C_WV_MERGED_AUDIT,YES,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip::Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv,3561,b658481a79a7844e4177df5c9f23c538fade15cde2e792ddfa95448d2b64ce21,b658481a79a7844e4177df5c9f23c538fade15cde2e792ddfa95448d2b64ce21,EXACT_MEMBER_PLUS_INTERNAL_MANIFEST,PASS,Unique required member; no alternate authority or design file substituted.
D10FB4_MAIN_REPORT,YES,C:\Users\bug_g\Downloads\D10FB4_v01.zip::Q1_D10F_B4_VARIANCE_INTERFACE_AUTHORITY_CLOSURE_v01/out/D10FB4_MAIN_REPORT_v01.md,28499,edb46972aacb8fc71df4495691dbdc692a4fed888d822165f430aeaa005b9622,edb46972aacb8fc71df4495691dbdc692a4fed888d822165f430aeaa005b9622,EXACT_MEMBER_PLUS_INTERNAL_MANIFEST,PASS,Unique required member; no alternate authority or design file substituted.
