case_id,state,fold,source_eu,source_parent_poststratum,full_n_h,fold_n_h,pseudo_stratum_group_id,donor_member_identities,grouping_variables,grouping_rule_source,design_population_metadata_used,target_outcome_used,opposite_fold_species_outcome_used,point_coefficient_before,point_coefficient_after,exact_equality_flag,assignment_status,blocking_reason
S01,CA,A,1,1957279656290487,12,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,85086.26550519335,85086.26550519335,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S02,CA,A,1,1957280737290487,12,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,96127.50229209199,96127.50229209199,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S03,CA,A,2,1957282358290487,12,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,125938.86386955658,125938.86386955658,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S04,CA,A,3,1957288670290487,9,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,52357.08359637026,52357.08359637026,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S05,CO,A,37,1882584578290487,13,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,54311.0,54311.0,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S06,IN,A,2,1805045265290487,9,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,49742.3,49742.3,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S07,IN,A,3,1805045266290487,4,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,46990.0,46990.0,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S08,IN,A,4,1805045267290487,3,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,11743.3,11743.3,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S09,IA,A,4,1688582649290487,5,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,44432.1,44432.1,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S10,MO,A,1,1783101523290487,2,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,20310.0,20310.0,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S11,MO,B,1,1783101523290487,2,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,20310.0,20310.0,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
