plot_visit_identity,fold,source_eu,combined_population,combined_population_area_acres,fold_sample_count,current_pooled_coefficient,current_pooled_coefficient_exact_fraction,combined_population_coefficient,combined_population_coefficient_exact_fraction,exact_equality_flag,representation_timing,evidence
618642942126144,A,3,WV_EU_3_4 = EU3 union EU4,74976.8,8,9372.1,93721/10,9372.1,93721/10,EXACT_EQUAL,D09C fixes one merged frame for A and B before fold-specific TI calculation,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;B3 WV coefficient audit
618642961126144,A,3,WV_EU_3_4 = EU3 union EU4,74976.8,8,9372.1,93721/10,9372.1,93721/10,EXACT_EQUAL,D09C fixes one merged frame for A and B before fold-specific TI calculation,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;B3 WV coefficient audit
374961222489998,A,4,WV_EU_3_4 = EU3 union EU4,74976.8,8,9372.1,93721/10,9372.1,93721/10,EXACT_EQUAL,D09C fixes one merged frame for A and B before fold-specific TI calculation,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;B3 WV coefficient audit
374961373489998,A,4,WV_EU_3_4 = EU3 union EU4,74976.8,8,9372.1,93721/10,9372.1,93721/10,EXACT_EQUAL,D09C fixes one merged frame for A and B before fold-specific TI calculation,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;B3 WV coefficient audit
374961392489998,A,4,WV_EU_3_4 = EU3 union EU4,74976.8,8,9372.1,93721/10,9372.1,93721/10,EXACT_EQUAL,D09C fixes one merged frame for A and B before fold-specific TI calculation,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;B3 WV coefficient audit
513410668126144,A,4,WV_EU_3_4 = EU3 union EU4,74976.8,8,9372.1,93721/10,9372.1,93721/10,EXACT_EQUAL,D09C fixes one merged frame for A and B before fold-specific TI calculation,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;B3 WV coefficient audit
618642930126144,A,4,WV_EU_3_4 = EU3 union EU4,74976.8,8,9372.1,93721/10,9372.1,93721/10,EXACT_EQUAL,D09C fixes one merged frame for A and B before fold-specific TI calculation,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;B3 WV coefficient audit
618642950126144,A,4,WV_EU_3_4 = EU3 union EU4,74976.8,8,9372.1,93721/10,9372.1,93721/10,EXACT_EQUAL,D09C fixes one merged frame for A and B before fold-specific TI calculation,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;B3 WV coefficient audit
722581104290487,B,4,WV_EU_3_4 = EU3 union EU4,74976.8,5,14995.36,374884/25,14995.36,374884/25,EXACT_EQUAL,D09C fixes one merged frame for A and B before fold-specific TI calculation,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;B3 WV coefficient audit
816547186290487,B,4,WV_EU_3_4 = EU3 union EU4,74976.8,5,14995.36,374884/25,14995.36,374884/25,EXACT_EQUAL,D09C fixes one merged frame for A and B before fold-specific TI calculation,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;B3 WV coefficient audit
816547258290487,B,4,WV_EU_3_4 = EU3 union EU4,74976.8,5,14995.36,374884/25,14995.36,374884/25,EXACT_EQUAL,D09C fixes one merged frame for A and B before fold-specific TI calculation,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;B3 WV coefficient audit
816547393290487,B,4,WV_EU_3_4 = EU3 union EU4,74976.8,5,14995.36,374884/25,14995.36,374884/25,EXACT_EQUAL,D09C fixes one merged frame for A and B before fold-specific TI calculation,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;B3 WV coefficient audit
1192972378290487,B,4,WV_EU_3_4 = EU3 union EU4,74976.8,5,14995.36,374884/25,14995.36,374884/25,EXACT_EQUAL,D09C fixes one merged frame for A and B before fold-specific TI calculation,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv;Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;B3 WV coefficient audit
