synthetic_label,regime,fold,sample_n,summary_subset,replicates,domain_1,domain_2,true_domain_1_total,true_domain_2_total,empirical_var_domain_1,empirical_var_domain_2,empirical_cov_domain_1_domain_2,empirical_var_union,empirical_identity_residual,mean_candidate_var_domain_1,mean_candidate_var_domain_2,mean_candidate_cov_domain_1_domain_2,mean_candidate_var_union,candidate_identity_residual,candidate_to_empirical_union_variance_ratio,mean_candidate_min_eigenvalue,minimum_rep_candidate_eigenvalue,candidate_psd_fraction_at_minus_1e_8,notes
SYNTHETIC / QUALIFICATION ONLY,W0_COMMON_EQUAL_PROBABILITY,A,8,ALL_DRAWS,50000,EU3 fixed source-domain indicator contribution,EU4 fixed source-domain indicator contribution,230158.497733,1039253.34555,15346352052,62090253608.1,-29760076476.6,17916452706.8,8.01086425781e-05,15422502325.5,62110773019.5,-29851139211,17830996923,-0.00104904174805,0.995230317898,681756713.542,0,1,"Union identity is checked for fixed outcome-blind EU3/EU4 domains. Conditional zero/positive rows are stress diagnostics, not unconditional design claims."
SYNTHETIC / QUALIFICATION ONLY,W0_COMMON_EQUAL_PROBABILITY,A,8,EU3_COUNT_ZERO,2658,EU3 fixed source-domain indicator contribution,EU4 fixed source-domain indicator contribution,230158.497733,1039253.34555,0,3666255892.11,0,3666255892.11,-9.53674316406e-07,0,3496361771.16,0,3496361771.16,5.24520874023e-06,0.953660048304,0,0,1,"Union identity is checked for fixed outcome-blind EU3/EU4 domains. Conditional zero/positive rows are stress diagnostics, not unconditional design claims."
SYNTHETIC / QUALIFICATION ONLY,W0_COMMON_EQUAL_PROBABILITY,A,8,EU3_COUNT_POSITIVE,47342,EU3 fixed source-domain indicator contribution,EU4 fixed source-domain indicator contribution,230158.497733,1039253.34555,13082814625.3,52862883499.7,-25178881968,15587934189,1.14440917969e-05,16288393314.1,65401658598.9,-31527120961.3,18635809990.3,-0.00105667114258,1.19552788486,720033705.317,0,1,"Union identity is checked for fixed outcome-blind EU3/EU4 domains. Conditional zero/positive rows are stress diagnostics, not unconditional design claims."
SYNTHETIC / QUALIFICATION ONLY,W0_COMMON_EQUAL_PROBABILITY,B,5,ALL_DRAWS,50000,EU3 fixed source-domain indicator contribution,EU4 fixed source-domain indicator contribution,230158.497733,1039253.34555,24801317991.6,99891126026.2,-48022614717.7,28647214582.5,-0.000202178955078,24743903687.4,99765826453.1,-47923468326.6,28662793487.4,0.000514984130859,1.00054381919,852428460.312,0,1,"Union identity is checked for fixed outcome-blind EU3/EU4 domains. Conditional zero/positive rows are stress diagnostics, not unconditional design claims."
SYNTHETIC / QUALIFICATION ONLY,W0_COMMON_EQUAL_PROBABILITY,B,5,EU3_COUNT_ZERO,7895,EU3 fixed source-domain indicator contribution,EU4 fixed source-domain indicator contribution,230158.497733,1039253.34555,0,5493995536.5,0,5493995536.5,-9.53674316406e-07,0,5608302397.49,0,5608302397.49,-2.38418579102e-05,1.02080577973,0,0,1,"Union identity is checked for fixed outcome-blind EU3/EU4 domains. Conditional zero/positive rows are stress diagnostics, not unconditional design claims."
SYNTHETIC / QUALIFICATION ONLY,W0_COMMON_EQUAL_PROBABILITY,B,5,EU3_COUNT_POSITIVE,42105,EU3 fixed source-domain indicator contribution,EU4 fixed source-domain indicator contribution,230158.497733,1039253.34555,17562878968,70006191368.6,-33242033724.7,21085002887.2,-3.43322753906e-05,29383569276.1,117421061043,-56909474322,32985681675.4,0.00101470947266,1.56441437793,1012265123.28,0,1,"Union identity is checked for fixed outcome-blind EU3/EU4 domains. Conditional zero/positive rows are stress diagnostics, not unconditional design claims."
SYNTHETIC / QUALIFICATION ONLY,W1_EU_INTENSITY_MISMATCH,A,8,ALL_DRAWS,50000,EU3 fixed source-domain indicator contribution,EU4 fixed source-domain indicator contribution,230158.497733,1039253.34555,5288199713.42,23881577600.9,-10315749394,8538278526.35,-6.67572021484e-06,5336596429.25,24046633004.6,-10409398813.3,8564431807.14,-2.38418579102e-05,1.0030630625,295805630.632,0,1,"Union identity is checked for fixed outcome-blind EU3/EU4 domains. Conditional zero/positive rows are stress diagnostics, not unconditional design claims."
SYNTHETIC / QUALIFICATION ONLY,W1_EU_INTENSITY_MISMATCH,A,8,EU3_COUNT_ZERO,25497,EU3 fixed source-domain indicator contribution,EU4 fixed source-domain indicator contribution,230158.497733,1039253.34555,0,3570263229.73,0,3570263229.73,-4.76837158203e-07,0,3516999310.6,0,3516999310.6,4.76837158203e-06,0.985081234716,0,0,1,"Union identity is checked for fixed outcome-blind EU3/EU4 domains. Conditional zero/positive rows are stress diagnostics, not unconditional design claims."
SYNTHETIC / QUALIFICATION ONLY,W1_EU_INTENSITY_MISMATCH,A,8,EU3_COUNT_POSITIVE,24503,EU3 fixed source-domain indicator contribution,EU4 fixed source-domain indicator contribution,230158.497733,1039253.34555,3064251821.64,14165699529.6,-5610481088.33,6008989174.61,-6.67572021484e-06,10889679690.8,45409081288.2,-21241070100.3,13816620778.5,-1.52587890625e-05,2.29932529032,603611048.916,17347813.3905,1,"Union identity is checked for fixed outcome-blind EU3/EU4 domains. Conditional zero/positive rows are stress diagnostics, not unconditional design claims."
SYNTHETIC / QUALIFICATION ONLY,W1_EU_INTENSITY_MISMATCH,B,5,ALL_DRAWS,50000,EU3 fixed source-domain indicator contribution,EU4 fixed source-domain indicator contribution,230158.497733,1039253.34555,8577443853.22,38679157479.7,-16750142614.5,13756316104,-9.53674316406e-06,8550460167.56,38586728976.5,-16693648940.6,13749891263,-0.000152587890625,0.999532953372,295381955.444,0,1,"Union identity is checked for fixed outcome-blind EU3/EU4 domains. Conditional zero/positive rows are stress diagnostics, not unconditional design claims."
