synthetic_label,regime,fold,sample_n,summary_subset,replicates,true_union_total,mean_estimate,empirical_bias,empirical_relative_bias,empirical_variance,mean_candidate_variance,estimated_to_empirical_variance_ratio,variance_estimate_bias,nominal_95_coverage,coverage_mcse,mean_eu3_count,zero_eu3_frequency_all_draws,estimator,candidate_variance_formula,inclusion_interpretation,seed
SYNTHETIC / QUALIFICATION ONLY,W0_COMMON_EQUAL_PROBABILITY,A,8,ALL_DRAWS,50000,1269411.84329,1269433.04924,21.2059484327,1.67053336904e-05,17916452706.8,17830996923,0.995230317898,-85455783.8075,0.90048,0.001338773839,2.45018,0.05316,A_U * sample mean(synthetic_y); identical common plot coefficient A_U/n,"A_U^2 * (1-n/N) * s_y^2 / n; one-block SRS qualification formula, not production FIA formula",SRSWOR over the combined finite population; common inclusion probability n/N,2026090701
SYNTHETIC / QUALIFICATION ONLY,W0_COMMON_EQUAL_PROBABILITY,A,8,EU3_COUNT_ZERO,2658,1269411.84329,1499132.76377,229720.920486,0.180966422916,3666255892.11,3496361771.16,0.953660048304,-169894120.944,0.0188111361926,0.00263515600272,0,0.05316,A_U * sample mean(synthetic_y); identical common plot coefficient A_U/n,"A_U^2 * (1-n/N) * s_y^2 / n; one-block SRS qualification formula, not production FIA formula",SRSWOR over the combined finite population; common inclusion probability n/N,2026090701
SYNTHETIC / QUALIFICATION ONLY,W0_COMMON_EQUAL_PROBABILITY,A,8,EU3_COUNT_POSITIVE,47342,1269411.84329,1256536.63926,-12875.2040309,-0.01014265315,15587934189,18635809990.3,1.19552788486,3047875801.33,0.949980989396,0.00100184769926,2.58774449749,0.05316,A_U * sample mean(synthetic_y); identical common plot coefficient A_U/n,"A_U^2 * (1-n/N) * s_y^2 / n; one-block SRS qualification formula, not production FIA formula",SRSWOR over the combined finite population; common inclusion probability n/N,2026090701
SYNTHETIC / QUALIFICATION ONLY,W0_COMMON_EQUAL_PROBABILITY,B,5,ALL_DRAWS,50000,1269411.84329,1268503.32507,-908.518214162,-0.000715700124406,28647214582.5,28662793487.4,1.00054381919,15578904.9499,0.82654,0.00169334951147,1.54128,0.1579,A_U * sample mean(synthetic_y); identical common plot coefficient A_U/n,"A_U^2 * (1-n/N) * s_y^2 / n; one-block SRS qualification formula, not production FIA formula",SRSWOR over the combined finite population; common inclusion probability n/N,2026090702
SYNTHETIC / QUALIFICATION ONLY,W0_COMMON_EQUAL_PROBABILITY,B,5,EU3_COUNT_ZERO,7895,1269411.84329,1499715.70792,230303.864636,0.181425646731,5493995536.5,5608302397.49,1.02080577973,114306860.993,0.131475617479,0.00380309829173,0,0.1579,A_U * sample mean(synthetic_y); identical common plot coefficient A_U/n,"A_U^2 * (1-n/N) * s_y^2 / n; one-block SRS qualification formula, not production FIA formula",SRSWOR over the combined finite population; common inclusion probability n/N,2026090702
SYNTHETIC / QUALIFICATION ONLY,W0_COMMON_EQUAL_PROBABILITY,B,5,EU3_COUNT_POSITIVE,42105,1269411.84329,1225149.28725,-44262.5560387,-0.0348685544985,21085002887.2,32985681675.4,1.56441437793,11900678788.2,0.956869730436,0.000990035251688,1.83028143926,0.1579,A_U * sample mean(synthetic_y); identical common plot coefficient A_U/n,"A_U^2 * (1-n/N) * s_y^2 / n; one-block SRS qualification formula, not production FIA formula",SRSWOR over the combined finite population; common inclusion probability n/N,2026090702
SYNTHETIC / QUALIFICATION ONLY,W1_EU_INTENSITY_MISMATCH,A,8,ALL_DRAWS,50000,1269411.84329,1439279.74509,169867.901802,0.133816225759,8538278526.35,8564431807.14,1.0030630625,26153280.7913,0.46444,0.0022304057317,0.64338,0.50994,A_U * sample mean(synthetic_y); identical common plot coefficient A_U/n,"A_U^2 * (1-n/N) * s_y^2 / n; one-block SRS qualification formula, not production FIA formula",Adversarial fixed domain-mix mechanism: per draw P(EU3)=0.08; population share=0.306958952636; within-domain draws are distinct,2026090711
SYNTHETIC / QUALIFICATION ONLY,W1_EU_INTENSITY_MISMATCH,A,8,EU3_COUNT_ZERO,25497,1269411.84329,1499494.58632,230082.743036,0.181251454563,3570263229.73,3516999310.6,0.985081234716,-53263919.1255,0.0186296427031,0.000846787013075,0,0.50994,A_U * sample mean(synthetic_y); identical common plot coefficient A_U/n,"A_U^2 * (1-n/N) * s_y^2 / n; one-block SRS qualification formula, not production FIA formula",Adversarial fixed domain-mix mechanism: per draw P(EU3)=0.08; population share=0.306958952636; within-domain draws are distinct,2026090711
SYNTHETIC / QUALIFICATION ONLY,W1_EU_INTENSITY_MISMATCH,A,8,EU3_COUNT_POSITIVE,24503,1269411.84329,1376622.20083,107210.357545,0.0844567175829,6008989174.61,13816620778.5,2.29932529032,7807631603.84,0.928335305881,0.00164776559089,1.31285964984,0.50994,A_U * sample mean(synthetic_y); identical common plot coefficient A_U/n,"A_U^2 * (1-n/N) * s_y^2 / n; one-block SRS qualification formula, not production FIA formula",Adversarial fixed domain-mix mechanism: per draw P(EU3)=0.08; population share=0.306958952636; within-domain draws are distinct,2026090711
SYNTHETIC / QUALIFICATION ONLY,W1_EU_INTENSITY_MISMATCH,B,5,ALL_DRAWS,50000,1269411.84329,1439235.89552,169824.052233,0.133781682542,13756316104,13749891263,0.999532953372,-6424841.04853,0.43318,0.00221601032308,0.40418,0.65656,A_U * sample mean(synthetic_y); identical common plot coefficient A_U/n,"A_U^2 * (1-n/N) * s_y^2 / n; one-block SRS qualification formula, not production FIA formula",Adversarial fixed domain-mix mechanism: per draw P(EU3)=0.08; population share=0.306958952636; within-domain draws are distinct,2026090712
SYNTHETIC / QUALIFICATION ONLY,W1_EU_INTENSITY_MISMATCH,B,5,EU3_COUNT_ZERO,32828,1269411.84329,1499958.98403,230547.14074,0.181617291472,5592875358,5639824705.36,1.00839449198,46949347.3551,0.137413183867,0.00190017411141,0,0.65656,A_U * sample mean(synthetic_y); identical common plot coefficient A_U/n,"A_U^2 * (1-n/N) * s_y^2 / n; one-block SRS qualification formula, not production FIA formula",Adversarial fixed domain-mix mechanism: per draw P(EU3)=0.08; population share=0.306958952636; within-domain draws are distinct,2026090712
