case_id,state,state_fips,source_evalid,source_evaluation_year,fold,source_eu,source_parent_poststratum,current_fold_n_h,full_evaluation_unsplit_n_h,scope_definition,scope_poststrata_total,scope_non_singleton_poststrata,scope_other_singleton_poststrata,scope_plots_total,scope_plots_excluding_target_singleton,candidate_non_singleton_plots_total,scope_poststrata_n_ge_2,residual_df_proxy_sum,designcd_values,raw_designcd_values,repair_class_values,design_repair_heterogeneity,candidate_poststrata_same_source_eu_flag,candidate_poststrata_ids_with_n_h,candidate_inventory_only_no_assignment,identity_recovery_status,constructibility_label,constructibility_reason,evidence_sources
S01,CA,06,62301,2023,A,1,1957279656290487,1,12,same state + component EVALID + frozen fold + original source EU,134,132,1,1031,1030,1029,132,897,501,501,R0,HOMOGENEOUS,YES,1957279217290487:2;1957279234290487:5;1957279245290487:8;1957279264290487:6;1957279279290487:13;1957279317290487:8;1957279337290487:4;1957279349290487:5;1957279375290487:4;1957279391290487:6;1957279408290487:15;1957279445290487:12;1957279480290487:13;1957279504290487:4;1957279517290487:9;1957279538290487:9;1957279561290487:13;1957279588290487:13;1957279622290487:5;1957279634290487:8;1957279669290487:5;1957279681290487:13;1957279709290487:5;1957279720290487:9;1957279740290487:3;1957279756290487:4;1957279769290487:9;1957279791290487:7;1957279805290487:5;1957279824290487:14;1957279864290487:27;1957279930290487:10;1957279954290487:5;1957279968290487:10;1957279995290487:2;1957280010290487:18;1957280038290487:19;1957280095290487:4;1957280108290487:7;1957280124290487:7;1957280141290487:3;1957280156290487:6;1957280175290487:2;1957280189290487:5;1957280203290487:6;1957280220290487:9;1957280237290487:6;1957280250290487:14;1957280279290487:8;1957280313290487:15;1957280347290487:8;1957280361290487:5;1957280373290487:7;1957280392290487:9;1957280415290487:3;1957280427290487:4;1957280438290487:9;1957280453290487:4;1957280465290487:4;1957280481290487:9;1957280508290487:7;1957280523290487:7;1957280545290487:4;1957280557290487:5;1957280575290487:17;1957280612290487:6;1957280626290487:7;1957280639290487:3;1957280651290487:5;1957280662290487:3;1957280673290487:5;1957280686290487:7;1957280708290487:7;1957280725290487:5;1957280750290487:4;1957280765290487:10;1957280780290487:3;1957280792290487:5;1957280804290487:6;1957280825290487:4;1957280836290487:4;1957280852290487:7;1957280864290487:14;1957280893290487:10;1957280922290487:8;1957280944290487:26;1957281009290487:9;1957281029290487:9;1957281050290487:6;1957281067290487:14;1957281114290487:5;1957281131290487:21;1957281190290487:3;1957281201290487:9;1957281218290487:6;1957281238290487:9;1957281263290487:4;1957281274290487:4;1957281285290487:11;1957281306290487:4;1957281319290487:6;1957281333290487:14;1957281359290487:3;1957281371290487:5;1957281390290487:5;1957281402290487:13;1957281439290487:7;1957281450290487:4;1957281462290487:9;1957281480290487:7;1957281499290487:7;1957281514290487:7;1957281533290487:7;1957281548290487:6;1957281560290487:6;1957281578290487:4;1957281594290487:7;1957281615290487:16;1957281643290487:2;1957281655290487:13;1957281686290487:21;1957281738290487:7;1957281761290487:8;1957281776290487:5;1957281790290487:9;1957281807290487:7;1957281827290487:6;1957281841290487:8;1957281855290487:6;1957281872290487:4;1957281883290487:9;1957281904290487:7,YES,COMPLETE,STRUCTURALLY_AVAILABLE,"The exact same-state/evaluation/fold/source-EU scope contains 132 other poststrata with n_h>=2 and 1029 plots. This inventories a pool; it does not choose a donor, weight, or variance rule.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S02,CA,06,62301,2023,A,1,1957280737290487,1,12,same state + component EVALID + frozen fold + original source EU,134,132,1,1031,1030,1029,132,897,501,501,R0,HOMOGENEOUS,YES,1957279217290487:2;1957279234290487:5;1957279245290487:8;1957279264290487:6;1957279279290487:13;1957279317290487:8;1957279337290487:4;1957279349290487:5;1957279375290487:4;1957279391290487:6;1957279408290487:15;1957279445290487:12;1957279480290487:13;1957279504290487:4;1957279517290487:9;1957279538290487:9;1957279561290487:13;1957279588290487:13;1957279622290487:5;1957279634290487:8;1957279669290487:5;1957279681290487:13;1957279709290487:5;1957279720290487:9;1957279740290487:3;1957279756290487:4;1957279769290487:9;1957279791290487:7;1957279805290487:5;1957279824290487:14;1957279864290487:27;1957279930290487:10;1957279954290487:5;1957279968290487:10;1957279995290487:2;1957280010290487:18;1957280038290487:19;1957280095290487:4;1957280108290487:7;1957280124290487:7;1957280141290487:3;1957280156290487:6;1957280175290487:2;1957280189290487:5;1957280203290487:6;1957280220290487:9;1957280237290487:6;1957280250290487:14;1957280279290487:8;1957280313290487:15;1957280347290487:8;1957280361290487:5;1957280373290487:7;1957280392290487:9;1957280415290487:3;1957280427290487:4;1957280438290487:9;1957280453290487:4;1957280465290487:4;1957280481290487:9;1957280508290487:7;1957280523290487:7;1957280545290487:4;1957280557290487:5;1957280575290487:17;1957280612290487:6;1957280626290487:7;1957280639290487:3;1957280651290487:5;1957280662290487:3;1957280673290487:5;1957280686290487:7;1957280708290487:7;1957280725290487:5;1957280750290487:4;1957280765290487:10;1957280780290487:3;1957280792290487:5;1957280804290487:6;1957280825290487:4;1957280836290487:4;1957280852290487:7;1957280864290487:14;1957280893290487:10;1957280922290487:8;1957280944290487:26;1957281009290487:9;1957281029290487:9;1957281050290487:6;1957281067290487:14;1957281114290487:5;1957281131290487:21;1957281190290487:3;1957281201290487:9;1957281218290487:6;1957281238290487:9;1957281263290487:4;1957281274290487:4;1957281285290487:11;1957281306290487:4;1957281319290487:6;1957281333290487:14;1957281359290487:3;1957281371290487:5;1957281390290487:5;1957281402290487:13;1957281439290487:7;1957281450290487:4;1957281462290487:9;1957281480290487:7;1957281499290487:7;1957281514290487:7;1957281533290487:7;1957281548290487:6;1957281560290487:6;1957281578290487:4;1957281594290487:7;1957281615290487:16;1957281643290487:2;1957281655290487:13;1957281686290487:21;1957281738290487:7;1957281761290487:8;1957281776290487:5;1957281790290487:9;1957281807290487:7;1957281827290487:6;1957281841290487:8;1957281855290487:6;1957281872290487:4;1957281883290487:9;1957281904290487:7,YES,COMPLETE,STRUCTURALLY_AVAILABLE,"The exact same-state/evaluation/fold/source-EU scope contains 132 other poststrata with n_h>=2 and 1029 plots. This inventories a pool; it does not choose a donor, weight, or variance rule.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S03,CA,06,62301,2023,A,2,1957282358290487,1,12,same state + component EVALID + frozen fold + original source EU,45,44,0,311,310,310,44,266,501,501,R0,HOMOGENEOUS,YES,1957281920290487:4;1957281931290487:7;1957281946290487:5;1957281958290487:2;1957281970290487:7;1957281986290487:4;1957281998290487:4;1957282009290487:10;1957282029290487:7;1957282041290487:6;1957282058290487:5;1957282072290487:6;1957282090290487:9;1957282109290487:5;1957282120290487:5;1957282131290487:5;1957282144290487:4;1957282156290487:9;1957282176290487:6;1957282191290487:6;1957282202290487:3;1957282217290487:5;1957282227290487:6;1957282239290487:29;1957282304290487:5;1957282316290487:19;1957282371290487:7;1957282388290487:4;1957282402290487:7;1957282422290487:21;1957282474290487:5;1957282490290487:9;1957282516290487:4;1957282530290487:16;1957282570290487:6;1957282583290487:5;1957282603290487:8;1957282625290487:2;1957282637290487:7;1957282653290487:11;1957282681290487:5;1957282698290487:2;1957282710290487:6;1957282731290487:2,YES,COMPLETE,STRUCTURALLY_AVAILABLE,"The exact same-state/evaluation/fold/source-EU scope contains 44 other poststrata with n_h>=2 and 310 plots. This inventories a pool; it does not choose a donor, weight, or variance rule.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S04,CA,06,62301,2023,A,3,1957288670290487,1,9,same state + component EVALID + frozen fold + original source EU,150,149,0,5351,5350,5350,149,5201,501,501,R0,HOMOGENEOUS,YES,1957282742290487:366;1957283629290487:12;1957283659290487:4;1957283670290487:9;1957283694290487:10;1957283716290487:12;1957283738290487:8;1957283757290487:11;1957283786290487:7;1957283809290487:3;1957283821290487:6;1957283832290487:1432;1957287329290487:6;1957287346290487:10;1957287381290487:97;1957287629290487:5;1957287646290487:3;1957287660290487:5;1957287680290487:27;1957287750290487:7;1957287764290487:6;1957287775290487:7;1957287787290487:5;1957287800290487:75;1957287999290487:12;1957288036290487:6;1957288049290487:3;1957288060290487:6;1957288079290487:2;1957288093290487:15;1957288136290487:4;1957288150290487:5;1957288173290487:3;1957288184290487:4;1957288196290487:9;1957288224290487:9;1957288244290487:7;1957288266290487:143;1957288629290487:8;1957288647290487:9;1957288680290487:4;1957288692290487:20;1957288739290487:7;1957288756290487:12;1957288782290487:4;1957288797290487:14;1957288835290487:14;1957288861290487:4;1957288872290487:9;1957288891290487:3;1957288906290487:3;1957288920290487:11;1957288941290487:5;1957288959290487:9;1957288982290487:4;1957288996290487:11;1957289024290487:426;1957290079290487:21;1957290136290487:10;1957290163290487:4;1957290179290487:9;1957290195290487:8;1957290222290487:6;1957290238290487:28;1957290309290487:6;1957290325290487:2;1957290336290487:11;1957290357290487:22;1957290415290487:4;1957290429290487:10;1957290456290487:2;1957290469290487:6;1957290482290487:14;1957290507290487:6;1957290522290487:6;1957290539290487:6;1957290552290487:6;1957290566290487:2;1957290581290487:6;1957290598290487:6;1957290612290487:2;1957290623290487:4;1957290639290487:222;1957291188290487:8;1957291207290487:5;1957291222290487:9;1957291239290487:10;1957291272290487:22;1957291322290487:4;1957291335290487:16;1957291370290487:5;1957291383290487:13;1957291405290487:12;1957291438290487:6;1957291453290487:15;1957291492290487:6;1957291506290487:4;1957291517290487:4;1957291530290487:9;1957291545290487:39;1957291641290487:13;1957291675290487:7;1957291693290487:23;1957291738290487:29;1957291803290487:33;1957291889290487:54;1957292022290487:48;1957292147290487:47;1957292276290487:5;1957292287290487:10;1957292318290487:2;1957292332290487:8;1957292352290487:6;1957292367290487:8;1957292385290487:13;1957292418290487:17;1957292461290487:5;1957292474290487:917;1957294837290487:19;1957294898290487:18;1957294934290487:5;1957294947290487:4;1957294959290487:6;1957294969290487:41;1957295081290487:10;1957295106290487:6;1957295122290487:7;1957295139290487:4;1957295153290487:88;1957295382290487:7;1957295396290487:5;1957295407290487:6;1957295421290487:8;1957295440290487:37;1957295541290487:5;1957295567290487:8;1957295590290487:7;1957295608290487:9;1957295631290487:82;1957295845290487:8;1957295865290487:8;1957295887290487:5;1957295902290487:74;1957296092290487:26;1957296163290487:13;1957296201290487:12;1957296228290487:9;1957296255290487:6;1957296272290487:8,YES,COMPLETE,STRUCTURALLY_AVAILABLE,"The exact same-state/evaluation/fold/source-EU scope contains 149 other poststrata with n_h>=2 and 5350 plots. This inventories a pool; it does not choose a donor, weight, or variance rule.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S05,CO,08,82301,2023,A,37,1882584578290487,1,13,same state + component EVALID + frozen fold + original source EU,5,4,0,75,74,74,4,70,1,1,R0,HOMOGENEOUS,YES,1882584576290487:34;1882584577290487:15;1882584579290487:13;1882584580290487:12,YES,COMPLETE,STRUCTURALLY_AVAILABLE,"The exact same-state/evaluation/fold/source-EU scope contains 4 other poststrata with n_h>=2 and 74 plots. This inventories a pool; it does not choose a donor, weight, or variance rule.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S06,IN,18,182301,2023,A,2,1805045265290487,1,9,same state + component EVALID + frozen fold + original source EU,1,0,0,1,0,0,0,0,1,1,R0,HOMOGENEOUS,NOT_APPLICABLE,,YES,COMPLETE,STRUCTURALLY_ISOLATED,"The exact same-state/evaluation/fold/source-EU scope contains no other poststratum with n_h>=2, so this boundary supplies no local variance-information pool.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S07,IN,18,182301,2023,A,3,1805045266290487,1,4,same state + component EVALID + frozen fold + original source EU,1,0,0,1,0,0,0,0,1,1,R0,HOMOGENEOUS,NOT_APPLICABLE,,YES,COMPLETE,STRUCTURALLY_ISOLATED,"The exact same-state/evaluation/fold/source-EU scope contains no other poststratum with n_h>=2, so this boundary supplies no local variance-information pool.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S08,IN,18,182301,2023,A,4,1805045267290487,1,3,same state + component EVALID + frozen fold + original source EU,1,0,0,1,0,0,0,0,1,1,R0,HOMOGENEOUS,NOT_APPLICABLE,,YES,COMPLETE,STRUCTURALLY_ISOLATED,"The exact same-state/evaluation/fold/source-EU scope contains no other poststratum with n_h>=2, so this boundary supplies no local variance-information pool.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S09,IA,19,192301,2023,A,4,1688582649290487,1,5,same state + component EVALID + frozen fold + original source EU,1,0,0,1,0,0,0,0,1,1,R0,HOMOGENEOUS,NOT_APPLICABLE,,YES,COMPLETE,STRUCTURALLY_ISOLATED,"The exact same-state/evaluation/fold/source-EU scope contains no other poststratum with n_h>=2, so this boundary supplies no local variance-information pool.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S10,MO,29,292301,2023,A,1,1783101523290487,1,2,same state + component EVALID + frozen fold + original source EU,1,0,0,1,0,0,0,0,1,1,R0,HOMOGENEOUS,NOT_APPLICABLE,,YES,COMPLETE,STRUCTURALLY_ISOLATED,"The exact same-state/evaluation/fold/source-EU scope contains no other poststratum with n_h>=2, so this boundary supplies no local variance-information pool.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
