summary_level,state,source_evalid,fold,source_eu,case_count,available_count,isolated_count,incomplete_count,total_poststrata_min,total_poststrata_median,total_poststrata_max,non_singleton_poststrata_min,non_singleton_poststrata_median,non_singleton_poststrata_max,candidate_non_singleton_plots_min,candidate_non_singleton_plots_median,candidate_non_singleton_plots_max,residual_df_proxy_min,residual_df_proxy_median,residual_df_proxy_max,deterministic_scope_covers_group,notes
OVERALL,ALL,ALL,ALL,ALL,24,11,13,0,1,1,150,0,0,149,0,0,5350,0,0,5201,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
STATE,CA,ALL,ALL,ALL,4,4,0,0,45,134,150,44,132,149,310,1029,5350,266,897,5201,YES,"Counts only; no donor assignment, pooling weights, or variance estimator."
STATE,CO,ALL,ALL,ALL,1,1,0,0,5,5,5,4,4,4,74,74,74,70,70,70,YES,"Counts only; no donor assignment, pooling weights, or variance estimator."
STATE,IA,ALL,ALL,ALL,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
STATE,IN,ALL,ALL,ALL,3,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
STATE,MO,ALL,ALL,ALL,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
STATE,MT,ALL,ALL,ALL,1,1,0,0,3,3,3,2,2,2,71,71,71,69,69,69,YES,"Counts only; no donor assignment, pooling weights, or variance estimator."
STATE,NY,ALL,ALL,ALL,4,1,3,0,1,1,5,0,0,4,0,0,72,0,0,68,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
STATE,OH,ALL,ALL,ALL,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
STATE,PA,ALL,ALL,ALL,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
STATE,VA,ALL,ALL,ALL,1,1,0,0,5,5,5,4,4,4,287,287,287,283,283,283,YES,"Counts only; no donor assignment, pooling weights, or variance estimator."
STATE,WA,ALL,ALL,ALL,3,3,0,0,20,71,71,19,69,69,138,1330,1330,119,1261,1261,YES,"Counts only; no donor assignment, pooling weights, or variance estimator."
FOLD,ALL,ALL,A,ALL,22,11,11,0,1,2,150,0,1,149,0,35.5,5350,0,34,5201,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
FOLD,ALL,ALL,B,ALL,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,CA,62301,A,1,2,2,0,0,134,134,134,132,132,132,1029,1029,1029,897,897,897,YES,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,CA,62301,A,2,1,1,0,0,45,45,45,44,44,44,310,310,310,266,266,266,YES,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,CA,62301,A,3,1,1,0,0,150,150,150,149,149,149,5350,5350,5350,5201,5201,5201,YES,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,CO,82301,A,37,1,1,0,0,5,5,5,4,4,4,74,74,74,70,70,70,YES,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,IA,192301,A,4,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,IN,182301,A,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,IN,182301,A,3,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,IN,182301,A,4,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,MO,292301,A,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,MO,292301,B,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,MT,302201,A,73,1,1,0,0,3,3,3,2,2,2,71,71,71,69,69,69,YES,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,NY,362301,A,23,1,1,0,0,5,5,5,4,4,4,72,72,72,68,68,68,YES,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,NY,362301,A,6,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,NY,362301,A,8,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,NY,362301,B,8,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,OH,392301,A,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,OH,392301,A,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,PA,422301,A,5,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,PA,422301,A,9,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,NO,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,VA,512301,A,5,1,1,0,0,5,5,5,4,4,4,287,287,287,283,283,283,YES,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,WA,532301,A,1,2,2,0,0,71,71,71,69,69,69,1330,1330,1330,1261,1261,1261,YES,"Counts only; no donor assignment, pooling weights, or variance estimator."
SOURCE_EU_SCOPE,WA,532301,A,2,1,1,0,0,20,20,20,19,19,19,138,138,138,119,119,119,YES,"Counts only; no donor assignment, pooling weights, or variance estimator."
