comparison_id,field_or_question,eu3_distribution,eu4_distribution,comparison_status,local_exception_relevance,interpretation,evidence_source
WV-C01,Frozen current row count,2,11,DIFFERENT,DESCRIPTIVE,13/13 current merged-population rows recovered.,D10CA_v01/out/plot_block_xwalk_v01.csv.gz
WV-C02,Fold distribution,A:2,A:6;B:5,DIFFERENT,PANEL_COMPOSITION,EU3 has no fold-B row in the frozen current frame.,D10CA_v01/out/plot_block_xwalk_v01.csv.gz
WV-C03,P2PANEL distribution,5:2,1:3;2:2;3:3;5:3,DIFFERENT,PANEL_COMPOSITION,"Both EU3 rows are panel 5; EU4 spans panels 1, 2, 3, and 5.","SQLite_FIADB_ENTIRE.db:PLOT,SURVEY"
WV-C04,DESIGNCD,1:2,1:11,SAME,HIGH,All 13 rows use national design code 1.,"SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 p.1-5,p.2-16"
WV-C05,KINDCD,2:2,2:11,SAME,HIGH,All 13 rows are code 2 remeasurements of national-design plots.,"SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 p.2-16"
WV-C06,QA_STATUS,1:2,1:11,SAME,HIGH,All 13 rows are standard production plots (code 1).,"SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 p.2-19"
WV-C07,INTENSITY,1:2,1:11,SAME,HIGH,"All 13 rows have INTENSITY=1, the FIA base-grid code.","SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 p.2-21"
WV-C08,SUBPANEL,0:2,0:11,SAME,SUPPORTING,All rows have SUBPANEL=0; NRS is not one of the work units for which the guide describes populated annual subpanels.,"SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 p.2-24"
WV-C09,MANUAL,9:2,7:3;8:1;9:4;9.1:2;9.2:1,DIFFERENT,PROTOCOL_VERSION,EU4 spans more inventory years; all values are >=1 and therefore national-field-guide procedures.,"SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 p.2-19"
WV-C10,MANUAL_NERS,9.0:2,7.0:3;8.0:1;9.0:2;9.01:1;9.1:3;9.2:1,DIFFERENT,REGIONAL_PROTOCOL_VERSION,The regional manual values vary by measurement year; no distinct plot-design or intensity code accompanies the difference.,"SQLite_FIADB_ENTIRE.db:PLOT,SURVEY"
WV-C11,SAMP_METHOD_CD,1:1;2:1,1:4;2:7,MIXED_BOTH,MEASUREMENT_METHOD,Both source EUs contain field-visited and remotely sensed current rows.,"SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 p.2-20"
WV-C12,PLOT_STATUS_CD,1:1;2:1,1:4;2:7,MIXED_BOTH,RESPONSE_OR_LAND_STATUS,Both EUs contain sampled rows with and without accessible forest; this is not a panel-inclusion code.,"SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 p.2-14"
WV-C13,official_full_expns,11507.4:2,4723.818181818182:11,DIFFERENT,ESTIMATION_ADJUSTMENT,"Source-EU production expansion factors differ; this is recorded, not interpreted as a row-level base-grid exception.",D10CA_v01/out/plot_block_xwalk_v01.csv.gz
WV-C14,adj_factor_subp,1:2,1.0476190476190477:11,DIFFERENT,ESTIMATION_ADJUSTMENT,Source-EU subplot adjustment factors differ; the current operator remains frozen and was not recomputed.,D10CA_v01/out/plot_block_xwalk_v01.csv.gz
WV-C15,Survey-level intensification note,PRESENT_ELSEWHERE_IN_SURVEY_NOTES:2,PRESENT_ELSEWHERE_IN_SURVEY_NOTES:11,SAME,CONTEXT_ONLY,"WV surveys disclose 3x National Forest intensification, but every selected EU3/EU4 row itself has INTENSITY=1.","SQLite_FIADB_ENTIRE.db:PLOT,SURVEY"
WV-C16,Current-row local exception classification,NO LOCAL EXCEPTION EVIDENCE:2,NO LOCAL EXCEPTION EVIDENCE:11,SAME,DECISION,"No current row carries a non-base INTENSITY, non-national DESIGNCD, non-production QA status, or other sampled-row special-design flag.","SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;D10CA_v01/out/plot_block_xwalk_v01.csv.gz"
WV-C17,WV overall local exception result,NO LOCAL EXCEPTION EVIDENCE,NO LOCAL EXCEPTION EVIDENCE,CLOSED_FOR_B7,DECISION,"This is a frozen-current-sample finding, not a claim that the statewide survey has no intensification anywhere.",B7 row audit + accepted B6 authority
WV-C18,Fold-B EU3=0,"2 current rows, both P2PANEL=5; B selects 1,2,4",5 fold-B rows in panels 1 and 2,NO LOCAL STRUCTURAL RESTRICTION EVIDENCE,PANEL_ZERO,The zero follows observed panel composition. No row-level local exception/restriction field distinguishes EU3; strict counterfactual randomization identity remains B6-open.,"SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;accepted B6"
