plot_visit_identity,component_evalid,fold,source_eu,p2panel,plot_invyr,measyear,unitcd,countycd,plot_number,designcd,raw_designcd,design_identity,kindcd,sample_kind_identity,manual,manual_ners,manual_db,samp_method_cd,sample_method_identity,plot_status_cd,plot_status_identity,qa_status,qa_identity,intensity,intensity_identity,subpanel,nf_sampling_status_cd,survey_rscd,region_identity,survey_annual_inventory,survey_level_intensification_context,official_full_expns,adj_factor_subp,reconstruction_source,source_eu_matches_plot_unitcd,local_augmentation_flag,oversample_or_intensification_flag,nonfederal_or_special_design_flag,current_sample_exception_classification,evidence_sources
618642942126144,542301,A,3,5,2020,2020,3,45,773,1,1,NATIONAL_DESIGN,2,REMEASUREMENT_NATIONAL_DESIGN,9.0,9.0,9.4,1,FIELD_VISITED,1,SAMPLED_ACCESSIBLE_FOREST_PRESENT,1,STANDARD_PRODUCTION_PLOT,1,FIA_BASE_GRID,0,0.0,24,NRS,Y,PRESENT_ELSEWHERE_IN_SURVEY_NOTES,11507.4,1.0,FROZEN_NATIONAL_SQLITE,YES,NO_ROW_LEVEL_EVIDENCE,NO,NO_ROW_LEVEL_EVIDENCE,NO LOCAL EXCEPTION EVIDENCE,"D10FB5_WV_COMBINED_POPULATION_MAPPING_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 pp.2-16,2-18--2-21"
618642961126144,542301,A,3,5,2020,2020,3,39,3597,1,1,NATIONAL_DESIGN,2,REMEASUREMENT_NATIONAL_DESIGN,9.0,9.0,9.4,2,REMOTELY_SENSED,2,SAMPLED_NO_ACCESSIBLE_FOREST_PRESENT,1,STANDARD_PRODUCTION_PLOT,1,FIA_BASE_GRID,0,,24,NRS,Y,PRESENT_ELSEWHERE_IN_SURVEY_NOTES,11507.4,1.0,FROZEN_NATIONAL_SQLITE,YES,NO_ROW_LEVEL_EVIDENCE,NO,NO_ROW_LEVEL_EVIDENCE,NO LOCAL EXCEPTION EVIDENCE,"D10FB5_WV_COMBINED_POPULATION_MAPPING_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 pp.2-16,2-18--2-21"
374961222489998,542301,A,4,3,2017,2017,4,51,3588,1,1,NATIONAL_DESIGN,2,REMEASUREMENT_NATIONAL_DESIGN,7.0,7.0,9.4,2,REMOTELY_SENSED,2,SAMPLED_NO_ACCESSIBLE_FOREST_PRESENT,1,STANDARD_PRODUCTION_PLOT,1,FIA_BASE_GRID,0,,24,NRS,Y,PRESENT_ELSEWHERE_IN_SURVEY_NOTES,4723.818181818182,1.0476190476190477,FROZEN_NATIONAL_SQLITE,YES,NO_ROW_LEVEL_EVIDENCE,NO,NO_ROW_LEVEL_EVIDENCE,NO LOCAL EXCEPTION EVIDENCE,"D10FB5_WV_COMBINED_POPULATION_MAPPING_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 pp.2-16,2-18--2-21"
374961373489998,542301,A,4,3,2017,2017,4,103,698,1,1,NATIONAL_DESIGN,2,REMEASUREMENT_NATIONAL_DESIGN,7.0,7.0,9.4,1,FIELD_VISITED,1,SAMPLED_ACCESSIBLE_FOREST_PRESENT,1,STANDARD_PRODUCTION_PLOT,1,FIA_BASE_GRID,0,0.0,24,NRS,Y,PRESENT_ELSEWHERE_IN_SURVEY_NOTES,4723.818181818182,1.0476190476190477,FROZEN_NATIONAL_SQLITE,YES,NO_ROW_LEVEL_EVIDENCE,NO,NO_ROW_LEVEL_EVIDENCE,NO LOCAL EXCEPTION EVIDENCE,"D10FB5_WV_COMBINED_POPULATION_MAPPING_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 pp.2-16,2-18--2-21"
374961392489998,542301,A,4,3,2017,2017,4,53,3591,1,1,NATIONAL_DESIGN,2,REMEASUREMENT_NATIONAL_DESIGN,7.0,7.0,9.4,2,REMOTELY_SENSED,2,SAMPLED_NO_ACCESSIBLE_FOREST_PRESENT,1,STANDARD_PRODUCTION_PLOT,1,FIA_BASE_GRID,0,,24,NRS,Y,PRESENT_ELSEWHERE_IN_SURVEY_NOTES,4723.818181818182,1.0476190476190477,FROZEN_NATIONAL_SQLITE,YES,NO_ROW_LEVEL_EVIDENCE,NO,NO_ROW_LEVEL_EVIDENCE,NO LOCAL EXCEPTION EVIDENCE,"D10FB5_WV_COMBINED_POPULATION_MAPPING_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 pp.2-16,2-18--2-21"
513410668126144,542301,A,4,5,2019,2019,4,99,1299,1,1,NATIONAL_DESIGN,2,REMEASUREMENT_NATIONAL_DESIGN,8.0,8.0,9.4,1,FIELD_VISITED,1,SAMPLED_ACCESSIBLE_FOREST_PRESENT,1,STANDARD_PRODUCTION_PLOT,1,FIA_BASE_GRID,0,0.0,24,NRS,Y,PRESENT_ELSEWHERE_IN_SURVEY_NOTES,4723.818181818182,1.0476190476190477,FROZEN_NATIONAL_SQLITE,YES,NO_ROW_LEVEL_EVIDENCE,NO,NO_ROW_LEVEL_EVIDENCE,NO LOCAL EXCEPTION EVIDENCE,"D10FB5_WV_COMBINED_POPULATION_MAPPING_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 pp.2-16,2-18--2-21"
618642930126144,542301,A,4,5,2020,2020,4,105,3586,1,1,NATIONAL_DESIGN,2,REMEASUREMENT_NATIONAL_DESIGN,9.0,9.0,9.4,1,FIELD_VISITED,1,SAMPLED_ACCESSIBLE_FOREST_PRESENT,1,STANDARD_PRODUCTION_PLOT,1,FIA_BASE_GRID,0,0.0,24,NRS,Y,PRESENT_ELSEWHERE_IN_SURVEY_NOTES,4723.818181818182,1.0476190476190477,FROZEN_NATIONAL_SQLITE,YES,NO_ROW_LEVEL_EVIDENCE,NO,NO_ROW_LEVEL_EVIDENCE,NO LOCAL EXCEPTION EVIDENCE,"D10FB5_WV_COMBINED_POPULATION_MAPPING_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 pp.2-16,2-18--2-21"
618642950126144,542301,A,4,5,2020,2020,4,107,3581,1,1,NATIONAL_DESIGN,2,REMEASUREMENT_NATIONAL_DESIGN,9.0,9.0,9.4,2,REMOTELY_SENSED,2,SAMPLED_NO_ACCESSIBLE_FOREST_PRESENT,1,STANDARD_PRODUCTION_PLOT,1,FIA_BASE_GRID,0,,24,NRS,Y,PRESENT_ELSEWHERE_IN_SURVEY_NOTES,4723.818181818182,1.0476190476190477,FROZEN_NATIONAL_SQLITE,YES,NO_ROW_LEVEL_EVIDENCE,NO,NO_ROW_LEVEL_EVIDENCE,NO LOCAL EXCEPTION EVIDENCE,"D10FB5_WV_COMBINED_POPULATION_MAPPING_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 pp.2-16,2-18--2-21"
722581104290487,542301,B,4,1,2021,2021,4,53,3583,1,1,NATIONAL_DESIGN,2,REMEASUREMENT_NATIONAL_DESIGN,9.0,9.01,9.4,2,REMOTELY_SENSED,2,SAMPLED_NO_ACCESSIBLE_FOREST_PRESENT,1,STANDARD_PRODUCTION_PLOT,1,FIA_BASE_GRID,0,,24,NRS,Y,PRESENT_ELSEWHERE_IN_SURVEY_NOTES,4723.818181818182,1.0476190476190477,FROZEN_NATIONAL_SQLITE,YES,NO_ROW_LEVEL_EVIDENCE,NO,NO_ROW_LEVEL_EVIDENCE,NO LOCAL EXCEPTION EVIDENCE,"D10FB5_WV_COMBINED_POPULATION_MAPPING_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 pp.2-16,2-18--2-21"
816547186290487,542301,B,4,2,2022,2022,4,105,3584,1,1,NATIONAL_DESIGN,2,REMEASUREMENT_NATIONAL_DESIGN,9.0,9.1,9.4,1,FIELD_VISITED,1,SAMPLED_ACCESSIBLE_FOREST_PRESENT,1,STANDARD_PRODUCTION_PLOT,1,FIA_BASE_GRID,0,0.0,24,NRS,Y,PRESENT_ELSEWHERE_IN_SURVEY_NOTES,4723.818181818182,1.0476190476190477,FROZEN_NATIONAL_SQLITE,YES,NO_ROW_LEVEL_EVIDENCE,NO,NO_ROW_LEVEL_EVIDENCE,NO LOCAL EXCEPTION EVIDENCE,"D10FB5_WV_COMBINED_POPULATION_MAPPING_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;SQLite_FIADB_ENTIRE.db:PLOT,SURVEY;FIADB v9.4 pp.2-16,2-18--2-21"
