input_id,local_path,artifact_role,expected_sha256_or_identity,observed_sha256_or_identity,size_bytes,identity_status,member_or_detail
I01,C:\range_paper\05_qc\d10fb7_local_identity_preflight_v01\D10FB7_v01.zip,PRIMARY_ACCEPTED_B7_PACKAGE,b1a15ca65c88b3352c9589c846cb7099be76379249c3c329b78714df190c54f7,b1a15ca65c88b3352c9589c846cb7099be76379249c3c329b78714df190c54f7,41538,PASS,Whole-file SHA-256
I01R,C:\range_paper\05_qc\d10fb7_local_identity_preflight_v01\TRANSFER_RESULT_Q1-D10FB7-v01-20260907.txt,PRIMARY_B7_RELAY_COMMIT,5a82b5a0edb6ea4d31d32eb1baf81f057a15821a,5a82b5a0edb6ea4d31d32eb1baf81f057a15821a,648,PASS,Exact relay commit
I02,C:\range_paper\05_qc\d10fb7_local_identity_preflight_v01\D10FB7_SINGLETON_SOURCE_EU_POOLING_PREFLIGHT_v01.csv,PRIMARY_LEVEL1_CASE_TABLE,B7_PACKAGE_MEMBER,5a1c1ffc50a94f984df504827d2fa00a1b18411e36f4820e22662ecee24c8135,23705,PASS,13 isolated cases selected from exact B7 artifact
I03,C:\range_paper\10_archive\d10ca\D10CA_v01.zip,PRIMARY_PLOT_BLOCK_CROSSWALK_PACKAGE,c8f73406f7f192b8f124add3cb0ded7ea65474e8d72d752e37dc557a08588865,c8f73406f7f192b8f124add3cb0ded7ea65474e8d72d752e37dc557a08588865,7092335,PASS,Whole-file SHA-256
I03M,C:\range_paper\10_archive\d10ca\pkg\out\plot_block_xwalk_v01.csv.gz,EXTRACTED_PLOT_BLOCK_CROSSWALK,a2c4bb3f6d45ed7d6497c511648265b7d692bf872aabbba1fdd99cc534be9447,a2c4bb3f6d45ed7d6497c511648265b7d692bf872aabbba1fdd99cc534be9447,7059832,PASS,Matches ZIP member D10CA_v01/out/plot_block_xwalk_v01.csv.gz
I04,C:\range_paper\99_tmp\d08c2_preflight_observational_authority_v01\source_cache\SQLite_FIADB_ENTIRE.db,LOCAL_PLOT_AND_SURVEY_IDENTITY,d2935fa9e2c7dd754fbdd8151ba2f093675e3772fefe260336daa308adcaeb72,INHERITED_AUTHORITY_SHA;CURRENT_SIZE=71565119488,71565119488,PASS_INHERITED_SHA_AND_CURRENT_SIZE,71.6 GB file not rehashed; frozen authority SHA inherited and byte size rechecked
I05,C:\range_paper\05_qc\d08c2_preflight_observational_authority_v01\Q1_D08C2_PREFLIGHT_ASSET_AUTHORITY_v01.csv,SQLITE_HASH_AUTHORITY,D08C2_FROZEN_AUTHORITY,4bc3fb50cdfbb6da0a6b2d9409fb48258fc65da0fe15033e0d13b4a1c233d846,1370,PASS,Local authority record for inherited SQLite SHA
I06,C:\Users\bug_g\.codex\attachments\32eb12da-8db8-42ff-b513-6973019e784a\pasted-text.txt,TASK_FREEZE,USER_ATTACHMENT,14ef58e0957f8176d814e970312f02924efa7047a6ab6a324378b3768ed6b132,9899,PASS,Exact B8 request
I07,C:\range_paper\00_control\ResearchArtifactRelay_v0_2_2\ResearchArtifactRelay_GUI.ps1,TRANSFER_SCHEMA_AUTHORITY,ResearchArtifactRelay_v0.2.2,7139e060aa394d9bb23cca6249fd4ed1ea1ead7f224e1d3c605975dd331fc915,43158,PASS,Valid target enumeration and mirror resolver checked
B7-I01,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip,UPSTREAM_ACCEPTED_VIA_B7,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,22496593,ACCEPTED_VIA_B7,Whole-file SHA-256
B7-I03,C:\range_paper\05_qc\d10fb3_singleton_wv_operator_v01\D10FB3_v01.zip,UPSTREAM_ACCEPTED_VIA_B7,TASK_ACCEPTED_B3,b28f54d20c9c0da0b7cfae781e318f4c4cbc30eb450a902be73c330fe97a1fe1,30444,ACCEPTED_VIA_B7,B3 local package; relay identity is recorded separately
B7-I04,C:\range_paper\05_qc\d10fb5_bounded_variance_interface_v01\D10FB5_v01.zip,UPSTREAM_ACCEPTED_VIA_B7,TASK_ACCEPTED_B5,76745b08f3aca379b22b4a5e1c0134c85c1fa2de87336f7f11b260903026aeef,57720,ACCEPTED_VIA_B7,B5 local package; relay identity is recorded separately
B7-I05,C:\Users\bug_g\Downloads\D10FB6_v01.zip,UPSTREAM_ACCEPTED_VIA_B7,4822b8fa6b02bedf3f2c918883aa810fcd97931344bad000138f2f2cb5255cdb,4822b8fa6b02bedf3f2c918883aa810fcd97931344bad000138f2f2cb5255cdb,40101,ACCEPTED_VIA_B7,Whole-file SHA-256
B7-I07,C:\range_paper\03_doc\FIA\wo-v9-4_Aug2025_UG_FIADB_database_description_NFI.pdf,UPSTREAM_ACCEPTED_VIA_B7,LOCAL_FROZEN_GUIDE,ec735ead3852ba6dbb65cb7257b4f8e0795d4c641be4d625ed81ce64eeba2833,26525698,ACCEPTED_VIA_B7,Used only for PLOT field semantics; no external search
