case_id,state,source_evalid,fold,scope_role,poststratum_id,poststratum_fold_n_h,source_eu,xwalk_designcd,raw_designcd,repair_class,plot_designcd,manual,manual_db,manual_ncrs,manual_ners,manual_rmrs,intensity,qa_status,kindcd,samp_method_cd,subpanel,nf_sampling_status_cd,nf_plot_status_cd,nf_plot_nonsample_reason_cd,survey_rscd,survey_annual_inventory,survey_intensification_context,plot_count_in_identity_bucket,broad_design_class,local_exception_reasons,candidate_material_flag,inventory_only_no_assignment,evidence_source
S06,IN,182301,A,CANDIDATE_NON_SINGLETON,1805045263290487,10,1,1,1,R0,1,7,9.4,7,,,1,1,2,1,0,0,,,23,Y,INTENSIFICATION_TEXT_PRESENT,1,NATIONAL_BASE_PRODUCTION_R0,NONE,YES,YES,D10C-A plot_block_xwalk + frozen SQLite PLOT/SURVEY
S06,IN,182301,A,CANDIDATE_NON_SINGLETON,1805045263290487,10,1,1,1,R0,1,8,9.4,8,,,1,1,2,1,0,0,,,23,Y,INTENSIFICATION_TEXT_PRESENT,2,NATIONAL_BASE_PRODUCTION_R0,NONE,YES,YES,D10C-A plot_block_xwalk + frozen SQLite PLOT/SURVEY
S06,IN,182301,A,CANDIDATE_NON_SINGLETON,1805045263290487,10,1,1,1,R0,1,9,9.4,9,,,1,1,2,1,0,0,,,23,Y,INTENSIFICATION_TEXT_PRESENT,2,NATIONAL_BASE_PRODUCTION_R0,NONE,YES,YES,D10C-A plot_block_xwalk + frozen SQLite PLOT/SURVEY
S06,IN,182301,A,CANDIDATE_NON_SINGLETON,1805045263290487,10,1,1,1,R0,1,7,9.4,7,,,2,1,2,1,0,0,,,23,Y,INTENSIFICATION_TEXT_PRESENT,2,REVIEW:INTENSITY_NOT_BASE_1,INTENSITY_NOT_BASE_1,YES,YES,D10C-A plot_block_xwalk + frozen SQLite PLOT/SURVEY
S06,IN,182301,A,CANDIDATE_NON_SINGLETON,1805045263290487,10,1,1,1,R0,1,8,9.4,8,,,2,1,2,1,0,0,,,23,Y,INTENSIFICATION_TEXT_PRESENT,2,REVIEW:INTENSITY_NOT_BASE_1,INTENSITY_NOT_BASE_1,YES,YES,D10C-A plot_block_xwalk + frozen SQLite PLOT/SURVEY
S06,IN,182301,A,CANDIDATE_NON_SINGLETON,1805045263290487,10,1,1,1,R0,1,9,9.4,9,,,2,1,2,1,0,0,,,23,Y,INTENSIFICATION_TEXT_PRESENT,1,REVIEW:INTENSITY_NOT_BASE_1,INTENSITY_NOT_BASE_1,YES,YES,D10C-A plot_block_xwalk + frozen SQLite PLOT/SURVEY
S06,IN,182301,A,CANDIDATE_NON_SINGLETON,1805045264290487,27,1,1,1,R0,1,7,9.4,7,,,1,1,2,1,0,0,,,23,Y,INTENSIFICATION_TEXT_PRESENT,5,NATIONAL_BASE_PRODUCTION_R0,NONE,YES,YES,D10C-A plot_block_xwalk + frozen SQLite PLOT/SURVEY
S06,IN,182301,A,CANDIDATE_NON_SINGLETON,1805045264290487,27,1,1,1,R0,1,8,9.4,8,,,1,1,2,1,0,0,,,23,Y,INTENSIFICATION_TEXT_PRESENT,3,NATIONAL_BASE_PRODUCTION_R0,NONE,YES,YES,D10C-A plot_block_xwalk + frozen SQLite PLOT/SURVEY
S06,IN,182301,A,CANDIDATE_NON_SINGLETON,1805045264290487,27,1,1,1,R0,1,9,9.4,9.2,,,1,1,2,1,0,0,,,23,Y,INTENSIFICATION_TEXT_PRESENT,1,NATIONAL_BASE_PRODUCTION_R0,NONE,YES,YES,D10C-A plot_block_xwalk + frozen SQLite PLOT/SURVEY
S06,IN,182301,A,CANDIDATE_NON_SINGLETON,1805045264290487,27,1,1,1,R0,1,9,9.4,9,,,1,1,2,1,0,0,,,23,Y,INTENSIFICATION_TEXT_PRESENT,2,NATIONAL_BASE_PRODUCTION_R0,NONE,YES,YES,D10C-A plot_block_xwalk + frozen SQLite PLOT/SURVEY
