case_id,state,state_fips,source_evalid,source_evaluation_year,fold,original_source_eu,original_source_parent_poststratum,level1_result,level2_scope_definition,level2_total_poststrata_count,level2_non_singleton_poststrata_count,level2_other_singleton_poststrata_count,level2_total_plots,level2_non_singleton_plots,level2_residual_df_proxy_sum_n_h_minus_1,candidate_distinct_source_eu_count,candidate_source_eu_values,candidate_distinct_designcd_count,candidate_designcd_distribution,candidate_distinct_raw_designcd_count,candidate_raw_designcd_distribution,candidate_distinct_plot_designcd_count,candidate_plot_designcd_distribution,candidate_distinct_repair_class_count,candidate_repair_class_distribution,candidate_distinct_manual_count,candidate_manual_distribution,candidate_intensity_distribution,candidate_qa_status_distribution,candidate_kindcd_distribution,candidate_sample_method_distribution,candidate_subpanel_distribution,candidate_survey_region_distribution,candidate_nf_sampling_status_distribution,candidate_survey_intensification_context_distribution,candidate_broad_design_class_count,candidate_broad_design_classes,candidate_special_or_exception_plot_count,all_candidate_material_standard_compatible_national_design,nested_standard_compatible_poststrata_count,nested_standard_compatible_plots,nested_standard_compatible_residual_df_proxy,same_designcd_nested_non_singleton_material,wa_target_case,identity_recovery_status,constructibility_label,constructibility_reason,inventory_only_no_assignment,notes
S06,IN,18,182301,2023,A,2,1805045265290487,STRUCTURALLY_ISOLATED,same state + component EVALID + frozen fold,34,31,2,1493,1490,1459,10,1;5;6;7;8;9;10;11;12;13,1,1:1490,1,1:1490,1,1:1490,1,R0:1490,4,7:655;8:205;9:546;9.2:84,1:1467;2:23,1:1489;7:1,1:24;2:1466,1:402;2:1088,0:1490,23:1490,0:402;MISSING:1088,INTENSIFICATION_TEXT_PRESENT:1490,2,NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1,23,NO,31,1467,1436,YES,NO,COMPLETE,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS,"Candidate material exists, but locally visible design/special-identity flags require separation: INTENSITY_NOT_BASE_1:23.",YES,"Counts and identity distributions only. MANUAL differences are reported descriptively and do not by themselves trigger incompatibility. No donor, threshold, weight, variance, or covariance rule."
S07,IN,18,182301,2023,A,3,1805045266290487,STRUCTURALLY_ISOLATED,same state + component EVALID + frozen fold,34,31,2,1493,1490,1459,10,1;5;6;7;8;9;10;11;12;13,1,1:1490,1,1:1490,1,1:1490,1,R0:1490,4,7:655;8:205;9:546;9.2:84,1:1467;2:23,1:1489;7:1,1:24;2:1466,1:402;2:1088,0:1490,23:1490,0:402;MISSING:1088,INTENSIFICATION_TEXT_PRESENT:1490,2,NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1,23,NO,31,1467,1436,YES,NO,COMPLETE,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS,"Candidate material exists, but locally visible design/special-identity flags require separation: INTENSITY_NOT_BASE_1:23.",YES,"Counts and identity distributions only. MANUAL differences are reported descriptively and do not by themselves trigger incompatibility. No donor, threshold, weight, variance, or covariance rule."
S08,IN,18,182301,2023,A,4,1805045267290487,STRUCTURALLY_ISOLATED,same state + component EVALID + frozen fold,34,31,2,1493,1490,1459,10,1;5;6;7;8;9;10;11;12;13,1,1:1490,1,1:1490,1,1:1490,1,R0:1490,4,7:655;8:205;9:546;9.2:84,1:1467;2:23,1:1489;7:1,1:24;2:1466,1:402;2:1088,0:1490,23:1490,0:402;MISSING:1088,INTENSIFICATION_TEXT_PRESENT:1490,2,NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1,23,NO,31,1467,1436,YES,NO,COMPLETE,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS,"Candidate material exists, but locally visible design/special-identity flags require separation: INTENSITY_NOT_BASE_1:23.",YES,"Counts and identity distributions only. MANUAL differences are reported descriptively and do not by themselves trigger incompatibility. No donor, threshold, weight, variance, or covariance rule."
S09,IA,19,192301,2023,A,4,1688582649290487,STRUCTURALLY_ISOLATED,same state + component EVALID + frozen fold,29,28,0,2380,2379,2351,11,1;2;3;5;6;7;8;9;10;11;12,1,1:2379,1,1:2379,1,1:2379,1,R0:2379,4,7:658;8:544;9:891;9.1:286,1:2379,1:2379,1:8;2:2371,1:250;2:2129,0:2379,23:2379,0:250;MISSING:2129,NO_INTENSIFICATION_TEXT:2379,1,NATIONAL_BASE_PRODUCTION_R0,0,YES,28,2379,2351,YES,NO,COMPLETE,STATE_SCOPE_STRUCTURALLY_AVAILABLE_COMPATIBLE,"The scope contains 28 non-singleton poststrata and 2379 plots; all candidate rows retain national DESIGNCD=1, base intensity, production QA, field-visited identity, SUBPANEL=0, and R0 repair.",YES,"Counts and identity distributions only. MANUAL differences are reported descriptively and do not by themselves trigger incompatibility. No donor, threshold, weight, variance, or covariance rule."
S10,MO,29,292301,2023,A,1,1783101523290487,STRUCTURALLY_ISOLATED,same state + component EVALID + frozen fold,46,45,0,2889,2888,2843,15,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,1,1:2888,1,1:2888,1,1:2888,1,R0:2888,3,7:845;8:1061;9:982,1:2777;2:111,1:2886;7:2,1:46;2:2842,1:1300;2:1588,0:2888,23:2888,0:1300;MISSING:1588,NO_INTENSIFICATION_TEXT:2888,2,NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1,111,NO,45,2777,2732,YES,NO,COMPLETE,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS,"Candidate material exists, but locally visible design/special-identity flags require separation: INTENSITY_NOT_BASE_1:111.",YES,"Counts and identity distributions only. MANUAL differences are reported descriptively and do not by themselves trigger incompatibility. No donor, threshold, weight, variance, or covariance rule."
S11,MO,29,292301,2023,B,1,1783101523290487,STRUCTURALLY_ISOLATED,same state + component EVALID + frozen fold,46,45,0,4394,4393,4348,15,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,1,1:4393,1,1:4393,1,1:4393,1,R0:4393,4,7:1289;9:1958;9.1:573;9.2:573,1:4194;2:199,1:4393,1:68;2:4325,1:1981;2:2412,0:4393,23:4393,0:1981;MISSING:2412,NO_INTENSIFICATION_TEXT:4393,2,NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1,199,NO,45,4194,4149,YES,NO,COMPLETE,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS,"Candidate material exists, but locally visible design/special-identity flags require separation: INTENSITY_NOT_BASE_1:199.",YES,"Counts and identity distributions only. MANUAL differences are reported descriptively and do not by themselves trigger incompatibility. No donor, threshold, weight, variance, or covariance rule."
S13,NY,36,362301,2023,A,6,1801531274290487,STRUCTURALLY_ISOLATED,same state + component EVALID + frozen fold,74,71,2,1788,1785,1714,28,1;2;3;4;5;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1,1:1785,1,1:1785,1,1:1785,1,R0:1785,5,7:514;8:373;9:614;9.1:130;9.2:154,1:1782;2:1;3:2,1:1784;7:1,1:65;2:1720,1:1224;2:561,0:1785,24:1785,0:1224;MISSING:561,INTENSIFICATION_TEXT_PRESENT:1785,2,NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1,3,NO,71,1782,1711,YES,NO,COMPLETE,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS,"Candidate material exists, but locally visible design/special-identity flags require separation: INTENSITY_NOT_BASE_1:3.",YES,"Counts and identity distributions only. MANUAL differences are reported descriptively and do not by themselves trigger incompatibility. No donor, threshold, weight, variance, or covariance rule."
S14,NY,36,362301,2023,A,8,1801531276290487,STRUCTURALLY_ISOLATED,same state + component EVALID + frozen fold,74,71,2,1788,1785,1714,28,1;2;3;4;5;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1,1:1785,1,1:1785,1,1:1785,1,R0:1785,5,7:514;8:373;9:614;9.1:130;9.2:154,1:1782;2:1;3:2,1:1784;7:1,1:65;2:1720,1:1224;2:561,0:1785,24:1785,0:1224;MISSING:561,INTENSIFICATION_TEXT_PRESENT:1785,2,NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1,3,NO,71,1782,1711,YES,NO,COMPLETE,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS,"Candidate material exists, but locally visible design/special-identity flags require separation: INTENSITY_NOT_BASE_1:3.",YES,"Counts and identity distributions only. MANUAL differences are reported descriptively and do not by themselves trigger incompatibility. No donor, threshold, weight, variance, or covariance rule."
S15,NY,36,362301,2023,B,8,1801531276290487,STRUCTURALLY_ISOLATED,same state + component EVALID + frozen fold,74,73,0,2698,2697,2624,29,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,1,1:2697,1,1:2697,1,1:2697,1,R0:2697,5,7:763;8:459;9:1341;9.1:90;9.2:44,1:2694;2:2;3:1,1:2696;7:1,1:86;2:2611,1:1838;2:859,0:2697,24:2697,0:1838;MISSING:859,INTENSIFICATION_TEXT_PRESENT:2697,2,NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1,3,NO,72,2693,2621,YES,NO,COMPLETE,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS,"Candidate material exists, but locally visible design/special-identity flags require separation: INTENSITY_NOT_BASE_1:3.",YES,"Counts and identity distributions only. MANUAL differences are reported descriptively and do not by themselves trigger incompatibility. No donor, threshold, weight, variance, or covariance rule."
S17,OH,39,392301,2023,A,1,1805023918290487,STRUCTURALLY_ISOLATED,same state + component EVALID + frozen fold,46,44,1,1629,1627,1583,17,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,1,1:1627,1,1:1627,1,1:1627,1,R0:1627,4,8:223;9:901;9.1:211;9.2:292,1:1586;2:25;3:16,1:1627,1:37;2:1590,1:604;2:1023,0:1627,24:1627,0:604;MISSING:1023,INTENSIFICATION_TEXT_PRESENT:1627,2,NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1,41,NO,44,1586,1542,YES,NO,COMPLETE,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS,"Candidate material exists, but locally visible design/special-identity flags require separation: INTENSITY_NOT_BASE_1:41.",YES,"Counts and identity distributions only. MANUAL differences are reported descriptively and do not by themselves trigger incompatibility. No donor, threshold, weight, variance, or covariance rule."
