summary_level,group_key,case_count,level1_solved,level2_target_count,level2_newly_compatible,nested_compatible_available,available_but_heterogeneous,state_scope_isolated,identity_incomplete,total_compatible_covered,unresolved_remainder,two_level_answer,distinct_source_eu_count_min,distinct_source_eu_count_median,distinct_source_eu_count_max,non_singleton_poststrata_min,non_singleton_poststrata_median,non_singleton_poststrata_max,non_singleton_plots_min,non_singleton_plots_median,non_singleton_plots_max,residual_df_proxy_min,residual_df_proxy_median,residual_df_proxy_max,constructibility_distribution,design_class_distribution,notes
LEVEL_1,same source EU + evaluation + fold,24,11,13,,,,,0,11,13,,,,,,,,,,,,,,,,Accepted B7 result; 13 isolated cases advance to Level 2.
LEVEL_2,same state + evaluation + fold,13,,13,1,13,12,0,0,1,12,,10,17,29,28,45,73,1490,1774,4393,1459,1714,4348,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS:12;STATE_SCOPE_STRUCTURALLY_AVAILABLE_COMPATIBLE:1,NATIONAL_BASE_PRODUCTION_R0:1;NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1:12,B8 structural and local design-identity result only.
TWO_LEVEL_FINAL,all 24 singleton cases,24,11,13,1,13,12,0,0,12,12,NO,10,17,29,28,45,73,1490,1774,4393,1459,1714,4348,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS:12;STATE_SCOPE_STRUCTURALLY_AVAILABLE_COMPATIBLE:1,NATIONAL_BASE_PRODUCTION_R0:1;NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1:12,YES means structural availability plus no locally visible incompatibility; it is not method qualification.
STATE,IA,1,,1,1,1,0,0,0,,0,,11,11,11,28,28,28,2379,2379,2379,2351,2351,2351,STATE_SCOPE_STRUCTURALLY_AVAILABLE_COMPATIBLE:1,NATIONAL_BASE_PRODUCTION_R0:1,Level-2 target cases only.
STATE,IN,3,,3,0,3,3,0,0,,3,,10,10,10,31,31,31,1490,1490,1490,1459,1459,1459,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS:3,NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1:3,Level-2 target cases only.
STATE,MO,2,,2,0,2,2,0,0,,2,,15,15,15,45,45,45,2888,3640.5,4393,2843,3595.5,4348,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS:2,NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1:2,Level-2 target cases only.
STATE,NY,3,,3,0,3,3,0,0,,3,,28,28,29,71,71,73,1785,1785,2697,1714,1714,2624,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS:3,NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1:3,Level-2 target cases only.
STATE,OH,2,,2,0,2,2,0,0,,2,,17,17,17,44,44,44,1627,1627,1627,1583,1583,1583,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS:2,NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1:2,Level-2 target cases only.
STATE,PA,2,,2,0,2,2,0,0,,2,,23,23,23,59,59,59,1774,1774,1774,1715,1715,1715,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS:2,NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1:2,Level-2 target cases only.
FOLD,A,11,,11,1,11,10,0,0,,10,,10,17,28,28,44,71,1490,1774,2888,1459,1714,2843,STATE_SCOPE_AVAILABLE_BUT_HETEROGENEOUS:10;STATE_SCOPE_STRUCTURALLY_AVAILABLE_COMPATIBLE:1,NATIONAL_BASE_PRODUCTION_R0:1;NATIONAL_BASE_PRODUCTION_R0;REVIEW:INTENSITY_NOT_BASE_1:10,Level-2 target cases only.
