case_id,state,state_fips,source_evalid,source_evaluation_year,fold,source_eu,target_poststratum,target_plot_visit_identity,target_plot_identity_source,target_xwalk_designcd,target_plot_designcd,target_raw_designcd,target_repair_class,target_intensity,target_qa_status,target_qa_production_class,target_kindcd,target_subpanel,target_special_nonfederal_augmentation_identity,target_manual,target_manual_db,target_manual_ncrs,target_manual_ners,target_manual_rmrs,target_samp_method_cd,target_plot_status_cd,target_nf_sampling_status_cd,target_designcd_p2a,target_core_design_identity,b7_level1_prior_status,level1_total_candidate_poststrata_before_filter,level1_total_candidate_plots_before_filter,level1_compatible_non_singleton_poststrata,level1_compatible_plots,level1_compatible_residual_df_proxy,level1_matched_plots_stranded_below_n2,level1_excluded_candidate_plots,level1_exclusion_reason_counts,level1_exclusion_pattern_distribution,level1_multiple_reason_excluded_plots,level1_designcd_mismatch_count,level1_raw_designcd_mismatch_count,level1_repair_class_mismatch_count,level1_intensity_mismatch_count,level1_qa_production_class_mismatch_count,level1_special_nonfederal_augmentation_mismatch_count,level1_result,level2_evaluated,level2_total_candidate_poststrata_before_filter,level2_total_candidate_plots_before_filter,level2_compatible_non_singleton_poststrata,level2_compatible_plots,level2_compatible_residual_df_proxy,level2_matched_plots_stranded_below_n2,level2_excluded_candidate_plots,level2_exclusion_reason_counts,level2_exclusion_pattern_distribution,level2_multiple_reason_excluded_plots,level2_designcd_mismatch_count,level2_raw_designcd_mismatch_count,level2_repair_class_mismatch_count,level2_intensity_mismatch_count,level2_qa_production_class_mismatch_count,level2_special_nonfederal_augmentation_mismatch_count,level2_result,selected_hierarchy_level,selected_compatible_non_singleton_poststrata,selected_compatible_plots,selected_compatible_residual_df_proxy,final_hierarchy_result,identity_completeness,identity_gap,b8_level2_reconciliation_status,b8_level2_reconciliation_detail,inventory_only_no_assignment,notes
S01,CA,06,62301,2023,A,1,1957279656290487,750084280290487,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,501,501,501,R0,1,7,PRODUCTION,2,1,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9,9.3,,,,1,1,0,,xwalk_DESIGNCD=501;plot_DESIGNCD=501;raw_DESIGNCD=501;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_AVAILABLE,132,1029,131,1015,884,0,14,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:14;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,INTENSITY_MISMATCH:14;MATCH:1015,0,0,0,0,14,0,0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,NO,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,,0,0,0,0,0,0,NOT_EVALUATED,LEVEL1,131,1015,884,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,NOT_APPLICABLE,Case was not one of the 13 B8 Level-2 targets.,YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S02,CA,06,62301,2023,A,1,1957280737290487,645307904126144,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,501,501,501,R0,1,1,PRODUCTION,2,1,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9,9.3,,,,1,1,0,,xwalk_DESIGNCD=501;plot_DESIGNCD=501;raw_DESIGNCD=501;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_AVAILABLE,132,1029,131,1015,884,0,14,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:14;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,INTENSITY_MISMATCH:14;MATCH:1015,0,0,0,0,14,0,0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,NO,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,,0,0,0,0,0,0,NOT_EVALUATED,LEVEL1,131,1015,884,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,NOT_APPLICABLE,Case was not one of the 13 B8 Level-2 targets.,YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S03,CA,06,62301,2023,A,2,1957282358290487,645306538126144,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,501,501,501,R0,1,1,PRODUCTION,2,1,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9,9.3,,,,2,2,,,xwalk_DESIGNCD=501;plot_DESIGNCD=501;raw_DESIGNCD=501;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_AVAILABLE,44,310,44,310,266,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,MATCH:310,0,0,0,0,0,0,0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,NO,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,,0,0,0,0,0,0,NOT_EVALUATED,LEVEL1,44,310,266,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,NOT_APPLICABLE,Case was not one of the 13 B8 Level-2 targets.,YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S04,CA,06,62301,2023,A,3,1957288670290487,750083917290487,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,501,501,501,R0,1,1,PRODUCTION,2,1,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9,9.3,,,,1,1,0,,xwalk_DESIGNCD=501;plot_DESIGNCD=501;raw_DESIGNCD=501;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_AVAILABLE,149,5350,149,5350,5201,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,MATCH:5350,0,0,0,0,0,0,0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,NO,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,,0,0,0,0,0,0,NOT_EVALUATED,LEVEL1,149,5350,5201,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,NOT_APPLICABLE,Case was not one of the 13 B8 Level-2 targets.,YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S05,CO,08,82301,2023,A,37,1882584578290487,667888689126144,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,1,1,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9.1,9.4,,,9.1,2,2,0,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_AVAILABLE,4,74,4,74,70,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,MATCH:74,0,0,0,0,0,0,0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,NO,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,,0,0,0,0,0,0,NOT_EVALUATED,LEVEL1,4,74,70,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,NOT_APPLICABLE,Case was not one of the 13 B8 Level-2 targets.,YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S06,IN,18,182301,2023,A,2,1805045265290487,1181991863290487,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,0,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9.2,9.4,9.2,,,2,2,,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_ISOLATED,0,0,0,0,0,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,NONE,0,0,0,0,0,0,0,LEVEL1_NO_COMPATIBLE_MATERIAL,YES,31,1490,31,1467,1436,0,23,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:23;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,INTENSITY_MISMATCH:23;MATCH:1467,0,0,0,0,23,0,0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,LEVEL2,31,1467,1436,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,PASS,"B9(poststrata,plots,df,intensity_exclusions)=(31, 1467, 1436, 23);B8_nested=(31, 1467, 1436, 23).",YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S07,IN,18,182301,2023,A,3,1805045266290487,509087121126144,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,0,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,8,9.4,8,,,2,2,,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_ISOLATED,0,0,0,0,0,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,NONE,0,0,0,0,0,0,0,LEVEL1_NO_COMPATIBLE_MATERIAL,YES,31,1490,31,1467,1436,0,23,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:23;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,INTENSITY_MISMATCH:23;MATCH:1467,0,0,0,0,23,0,0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,LEVEL2,31,1467,1436,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,PASS,"B9(poststrata,plots,df,intensity_exclusions)=(31, 1467, 1436, 23);B8_nested=(31, 1467, 1436, 23).",YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S08,IN,18,182301,2023,A,4,1805045267290487,375560172489998,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,0,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,7,9.4,7,,,2,2,,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_ISOLATED,0,0,0,0,0,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,NONE,0,0,0,0,0,0,0,LEVEL1_NO_COMPATIBLE_MATERIAL,YES,31,1490,31,1467,1436,0,23,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:23;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,INTENSITY_MISMATCH:23;MATCH:1467,0,0,0,0,23,0,0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,LEVEL2,31,1467,1436,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,PASS,"B9(poststrata,plots,df,intensity_exclusions)=(31, 1467, 1436, 23);B8_nested=(31, 1467, 1436, 23).",YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S09,IA,19,192301,2023,A,4,1688582649290487,719404403290487,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,0,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9,9.4,9,,,2,2,,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_ISOLATED,0,0,0,0,0,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,NONE,0,0,0,0,0,0,0,LEVEL1_NO_COMPATIBLE_MATERIAL,YES,28,2379,28,2379,2351,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,MATCH:2379,0,0,0,0,0,0,0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,LEVEL2,28,2379,2351,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,PASS,"B9(poststrata,plots,df,intensity_exclusions)=(28, 2379, 2351, 0);B8_nested=(28, 2379, 2351, 0).",YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S10,MO,29,292301,2023,A,1,1783101523290487,610794482126144,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,0,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9,9.4,9,,,2,2,,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_ISOLATED,0,0,0,0,0,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,NONE,0,0,0,0,0,0,0,LEVEL1_NO_COMPATIBLE_MATERIAL,YES,45,2888,45,2777,2732,0,111,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:111;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,INTENSITY_MISMATCH:111;MATCH:2777,0,0,0,0,111,0,0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,LEVEL2,45,2777,2732,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,PASS,"B9(poststrata,plots,df,intensity_exclusions)=(45, 2777, 2732, 111);B8_nested=(45, 2777, 2732, 111).",YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
