summary_level,group_key,total_cases,resolved_at_level1_after_filter,resolved_at_level2_after_filter,unresolved,identity_incomplete,compatible_poststrata_min,compatible_poststrata_median,compatible_poststrata_max,compatible_plots_min,compatible_plots_median,compatible_plots_max,residual_df_proxy_min,residual_df_proxy_median,residual_df_proxy_max,exclusion_reason_counts_across_evaluated_scopes,final_result_distribution,main_decision_answer,notes
OVERALL,ALL_24_CASES,24,11,13,0,0,2,44,149,63,1467,5350,51,1436,5201,DESIGNCD_MISMATCH:1403;RAW_DESIGNCD_MISMATCH:1403;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:2298;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE:11;LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE:13,YES_24_OF_24_STRUCTURALLY_AVAILABLE,Target-matched filter applied hierarchically; no sample-size sufficiency threshold.
STATE,CA,4,4,0,0,0,44,131,149,310,1015,5350,266,884,5201,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:28;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE:4,,Exact case aggregation.
STATE,CO,1,1,0,0,0,4,4,4,74,74,74,70,70,70,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE:1,,Exact case aggregation.
STATE,IA,1,0,1,0,0,28,28,28,2379,2379,2379,2351,2351,2351,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE:1,,Exact case aggregation.
STATE,IN,3,0,3,0,0,31,31,31,1467,1467,1467,1436,1436,1436,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:69;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE:3,,Exact case aggregation.
STATE,MO,2,0,2,0,0,45,45,45,2777,3485.5,4194,2732,3440.5,4149,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:310;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE:2,,Exact case aggregation.
STATE,MT,1,1,0,0,0,2,2,2,71,71,71,69,69,69,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE:1,,Exact case aggregation.
STATE,NY,4,1,3,0,0,4,71,72,72,1782,2693,68,1711,2621,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:9;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE:1;LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE:3,,Exact case aggregation.
STATE,OH,2,0,2,0,0,44,44,44,1586,1586,1586,1542,1542,1542,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:82;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE:2,,Exact case aggregation.
STATE,PA,2,0,2,0,0,57,57,57,1693,1693,1693,1636,1636,1636,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:160;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE:2,,Exact case aggregation.
STATE,VA,1,1,0,0,0,4,4,4,287,287,287,283,283,283,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE:1,,Exact case aggregation.
STATE,WA,3,3,0,0,0,12,31,37,63,207,297,51,170,266,DESIGNCD_MISMATCH:1403;RAW_DESIGNCD_MISMATCH:1403;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:1640;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE:3,,Exact case aggregation.
FOLD,A,22,11,11,0,0,2,40.5,149,63,1467,5350,51,1436,5201,DESIGNCD_MISMATCH:1403;RAW_DESIGNCD_MISMATCH:1403;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:2096;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE:11;LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE:11,,Exact case aggregation.
FOLD,B,2,0,2,0,0,45,58.5,72,2693,3443.5,4194,2621,3385,4149,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:202;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE:2,,Exact case aggregation.
TARGET_DESIGNCD,1,17,4,13,0,0,2,44,72,71,1586,4194,68,1542,4149,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:630;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE:4;LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE:13,,Target D10C-A DESIGNCD.
TARGET_DESIGNCD,501,5,5,0,0,0,31,131,149,297,1015,5350,266,884,5201,DESIGNCD_MISMATCH:551;RAW_DESIGNCD_MISMATCH:551;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:848;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE:5,,Target D10C-A DESIGNCD.
TARGET_DESIGNCD,502,2,2,0,0,0,12,24.5,37,63,135,207,51,110.5,170,DESIGNCD_MISMATCH:852;RAW_DESIGNCD_MISMATCH:852;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:820;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE:2,,Target D10C-A DESIGNCD.
TARGET_INTENSITY,1,22,9,13,0,0,2,44,149,63,1526.5,5350,51,1489,5201,DESIGNCD_MISMATCH:73;RAW_DESIGNCD_MISMATCH:73;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:658;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE:9;LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE:13,,Target frozen PLOT intensity.
TARGET_INTENSITY,201,2,2,0,0,0,31,34,37,207,252,297,170,218,266,DESIGNCD_MISMATCH:1330;RAW_DESIGNCD_MISMATCH:1330;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:1640;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE:2,,Target frozen PLOT intensity.
