summary_level,label,n_primary_measurements,n_A,n_B,abs_balance_diff,proportion_A,proportion_B,status
overall,ALL,115725,57920,57805,115,0.50049686757399,0.4995031324260099,PASS
state,AL,4105,2053,2052,1,0.500121802679659,0.49987819732034106,PASS
state,AR,3592,1798,1794,4,0.5005567928730512,0.4994432071269488,PASS
state,AZ,2306,1155,1151,4,0.5008673026886383,0.4991326973113617,PASS
state,CA,3286,1644,1642,2,0.5003043213633597,0.4996956786366403,PASS
state,CO,2697,1350,1347,3,0.5005561735261401,0.4994438264738598,PASS
state,CT,306,154,152,2,0.5032679738562091,0.49673202614379086,PASS
state,DE,122,63,59,4,0.5163934426229508,0.48360655737704916,PASS
state,FL,3089,1546,1543,3,0.5004855940433798,0.4995144059566203,PASS
state,GA,4876,2439,2437,2,0.5002050861361772,0.4997949138638228,PASS
state,IA,608,305,303,2,0.5016447368421053,0.49835526315789475,PASS
state,ID,2564,1284,1280,4,0.500780031201248,0.49921996879875197,PASS
state,IL,1051,527,524,3,0.5014272121788773,0.49857278782112274,PASS
state,IN,981,492,489,3,0.5015290519877675,0.4984709480122324,PASS
state,KS,596,299,297,2,0.5016778523489933,0.4983221476510067,PASS
state,KY,1874,938,936,2,0.5005336179295624,0.4994663820704376,PASS
state,LA,2575,1288,1287,1,0.5001941747572816,0.49980582524271844,PASS
state,MA,533,268,265,3,0.5028142589118199,0.4971857410881801,PASS
state,MD,409,205,204,1,0.5012224938875306,0.49877750611246946,PASS
state,ME,3150,1576,1574,2,0.5003174603174603,0.4996825396825397,PASS
state,MI,4129,2066,2063,3,0.5003632840881569,0.49963671591184305,PASS
state,MN,6317,3160,3157,3,0.5002374544878898,0.4997625455121102,PASS
state,MO,3078,1541,1537,4,0.5006497725795972,0.49935022742040286,PASS
state,MS,4017,2010,2007,3,0.5003734129947722,0.4996265870052278,PASS
state,MT,2499,1251,1248,3,0.5006002400960384,0.49939975990396157,PASS
state,NC,3442,1722,1720,2,0.5002905287623475,0.4997094712376525,PASS
state,ND,203,102,101,1,0.5024630541871922,0.4975369458128079,PASS
state,NE,335,169,166,3,0.5044776119402985,0.4955223880597015,PASS
state,NH,1050,526,524,2,0.5009523809523809,0.4990476190476191,PASS
state,NJ,698,350,348,2,0.501432664756447,0.498567335243553,PASS
state,NM,2194,1098,1096,2,0.5004557885141294,0.4995442114858706,PASS
state,NV,1267,635,632,3,0.5011838989739542,0.4988161010260458,PASS
state,NY,2933,1467,1466,1,0.5001704739174906,0.49982952608250936,PASS
state,OH,1395,698,697,1,0.5003584229390681,0.4996415770609319,PASS
state,OK,1809,905,904,1,0.5002763957987839,0.49972360420121614,PASS
state,OR,6751,3377,3374,3,0.5002221893052881,0.4997778106947119,PASS
state,PA,2896,1449,1447,2,0.5003453038674033,0.49965469613259667,PASS
state,RI,130,67,63,4,0.5153846153846153,0.4846153846153846,PASS
state,SC,2701,1352,1349,3,0.5005553498704184,0.4994446501295816,PASS
state,SD,580,291,289,2,0.5017241379310344,0.4982758620689655,PASS
state,TN,2725,1364,1361,3,0.5005504587155963,0.49944954128440366,PASS
state,TX,6689,3345,3344,1,0.5000747495888772,0.49992525041112273,PASS
state,UT,1841,921,920,1,0.5002715915263444,0.4997284084736556,PASS
state,VA,3350,1676,1674,2,0.5002985074626866,0.49970149253731344,PASS
state,VT,911,457,454,3,0.5016465422612514,0.4983534577387486,PASS
state,WA,3576,1790,1786,4,0.5005592841163311,0.4994407158836689,PASS
state,WI,6171,3086,3085,1,0.5000810241451953,0.4999189758548047,PASS
state,WV,1980,991,989,2,0.5005050505050505,0.4994949494949495,PASS
state,WY,1338,670,668,2,0.5007473841554559,0.4992526158445441,PASS
panel,1,21393,10707,10686,21,0.5004908147524891,0.49950918524751087,PASS
panel,2,22092,11057,11035,22,0.500497917798298,0.49950208220170195,PASS
panel,3,23257,11643,11614,29,0.5006234682031216,0.49937653179687835,PASS
panel,4,26214,13117,13097,20,0.5003814755474174,0.4996185244525826,PASS
panel,5,22769,11396,11373,23,0.5005050726865475,0.4994949273134525,PASS
stratum_balance_distribution,0,,,,0,0.5208333333333334,,PASS
stratum_balance_distribution,1,,,,1,0.4791666666666667,,PASS
