grain_km,total_detection_cells_min,detection_cells_each_fold_min,positive_plots_each_fold_min,us_share_threshold_active,US_share_USCA_min,taxon_scope,n_species_denominator,n_species_remaining,proportion_of_species_remaining,threshold_role
25,0,0,0,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,396,1.0,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,0,0,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,230,0.5808080808080808,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,0,0,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,222,0.5606060606060606,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,0,0,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,209,0.5277777777777778,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,0,0,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,198,0.5,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,0,10,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,257,0.648989898989899,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,0,10,1,0.7,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,170,0.4292929292929293,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,0,10,1,0.8,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,163,0.4116161616161616,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,0,10,1,0.9,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,152,0.3838383838383838,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,0,10,1,0.95,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,142,0.35858585858585856,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
25,0,0,20,0,,FIA_SPECIES_LEVEL_OR_INFRASPECIFIC_RECORDS,396,229,0.5782828282828283,DESCRIPTIVE_FRONTIER_NOT_FINAL_SELECTION
