fia_species_code,scientific_name,grain_km,fold,eligible_plots,qualifying_tree_records,positive_plots,detected_cells_ge1_positive_plot,detected_cells_ge2_positive_plots,detected_cells_ge3_positive_plots,tpa_unadj_available_fraction,obvious_variance_support_failure,positive_plots_per_detected_cell_min,positive_plots_per_detected_cell_q10,positive_plots_per_detected_cell_q25,positive_plots_per_detected_cell_median,positive_plots_per_detected_cell_q75,positive_plots_per_detected_cell_q90,positive_plots_per_detected_cell_max,positive_plots_per_detected_cell_mean
11,Abies amabilis,25,A,57920,6649,523,107,90,72,1.0,0,1,1.0,2.0,4.0,6.5,10.400000000000006,16,4.88785046728972
11,Abies amabilis,25,B,57805,6410,478,108,80,63,1.0,0,1,1.0,1.0,3.5,7.0,9.299999999999997,18,4.425925925925926
11,Abies amabilis,50,A,57920,6649,523,43,37,34,1.0,0,1,1.0,4.5,11.0,18.0,25.0,40,12.162790697674419
11,Abies amabilis,50,B,57805,6410,478,44,36,31,1.0,0,1,1.0,2.0,8.0,16.0,25.10000000000001,35,10.863636363636363
11,Abies amabilis,75,A,57920,6649,523,25,24,20,1.0,0,1,2.0,3.0,14.0,34.0,48.800000000000004,64,20.92
11,Abies amabilis,75,B,57805,6410,478,28,23,19,1.0,0,1,1.0,2.0,7.0,33.5,40.3,56,17.071428571428573
12,Abies balsamea,25,A,57920,27193,3620,637,511,449,1.0,0,1,1.0,2.0,5.0,8.0,12.0,30,5.6828885400313975
12,Abies balsamea,25,B,57805,26408,3566,617,511,437,1.0,0,1,1.0,2.0,5.0,8.0,11.0,27,5.779578606158833
12,Abies balsamea,50,A,57920,27193,3620,219,188,173,1.0,0,1,1.0,3.0,13.0,26.0,38.20000000000002,63,16.529680365296805
12,Abies balsamea,50,B,57805,26408,3566,218,185,171,1.0,0,1,1.0,3.25,12.0,27.0,38.30000000000001,63,16.357798165137616
12,Abies balsamea,75,A,57920,27193,3620,118,106,98,1.0,0,1,1.700000000000001,4.25,21.0,51.5,72.89999999999999,121,30.677966101694917
12,Abies balsamea,75,B,57805,26408,3566,117,105,93,1.0,0,1,1.6000000000000014,4.0,24.0,45.0,76.0,110,30.478632478632477
15,Abies concolor,25,A,57920,8995,927,337,202,132,1.0,0,1,1.0,1.0,2.0,3.0,5.0,14,2.750741839762611
15,Abies concolor,25,B,57805,8853,882,348,187,117,1.0,0,1,1.0,1.0,2.0,3.0,5.0,16,2.5344827586206895
15,Abies concolor,50,A,57920,8995,927,172,121,104,1.0,0,1,1.0,1.0,3.0,6.0,14.0,39,5.3895348837209305
15,Abies concolor,50,B,57805,8853,882,185,115,92,1.0,0,1,1.0,1.0,2.0,6.0,12.599999999999994,42,4.767567567567568
15,Abies concolor,75,A,57920,8995,927,107,79,69,1.0,0,1,1.0,1.0,5.0,11.0,24.80000000000001,67,8.663551401869158
15,Abies concolor,75,B,57805,8853,882,119,82,69,1.0,0,1,1.0,1.0,3.0,8.5,21.0,62,7.411764705882353
16,Abies fraseri,25,A,57920,73,7,6,1,0,1.0,0,1,1.0,1.0,1.0,1.0,1.5,2,1.1666666666666667
16,Abies fraseri,25,B,57805,22,4,4,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
16,Abies fraseri,50,A,57920,73,7,5,1,1,1.0,0,1,1.0,1.0,1.0,1.0,2.2,3,1.4
16,Abies fraseri,50,B,57805,22,4,4,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
16,Abies fraseri,75,A,57920,73,7,5,2,0,1.0,0,1,1.0,1.0,1.0,2.0,2.0,2,1.4
16,Abies fraseri,75,B,57805,22,4,3,1,0,1.0,0,1,1.0,1.0,1.0,1.5,1.8,2,1.3333333333333333
17,Abies grandis,25,A,57920,9262,1159,319,228,170,1.0,0,1,1.0,1.0,3.0,5.0,8.0,17,3.633228840125392
17,Abies grandis,25,B,57805,8974,1113,324,216,165,1.0,0,1,1.0,1.0,3.0,5.0,7.699999999999989,14,3.435185185185185
17,Abies grandis,50,A,57920,9262,1159,130,107,93,1.0,0,1,1.0,2.0,6.0,13.0,19.10000000000001,39,8.915384615384616
17,Abies grandis,50,B,57805,8974,1113,138,114,92,1.0,0,1,1.0,2.0,5.0,11.75,19.299999999999997,44,8.065217391304348
17,Abies grandis,75,A,57920,9262,1159,80,61,57,1.0,0,1,1.0,2.0,7.0,25.25,36.400000000000034,65,14.4875
17,Abies grandis,75,B,57805,8974,1113,86,73,60,1.0,0,1,1.0,2.0,5.0,20.75,35.5,62,12.94186046511628
18,Abies lasiocarpa var. arizonica,25,A,57920,668,104,46,23,16,1.0,0,1,1.0,1.0,1.5,3.75,5.0,6,2.260869565217391
18,Abies lasiocarpa var. arizonica,25,B,57805,913,117,47,29,16,1.0,0,1,1.0,1.0,2.0,3.0,6.0,8,2.4893617021276597
18,Abies lasiocarpa var. arizonica,50,A,57920,668,104,28,14,13,1.0,0,1,1.0,1.0,1.5,5.25,10.0,14,3.7142857142857144
18,Abies lasiocarpa var. arizonica,50,B,57805,913,117,27,19,13,1.0,0,1,1.0,1.0,2.0,6.0,11.400000000000002,15,4.333333333333333
18,Abies lasiocarpa var. arizonica,75,A,57920,668,104,18,13,11,1.0,0,1,1.0,1.25,4.0,6.0,14.900000000000002,22,5.777777777777778
18,Abies lasiocarpa var. arizonica,75,B,57805,913,117,17,13,12,1.0,0,1,1.0,2.0,4.0,6.0,19.0,24,6.882352941176471
19,Abies lasiocarpa,25,A,57920,14721,1530,600,378,237,1.0,0,1,1.0,1.0,2.0,3.0,5.0,12,2.55
19,Abies lasiocarpa,25,B,57805,14765,1578,593,379,249,1.0,0,1,1.0,1.0,2.0,4.0,5.0,14,2.661045531197302
19,Abies lasiocarpa,50,A,57920,14721,1530,265,206,171,1.0,0,1,1.0,2.0,4.0,8.0,13.0,28,5.773584905660377
19,Abies lasiocarpa,50,B,57805,14765,1578,262,200,173,1.0,0,1,1.0,2.0,4.0,9.0,14.0,21,6.022900763358779
19,Abies lasiocarpa,75,A,57920,14721,1530,158,124,114,1.0,0,1,1.0,2.0,6.0,15.0,25.30000000000001,43,9.683544303797468
19,Abies lasiocarpa,75,B,57805,14765,1578,159,132,107,1.0,0,1,1.0,2.0,6.0,16.0,25.200000000000017,38,9.924528301886792
20,Abies magnifica,25,A,57920,1956,142,64,32,18,1.0,0,1,1.0,1.0,1.5,3.0,5.0,8,2.21875
20,Abies magnifica,25,B,57805,1001,96,58,25,9,1.0,0,1,1.0,1.0,1.0,2.0,3.0,5,1.6551724137931034
20,Abies magnifica,50,A,57920,1956,142,33,23,16,1.0,0,1,1.0,1.0,2.0,6.0,10.8,13,4.303030303030303
20,Abies magnifica,50,B,57805,1001,96,31,21,16,1.0,0,1,1.0,1.0,3.0,4.0,6.0,10,3.096774193548387
20,Abies magnifica,75,A,57920,1956,142,21,15,13,1.0,0,1,1.0,1.0,5.0,10.0,16.0,25,6.761904761904762
20,Abies magnifica,75,B,57805,1001,96,21,16,13,1.0,0,1,1.0,2.0,3.0,8.0,10.0,11,4.571428571428571
21,Abies shastensis,25,A,57920,1076,86,33,20,9,1.0,0,1,1.0,1.0,2.0,3.0,5.800000000000001,9,2.606060606060606
21,Abies shastensis,25,B,57805,1215,86,31,18,12,1.0,0,1,1.0,1.0,2.0,4.0,6.0,9,2.774193548387097
21,Abies shastensis,50,A,57920,1076,86,15,12,11,1.0,0,1,1.0,2.5,4.0,8.5,12.6,16,5.733333333333333
21,Abies shastensis,50,B,57805,1215,86,15,11,11,1.0,0,1,1.0,2.0,3.0,8.0,12.2,19,5.733333333333333
21,Abies shastensis,75,A,57920,1076,86,10,9,7,1.0,0,1,1.9,2.5,5.0,13.5,21.099999999999998,22,8.6
21,Abies shastensis,75,B,57805,1215,86,11,7,6,1.0,0,1,1.0,1.0,5.0,13.5,18.0,23,7.818181818181818
22,Abies procera,25,A,57920,1001,173,55,35,29,1.0,0,1,1.0,1.0,3.0,4.0,6.600000000000001,9,3.1454545454545455
22,Abies procera,25,B,57805,1115,178,63,37,27,1.0,0,1,1.0,1.0,2.0,4.0,5.800000000000004,10,2.8253968253968256
22,Abies procera,50,A,57920,1001,173,29,19,17,1.0,0,1,1.0,1.0,4.0,7.0,14.399999999999999,21,5.9655172413793105
22,Abies procera,50,B,57805,1115,178,34,22,16,1.0,0,1,1.0,1.0,2.0,7.75,12.799999999999997,24,5.235294117647059
22,Abies procera,75,A,57920,1001,173,17,11,10,1.0,0,1,1.0,1.0,6.0,24.0,25.0,31,10.176470588235293
22,Abies procera,75,B,57805,1115,178,21,13,9,1.0,0,1,1.0,1.0,2.0,19.0,24.0,30,8.476190476190476
41,Chamaecyparis lawsoniana,25,A,57920,249,47,21,12,7,1.0,0,1,1.0,1.0,2.0,3.0,5.0,6,2.238095238095238
41,Chamaecyparis lawsoniana,25,B,57805,189,43,20,8,4,1.0,0,1,1.0,1.0,1.0,2.0,4.0,11,2.15
41,Chamaecyparis lawsoniana,50,A,57920,249,47,12,8,6,1.0,0,1,1.0,1.0,3.0,6.0,6.0,12,3.9166666666666665
41,Chamaecyparis lawsoniana,50,B,57805,189,43,10,6,6,1.0,0,1,1.0,1.0,3.0,4.0,8.899999999999997,17,4.3
41,Chamaecyparis lawsoniana,75,A,57920,249,47,10,6,5,1.0,0,1,1.0,1.0,4.0,6.0,9.499999999999998,14,4.7
41,Chamaecyparis lawsoniana,75,B,57805,189,43,7,4,4,1.0,0,1,1.0,1.0,5.0,7.5,13.400000000000004,20,6.142857142857143
42,Chamaecyparis nootkatensis,25,A,57920,354,54,32,14,5,1.0,0,1,1.0,1.0,1.0,2.0,3.0,4,1.6875
42,Chamaecyparis nootkatensis,25,B,57805,311,60,29,14,11,1.0,0,1,1.0,1.0,1.0,3.0,3.1999999999999993,6,2.0689655172413794
42,Chamaecyparis nootkatensis,50,A,57920,354,54,18,10,9,1.0,0,1,1.0,1.0,2.5,4.5,6.600000000000001,8,3.0
42,Chamaecyparis nootkatensis,50,B,57805,311,60,19,8,8,1.0,0,1,1.0,1.0,1.0,5.0,7.399999999999999,11,3.1578947368421053
42,Chamaecyparis nootkatensis,75,A,57920,354,54,15,10,7,1.0,0,1,1.0,1.0,2.0,5.0,7.799999999999999,11,3.6
42,Chamaecyparis nootkatensis,75,B,57805,311,60,12,7,6,1.0,0,1,1.0,1.0,2.5,7.75,10.9,17,5.0
43,Chamaecyparis thyoides,25,A,57920,644,58,41,10,4,1.0,0,1,1.0,1.0,1.0,1.0,2.0,4,1.4146341463414633
43,Chamaecyparis thyoides,25,B,57805,440,50,34,11,1,1.0,0,1,1.0,1.0,1.0,2.0,2.0,7,1.4705882352941178
43,Chamaecyparis thyoides,50,A,57920,644,58,31,12,6,1.0,0,1,1.0,1.0,1.0,2.0,4.0,6,1.8709677419354838
43,Chamaecyparis thyoides,50,B,57805,440,50,27,8,4,1.0,0,1,1.0,1.0,1.0,2.0,4.0,11,1.8518518518518519
43,Chamaecyparis thyoides,75,A,57920,644,58,23,11,7,1.0,0,1,1.0,1.0,1.0,3.0,5.0,9,2.5217391304347827
43,Chamaecyparis thyoides,75,B,57805,440,50,22,11,4,1.0,0,1,1.0,1.0,1.5,2.0,3.900000000000002,12,2.272727272727273
51,Cupressus arizonica,25,A,57920,2,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
51,Cupressus arizonica,25,B,57805,26,4,4,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
51,Cupressus arizonica,50,A,57920,2,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
51,Cupressus arizonica,50,B,57805,26,4,4,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
51,Cupressus arizonica,75,A,57920,2,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
51,Cupressus arizonica,75,B,57805,26,4,4,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
52,Cupressus bakeri,25,A,57920,11,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
52,Cupressus bakeri,25,B,57805,0,0,0,0,0,1.0,1,,,,,,,,
52,Cupressus bakeri,50,A,57920,11,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
52,Cupressus bakeri,50,B,57805,0,0,0,0,0,1.0,1,,,,,,,,
52,Cupressus bakeri,75,A,57920,11,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
52,Cupressus bakeri,75,B,57805,0,0,0,0,0,1.0,1,,,,,,,,
54,Cupressus macrocarpa,25,A,57920,4,2,2,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
54,Cupressus macrocarpa,25,B,57805,0,0,0,0,0,1.0,1,,,,,,,,
54,Cupressus macrocarpa,50,A,57920,4,2,2,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
54,Cupressus macrocarpa,50,B,57805,0,0,0,0,0,1.0,1,,,,,,,,
54,Cupressus macrocarpa,75,A,57920,4,2,2,0,0,1.0,0,1,1.0,1.0,1.0,1.0,1.0,1,1.0
54,Cupressus macrocarpa,75,B,57805,0,0,0,0,0,1.0,1,,,,,,,,
55,Cupressus sargentii,25,A,57920,4,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
55,Cupressus sargentii,25,B,57805,20,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
55,Cupressus sargentii,50,A,57920,4,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
55,Cupressus sargentii,50,B,57805,20,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
55,Cupressus sargentii,75,A,57920,4,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
55,Cupressus sargentii,75,B,57805,20,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1,1.0
58,Juniperus pinchotii,25,A,57920,1680,269,132,67,36,1.0,0,1,1.0,1.0,2.0,3.0,4.0,9,2.037878787878788
58,Juniperus pinchotii,25,B,57805,1637,267,141,65,32,1.0,0,1,1.0,1.0,1.0,2.0,4.0,7,1.8936170212765957
58,Juniperus pinchotii,50,A,57920,1680,269,63,43,30,1.0,0,1,1.0,1.0,2.0,6.5,11.0,17,4.26984126984127
58,Juniperus pinchotii,50,B,57805,1637,267,65,44,36,1.0,0,1,1.0,1.0,3.0,6.0,8.600000000000001,17,4.107692307692307
58,Juniperus pinchotii,75,A,57920,1680,269,39,25,22,1.0,0,1,1.0,1.0,4.0,11.0,16.60000000000001,29,6.897435897435898
58,Juniperus pinchotii,75,B,57805,1637,267,40,29,27,1.0,0,1,1.0,1.0,4.0,10.5,16.1,22,6.675
59,Juniperus coahuilensis,25,A,57920,501,117,80,22,10,1.0,0,1,1.0,1.0,1.0,2.0,3.0,5,1.4625
59,Juniperus coahuilensis,25,B,57805,557,110,78,17,7,1.0,0,1,1.0,1.0,1.0,1.0,2.0,8,1.4102564102564104
