fia_species_code,scientific_name,USGS_mapping_type,Mexico_or_global_extension_status,queue_reason,external_search_run,mainline_action_required
11,Abies amabilis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
12,Abies balsamea,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
15,Abies concolor,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
16,Abies fraseri,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
17,Abies grandis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
18,Abies lasiocarpa var. arizonica,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
19,Abies lasiocarpa,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
20,Abies magnifica,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
21,Abies shastensis,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
22,Abies procera,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
41,Chamaecyparis lawsoniana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
42,Chamaecyparis nootkatensis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
43,Chamaecyparis thyoides,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
51,Cupressus arizonica,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
52,Cupressus bakeri,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
54,Cupressus macrocarpa,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
55,Cupressus sargentii,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
58,Juniperus pinchotii,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
59,Juniperus coahuilensis,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
60,Juniperus flaccida,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
61,Juniperus ashei,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
62,Juniperus californica,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
63,Juniperus deppeana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
64,Juniperus occidentalis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
65,Juniperus osteosperma,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
66,Juniperus scopulorum,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
67,Juniperus virginiana var. silicicola,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
68,Juniperus virginiana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
69,Juniperus monosperma,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
70,Larix spp.,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
71,Larix laricina,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
72,Larix lyallii,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
73,Larix occidentalis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
81,Calocedrus decurrens,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
91,Picea abies,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
92,Picea breweriana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
93,Picea engelmannii,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
94,Picea glauca,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
95,Picea mariana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
96,Picea pungens,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
97,Picea rubens,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
