fia_species_code,scientific_name,non_species_level_flag,insufficient_sampling_25,insufficient_sampling_50,insufficient_sampling_75,severe_AB_imbalance_flag,low_detection_information_flag,USGS_unresolved_flag,Canada_truncation_flag,geometry_truncation_risk_flag,Mexico_global_unknown_flag,introduced_or_uncertain_status_flag_if_known,protocol_incompatibility_flag_if_known,flag_status,flag_rule_note
11,Abies amabilis,0,0,0,0,0,0,0,1,1,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
12,Abies balsamea,0,0,0,0,0,0,0,1,1,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
15,Abies concolor,0,0,0,0,0,0,0,0,0,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
16,Abies fraseri,0,1,1,1,0,1,0,0,0,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
17,Abies grandis,0,0,0,0,0,0,0,1,1,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
18,Abies lasiocarpa var. arizonica,0,0,0,0,0,0,1,,,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
19,Abies lasiocarpa,0,0,0,0,0,0,0,1,1,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
20,Abies magnifica,0,0,0,0,0,0,0,0,0,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
21,Abies shastensis,0,0,0,0,0,0,1,,,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
22,Abies procera,0,0,0,0,0,0,0,0,0,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
41,Chamaecyparis lawsoniana,0,0,0,0,0,0,0,0,0,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
42,Chamaecyparis nootkatensis,0,0,0,0,0,0,0,1,1,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
43,Chamaecyparis thyoides,0,0,0,0,0,0,0,0,0,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
51,Cupressus arizonica,0,1,1,1,0,1,0,0,0,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
52,Cupressus bakeri,0,1,1,1,1,1,1,,,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
54,Cupressus macrocarpa,0,1,1,1,1,1,1,,,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,DESCRIPTIVE_DIAGNOSTIC_NOT_EXCLUSION,sampling flags use pre-specified lowest frontier nodes (5 detected cells per fold; 10 positive plots per fold); severe imbalance means one fold has zero detected cells while the other is positive
