check_id,scope,observed,expected,status,note
required_files,package,24,24,PASS,[]
all_status_pass::INPUT_AUDIT.csv,forced_gate,0,0,PASS,
all_status_pass::D04_CONTINUITY_AUDIT.csv,forced_gate,0,0,PASS,
all_status_pass::USGS_SEMANTIC_EQUIVALENCE_AUDIT.csv,forced_gate,0,0,PASS,
usgs_species_pa_count,USGS,690,690,PASS,
usgs_species_pa_mismatches,USGS,0,0,PASS,
lineage_status,FIA,PASS,PASS,PASS,
all_primary_have_coordinates,FIA,115725,115725,PASS,
ab_strata_status,AB,0,0,PASS,
ab_no_lineage_leakage,AB,0,0,PASS,
ab_no_duplicate_primary,AB,0,0,PASS,
ab_within_stratum_balance,AB,1,<=1,PASS,
grid_three_frozen_grains,grid,"[25, 50, 75]","[25,50,75]",PASS,
grid_parent_mapping,grid,0,0,PASS,
grid_fixed_origin,grid,"[('0.0', '0.0')]","[(0,0)]",PASS,
grid_primary_count,grid,[115725],115725,PASS,
species_grain_complete,species_x_grain,rows=1188 unique=1188,1188,PASS,
species_grain_fixed_grains,species_x_grain,396,396,PASS,
species_grain_arithmetic,species_x_grain,0,0,PASS,
fold_table_complete,fold,rows=2376 unique=2376,2376,PASS,
fold_labels,fold,"['A', 'B']","['A','B']",PASS,
crosswalk_complete,taxonomy,396,396,PASS,
crosswalk_partition,taxonomy,exact=269; unresolved=127,396,PASS,
range_rows_exact_only,USGS_range,269,269,PASS,
range_cell_partition,USGS_range,0,0,PASS,
frontier_cartesian_complete,frontier,4860,4860,PASS,3 grains x 9 total-cell nodes x 6 per-fold-cell nodes x 6 per-fold-plot nodes x 5 US-share states
frontier_monotonic_total_cells,frontier,0,0,PASS,
trace_species_count,trace,12,12,PASS,
trace_rows_match_selection,trace,0,0,PASS,
trace_stratum_target,trace,0,0,PASS,Target is ten deterministic positive and ten deterministic negative plots when available
outcome_blind_status,outcome_blind,status=PASS; true_fields=[]; column_hits=[],PASS/no prohibited field,PASS,
