fia_species_code,fia_name_raw,scientific_name,common_name,taxon_rank,species_level_flag,native_status_if_available,woodland_drc_flag,grain_km,n_unique_plot_lineages_total,n_detection_plots_total,qualifying_tree_records,n_sampled_cells_total,n_detection_cells_total,n_plots_A,n_plots_B,n_detection_plots_A,n_detection_plots_B,n_sampled_cells_A,n_sampled_cells_B,n_detection_cells_A,n_detection_cells_B,n_detection_cells_both_folds,n_detection_cells_A_only,n_detection_cells_B_only,cell_detection_IoU_AB,detection_cell_count_ratio_AB,detection_cell_count_ratio_A_over_B,detection_plot_count_ratio_AB,detection_plot_count_ratio_A_over_B,fraction_detection_cells_one_positive_plot,n_connected_components_detection_support,largest_component_fraction,spatial_span_km,n_connected_components_detection_support_A,largest_component_fraction_A,spatial_span_km_A,n_connected_components_detection_support_B,largest_component_fraction_B,spatial_span_km_B,geometry_information_flag,tpa_unadj_available_fraction,formal_expansion_metadata_status,obvious_variance_support_failure,hard_detection_is_not_latent_support_truth,positive_plots_per_detected_cell_min,positive_plots_per_detected_cell_q10,positive_plots_per_detected_cell_q25,positive_plots_per_detected_cell_median,positive_plots_per_detected_cell_q75,positive_plots_per_detected_cell_q90,positive_plots_per_detected_cell_max,positive_plots_per_detected_cell_mean,tree_records_per_detected_cell_min,tree_records_per_detected_cell_q10,tree_records_per_detected_cell_q25,tree_records_per_detected_cell_median,tree_records_per_detected_cell_q75,tree_records_per_detected_cell_q90,tree_records_per_detected_cell_max,tree_records_per_detected_cell_mean
11,Abies amabilis,Abies amabilis,Pacific silver fir,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,25,115725,1001,13059,10051,120,57920,57805,523,478,9235,9171,107,108,95,12,13,0.7916666666666666,0.9907407407407407,0.9907407407407407,0.9139579349904398,1.094142259414226,0.15,6,0.8,816.2413858657254,4,0.822429906542056,694.6221994724903,10,0.7777777777777778,816.2413858657254,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,3.0,7.0,12.25,17.10000000000001,32,8.341666666666667,1,5.0,24.75,69.5,152.0,281.2,489,108.825
11,Abies amabilis,Abies amabilis,Pacific silver fir,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,50,115725,1001,13059,2970,47,57920,57805,523,478,2846,2830,43,44,40,3,4,0.851063829787234,0.9772727272727273,0.9772727272727273,0.9139579349904398,1.094142259414226,0.10638297872340426,4,0.7659574468085106,782.6237921249265,3,0.7906976744186046,694.6221994724903,5,0.7727272727272727,782.6237921249265,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.6000000000000005,4.0,17.0,34.0,45.599999999999994,75,21.29787234042553,1,3.8000000000000016,24.5,167.0,467.0,638.0,1073,277.8510638297872
11,Abies amabilis,Abies amabilis,Pacific silver fir,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,75,115725,1001,13059,1441,28,57920,57805,523,478,1411,1397,25,28,25,0,3,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9139579349904398,1.094142259414226,0.07142857142857142,1,1.0,772.172260574025,1,1.0,670.820393249937,1,1.0,772.172260574025,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,2.0,4.75,17.0,67.0,89.1,120,35.75,1,9.000000000000002,25.5,195.5,797.25,1073.0000000000002,1765,466.39285714285717
12,Abies balsamea,Abies balsamea,balsam fir,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,25,115725,7186,53601,10051,706,57920,57805,3620,3566,9235,9171,637,617,548,89,69,0.7762039660056658,0.9686028257456829,1.032414910858995,0.9850828729281768,1.0151430173864273,0.15722379603399433,23,0.5750708215297451,2504.495957273639,22,0.5620094191522763,2387.9907872519107,23,0.5591572123176661,2504.495957273639,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,3.0,8.0,16.0,21.0,51,10.178470254957507,1,3.0,15.0,46.5,104.0,189.5,1034,75.92209631728045
12,Abies balsamea,Abies balsamea,balsam fir,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,50,115725,7186,53601,2970,237,57920,57805,3620,3566,2846,2830,219,218,200,19,18,0.8438818565400844,0.9954337899543378,1.0045871559633028,0.9850828729281768,1.0151430173864273,0.12236286919831224,10,0.5738396624472574,2504.495957273639,7,0.5844748858447488,2387.9907872519107,9,0.5688073394495413,2504.495957273639,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,5.0,20.0,51.0,74.4,119,30.320675105485233,1,3.0,22.0,110.0,336.0,625.8000000000001,1921,226.16455696202533
12,Abies balsamea,Abies balsamea,balsam fir,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,75,115725,7186,53601,1441,130,57920,57805,3620,3566,1411,1397,118,117,105,13,12,0.8076923076923077,0.9915254237288136,1.0085470085470085,0.9850828729281768,1.0151430173864273,0.13076923076923078,5,0.5615384615384615,2515.5764746872633,4,0.5847457627118644,2396.4817963005685,5,0.5555555555555556,2515.5764746872633,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,5.0,32.5,86.75,146.50000000000006,231,55.276923076923076,1,4.0,21.5,197.0,585.25,1162.4000000000005,3414,412.31538461538463
15,Abies concolor,Abies concolor,white fir,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,25,115725,1809,17848,10051,444,57920,57805,927,882,9235,9171,337,348,241,96,107,0.5427927927927928,0.9683908045977011,0.9683908045977011,0.9514563106796117,1.0510204081632653,0.3355855855855856,64,0.48423423423423423,4461.572032367068,64,0.5192878338278932,3611.526685489116,72,0.4511494252873563,4461.572032367068,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,1.0,2.5,5.0,10.0,30,4.074324324324325,1,2.0,5.75,19.0,52.25,100.69999999999999,462,40.1981981981982
15,Abies concolor,Abies concolor,white fir,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,50,115725,1809,17848,2970,216,57920,57805,927,882,2846,2830,172,185,141,31,44,0.6527777777777778,0.9297297297297298,0.9297297297297298,0.9514563106796117,1.0510204081632653,0.25462962962962965,26,0.4398148148148148,4438.468204234429,20,0.5174418604651163,3600.694377477767,25,0.4594594594594595,4438.468204234429,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,1.0,4.0,10.0,23.0,81,8.375,1,2.0,8.0,29.0,79.25,247.5,987,82.62962962962963
15,Abies concolor,Abies concolor,white fir,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,75,115725,1809,17848,1441,137,57920,57805,927,882,1411,1397,107,119,89,18,30,0.6496350364963503,0.8991596638655462,0.8991596638655462,0.9514563106796117,1.0510204081632653,0.2846715328467153,15,0.40145985401459855,4471.157568236664,12,0.4672897196261682,3589.0458342016195,14,0.42857142857142855,4471.157568236664,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,1.0,5.0,15.0,38.400000000000006,128,13.204379562043796,1,2.6000000000000014,7.0,33.0,113.0,463.00000000000006,1476,130.27737226277372
16,Abies fraseri,Abies fraseri,Fraser fir,species,1,NA_NOT_AVAILABLE_IN_FROZEN_REF_SPECIES,0,25,115725,11,95,10051,10,57920,57805,7,4,9235,9171,6,4,0,6,4,0.0,0.6666666666666666,1.5,0.5714285714285714,1.75,0.9,6,0.4,1782.0283387196735,5,0.3333333333333333,1312.4404748406687,3,0.5,1754.458605952275,CONTINUOUS_METRICS_ONLY_NO_FINAL_RULE,1.0,AVAILABLE_IN_FIADB_NOT_APPLIED; EVALID_LINKAGE_REQUIRED_FOR_FORMAL_ESTIMATION,0,1,1,1.0,1.0,1.0,1.0,1.0999999999999996,2,1.1,1,1.0,2.0,7.0,12.5,19.499999999999993,33,9.5
