fia_species_code,fia_name_raw,fia_scientific_name,taxon_rank,species_level_flag,usgs_original_map_name,usgs_accepted_name,mapping_type,official_accepted_original_crosswalk_available,note
11,Abies amabilis,Abies amabilis,species,1,Abies amabilis,Abies amabilis,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
12,Abies balsamea,Abies balsamea,species,1,Abies balsamea,Abies balsamea,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
15,Abies concolor,Abies concolor,species,1,Abies concolor,Abies concolor,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
16,Abies fraseri,Abies fraseri,species,1,Abies fraseri,Abies fraseri,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
17,Abies grandis,Abies grandis,species,1,Abies grandis,Abies grandis,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
18,Abies lasiocarpa var. arizonica,Abies lasiocarpa var. arizonica,infraspecies,1,,,unresolved,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
19,Abies lasiocarpa,Abies lasiocarpa,species,1,Abies lasiocarpa,Abies lasiocarpa,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
20,Abies magnifica,Abies magnifica,species,1,Abies magnifica,Abies magnifica,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
21,Abies shastensis,Abies shastensis,species,1,,,unresolved,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
22,Abies procera,Abies procera,species,1,Abies procera,Abies procera,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
41,Chamaecyparis lawsoniana,Chamaecyparis lawsoniana,species,1,Chamaecyparis lawsoniana,Chamaecyparis lawsoniana,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
42,Chamaecyparis nootkatensis,Chamaecyparis nootkatensis,species,1,Chamaecyparis nootkatensis,Chamaecyparis nootkatensis,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
43,Chamaecyparis thyoides,Chamaecyparis thyoides,species,1,Chamaecyparis thyoides,Chamaecyparis thyoides,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
51,Cupressus arizonica,Cupressus arizonica,species,1,Cupressus arizonica,Cupressus arizonica,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
52,Cupressus bakeri,Cupressus bakeri,species,1,,,unresolved,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
54,Cupressus macrocarpa,Cupressus macrocarpa,species,1,,,unresolved,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
55,Cupressus sargentii,Cupressus sargentii,species,1,Cupressus sargentii,Cupressus sargentii,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
58,Juniperus pinchotii,Juniperus pinchotii,species,1,Juniperus pinchotii,Juniperus pinchotii,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
59,Juniperus coahuilensis,Juniperus coahuilensis,species,1,,,unresolved,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
60,Juniperus flaccida,Juniperus flaccida,species,1,,,unresolved,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
61,Juniperus ashei,Juniperus ashei,species,1,Juniperus ashei,Juniperus ashei,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
62,Juniperus californica,Juniperus californica,species,1,Juniperus californica,Juniperus californica,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
63,Juniperus deppeana,Juniperus deppeana,species,1,Juniperus deppeana,Juniperus deppeana,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
64,Juniperus occidentalis,Juniperus occidentalis,species,1,Juniperus occidentalis,Juniperus occidentalis,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
65,Juniperus osteosperma,Juniperus osteosperma,species,1,Juniperus osteosperma,Juniperus osteosperma,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
66,Juniperus scopulorum,Juniperus scopulorum,species,1,Juniperus scopulorum,Juniperus scopulorum,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
67,Juniperus virginiana var. silicicola,Juniperus virginiana var. silicicola,infraspecies,1,,,unresolved,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
68,Juniperus virginiana,Juniperus virginiana,species,1,Juniperus virginiana,Juniperus virginiana,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
69,Juniperus monosperma,Juniperus monosperma,species,1,Juniperus monosperma,Juniperus monosperma,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
70,Larix spp.,Larix spp.,species,1,,,unresolved,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
71,Larix laricina,Larix laricina,species,1,Larix laricina,Larix laricina,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
72,Larix lyallii,Larix lyallii,species,1,Larix lyallii,Larix lyallii,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
73,Larix occidentalis,Larix occidentalis,species,1,Larix occidentalis,Larix occidentalis,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
81,Calocedrus decurrens,Calocedrus decurrens,species,1,,,unresolved,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
91,Picea abies,Picea abies,species,1,,,unresolved,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
92,Picea breweriana,Picea breweriana,species,1,Picea breweriana,Picea breweriana,exact,0,No fuzzy matching. Frozen local snapshot lacks the separate official 2015 accepted-name table; non-exact names remain unresolved.
