detection_band,fia_species_code,species,physical_plot_lineage_ID,selected_primary_measurement_ID,year,state,P2PANEL,AB_fold,projected_x_m,projected_y_m,cell_25km,cell_50km,cell_75km,species_detected,qualifying_tree_records_for_species,trace_selection_rule
HIGH_DETECTION,316,Acer rubrum,74340699010538,1097572185290487,2023,RI,2,B,2001170.5283814978,2309406.577136581,25km_80_92,50km_40_46,75km_26_30,1,37,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,247105163010661,511232313126144,2019,PA,4,A,1384313.6086481237,2203651.9661087235,25km_55_88,50km_27_44,75km_18_29,1,3,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,65155927010538,1191496003290487,2023,NY,1,A,1714953.7728714552,2431051.984855024,25km_68_97,50km_34_48,75km_22_32,1,6,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,56939559010478,635664047126144,2019,GA,1,B,1093822.5056180758,1155403.8308300972,25km_43_46,50km_21_23,75km_14_15,1,3,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,15723229020004,610575569126144,2020,MI,5,A,815426.8272646178,2338485.6601592125,25km_32_93,50km_16_46,75km_10_31,1,2,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,167152504010854,946038141290487,2023,TN,5,A,1239855.457567426,1587036.749329836,25km_49_63,50km_24_31,75km_16_21,1,14,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,259204226010854,480977024489998,2018,VA,5,B,1280534.3831417654,1613578.4139394015,25km_51_64,50km_25_32,75km_17_21,1,8,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,55649889010661,451158216489998,2018,MI,3,A,835015.5028108662,2189473.8107500523,25km_33_87,50km_16_43,75km_11_29,1,1,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,54943863010661,375683670489998,2017,MI,3,A,559129.1457602817,2613922.7274488686,25km_22_104,50km_11_52,75km_7_34,1,1,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,170072691020004,815198882290487,2022,MI,1,A,520771.40296347986,2650852.116632105,25km_20_106,50km_10_53,75km_6_35,1,1,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,107514985010478,297165696489998,2017,TX,2,B,-446495.90374097624,771610.6474831086,25km_-18_30,50km_-9_15,75km_-6_10,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,3675139010690,667890081126144,2023,CO,5,A,-879017.3666515007,1857752.426918121,25km_-36_74,50km_-18_37,75km_-12_24,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,65895901010661,821614149290487,2022,MN,4,B,206435.2287787898,2753992.502853889,25km_8_110,50km_4_55,75km_2_36,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,40219678010497,645305658126144,2021,OR,2,A,-1921824.4836699413,2665863.326144251,25km_-77_106,50km_-39_53,75km_-26_35,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,65405571010661,719404119290487,2021,IA,1,A,192822.7783002969,2028528.6720992625,25km_7_81,50km_3_40,75km_2_27,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,65427621010661,721848320290487,2021,MO,1,B,492715.22989083565,1647538.750929471,25km_19_65,50km_9_32,75km_6_21,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,74752455010478,495155462126144,2019,KY,3,A,797668.477130243,1574769.5357826632,25km_31_62,50km_15_31,75km_10_20,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,750087364290487,750087364290487,2022,CA,3,A,-2035844.7213306814,2275680.697990251,25km_-82_91,50km_-41_45,75km_-28_30,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,52788327010538,606237525126144,2020,ME,2,A,2058425.916814822,2664340.5816639867,25km_82_106,50km_41_53,75km_27_35,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,316,Acer rubrum,70102031010661,602591068126144,2020,ND,5,A,-161506.50442070875,2887681.7645194205,25km_-7_115,50km_-4_57,75km_-3_38,0,0,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,61355945010478,635664624126144,2019,GA,1,A,1341424.9130311986,1120962.395284513,25km_53_44,50km_26_22,75km_17_14,1,1,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,17580623010478,545869694126144,2020,TX,1,A,101231.05410300428,1136627.2044884842,25km_4_45,50km_2_22,75km_1_15,1,5,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
HIGH_DETECTION,131,Pinus taeda,29972201010478,523738468126144,2019,NC,2,B,1525267.073997241,1494239.4984966014,25km_61_59,50km_30_29,75km_20_19,1,12,lowest SHA256(TRACE|SPCD|CN) within positive/negative strata
