fia_species_code,FIA_name,USGS_original_map_name,USGS_accepted_name,mapping_type,n_US_cells,n_CONUS_cells,n_Canada_cells,n_US_plus_Canada_cells,US_share_USCA,CONUS_share_USCA,Canada_extension_flag,USGS_full_support_components,US_only_support_components,CONUS_only_support_components,full_vs_US_component_change,full_vs_CONUS_component_change,full_largest_component_fraction,US_largest_component_fraction,CONUS_largest_component_fraction,full_vs_US_largest_component_fraction_change,full_vs_US_cell_loss,full_vs_US_cell_loss_fraction,full_span_km,US_span_km,CONUS_span_km,full_vs_US_span_change_km,US_span_fraction_retained,Mexico_or_global_extension_status,notes
11,Abies amabilis,Abies amabilis,Abies amabilis,exact,83,78,179,262,0.31679389312977096,0.29770992366412213,1,12,5,3,-7,-9,0.6450381679389313,0.5421686746987951,0.5769230769230769,-0.10286949324013617,179,0.683206106870229,1559.0461827668864,1552.4174696260025,670.820393249937,-6.628713140883974,0.9957482252840517,NOT_ASSESSED,Official CSV is primary. Components use frozen 4-neighbor grid adjacency; span is bounding-box diagonal. US includes Alaska; CONUS is also reported separately.
12,Abies balsamea,Abies balsamea,Abies balsamea,exact,688,688,4256,4944,0.13915857605177995,0.13915857605177995,1,35,24,24,-11,-11,0.9336569579288025,0.4883720930232558,0.4883720930232558,-0.44528486490554675,4256,0.86084142394822,4682.413907377262,2384.585917932084,2384.585917932084,-2297.827989445178,0.509264231035857,NOT_ASSESSED,Official CSV is primary. Components use frozen 4-neighbor grid adjacency; span is bounding-box diagonal. US includes Alaska; CONUS is also reported separately.
15,Abies concolor,Abies concolor,Abies concolor,exact,261,261,0,261,1.0,1.0,0,62,62,62,0,0,0.31800766283524906,0.31800766283524906,0.31800766283524906,0.0,0,0.0,2086.2646045025067,2086.2646045025067,2086.2646045025067,0.0,1.0,NOT_ASSESSED,Official CSV is primary. Components use frozen 4-neighbor grid adjacency; span is bounding-box diagonal. US includes Alaska; CONUS is also reported separately.
16,Abies fraseri,Abies fraseri,Abies fraseri,exact,3,3,0,3,1.0,1.0,0,3,3,3,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.0,141.4213562373095,141.4213562373095,141.4213562373095,0.0,1.0,NOT_ASSESSED,Official CSV is primary. Components use frozen 4-neighbor grid adjacency; span is bounding-box diagonal. US includes Alaska; CONUS is also reported separately.
17,Abies grandis,Abies grandis,Abies grandis,exact,305,305,40,345,0.8840579710144928,0.8840579710144928,1,36,29,29,-7,-7,0.5391304347826087,0.5836065573770491,0.5836065573770491,0.04447612259444045,40,0.11594202898550725,1600.7810593582121,1450.0,1450.0,-150.78105935821213,0.9058078189539152,NOT_ASSESSED,Official CSV is primary. Components use frozen 4-neighbor grid adjacency; span is bounding-box diagonal. US includes Alaska; CONUS is also reported separately.
19,Abies lasiocarpa,Abies lasiocarpa,Abies lasiocarpa,exact,517,513,1334,1851,0.2793084819016748,0.2771474878444084,1,79,75,71,-4,-8,0.833063209076175,0.4119922630560928,0.4152046783625731,-0.4210709460200822,1334,0.7206915180983252,4108.603777440701,3534.1194094144585,2343.608329051593,-574.4843680262429,0.8601752811549777,NOT_ASSESSED,Official CSV is primary. Components use frozen 4-neighbor grid adjacency; span is bounding-box diagonal. US includes Alaska; CONUS is also reported separately.
20,Abies magnifica,Abies magnifica,Abies magnifica,exact,45,45,0,45,1.0,1.0,0,13,13,13,0,0,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.0,0,0.0,869.6263565463044,869.6263565463044,869.6263565463044,0.0,1.0,NOT_ASSESSED,Official CSV is primary. Components use frozen 4-neighbor grid adjacency; span is bounding-box diagonal. US includes Alaska; CONUS is also reported separately.
22,Abies procera,Abies procera,Abies procera,exact,48,48,0,48,1.0,1.0,0,12,12,12,0,0,0.25,0.25,0.25,0.0,0,0.0,651.9202405202649,651.9202405202649,651.9202405202649,0.0,1.0,NOT_ASSESSED,Official CSV is primary. Components use frozen 4-neighbor grid adjacency; span is bounding-box diagonal. US includes Alaska; CONUS is also reported separately.
41,Chamaecyparis lawsoniana,Chamaecyparis lawsoniana,Chamaecyparis lawsoniana,exact,21,21,0,21,1.0,1.0,0,2,2,2,0,0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0,0.0,292.61749776799064,292.61749776799064,292.61749776799064,0.0,1.0,NOT_ASSESSED,Official CSV is primary. Components use frozen 4-neighbor grid adjacency; span is bounding-box diagonal. US includes Alaska; CONUS is also reported separately.
42,Chamaecyparis nootkatensis,Chamaecyparis nootkatensis,Chamaecyparis nootkatensis,exact,130,66,180,310,0.41935483870967744,0.2129032258064516,1,34,31,9,-3,-25,0.6612903225806451,0.16923076923076924,0.3333333333333333,-0.4920595533498759,180,0.5806451612903226,2832.9534058999275,2751.363298439521,850.0,-81.59010746040667,0.9711996295842753,NOT_ASSESSED,Official CSV is primary. Components use frozen 4-neighbor grid adjacency; span is bounding-box diagonal. US includes Alaska; CONUS is also reported separately.
