summary_level,dimension_1,dimension_2,dimension_3,legal_opportunity_class,classification_status,count,denominator,fraction,provenance_class
ALL,ALL,,,DIRECT_FIELD_OPPORTUNITY_ALL_FOUR_SAMPLED_SPLIT_FRAME,FULLY_CLASSIFIED,17185,338619,0.05075025323446115,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
ALL,ALL,,,DIRECT_FIELD_OPPORTUNITY_PARTIAL_ELEMENTS_SPLIT_FRAME,FULLY_CLASSIFIED,2393,338619,0.007066939539718681,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
ALL,ALL,,,NO_DIRECT_OPPORTUNITY_PLOT_STATUS_3,FULLY_CLASSIFIED,21,338619,6.201660273050243e-05,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
ALL,ALL,,,NO_Q1_FOREST_OPPORTUNITY_PLOT_STATUS_2,FULLY_CLASSIFIED,19457,338619,0.057459859015589795,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
ALL,ALL,,,REMOTE_INFORMATION_NO_DIRECT_TREE_OPPORTUNITY,FULLY_CLASSIFIED,180653,338619,0.5334993015749264,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
ALL,ALL,,,UNRESOLVED_DIAMETER_FRAME_NO_POSITIVE_BREAKPOINT,EXPLICITLY_UNRESOLVED,114678,338619,0.33866380799659795,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
ALL,ALL,,,UNRESOLVED_PLOT_SOURCE_BINDING,EXPLICITLY_UNRESOLVED,4232,338619,0.012497822035975535,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,4,,UNRESOLVED_DIAMETER_FRAME_NO_POSITIVE_BREAKPOINT,EXPLICITLY_UNRESOLVED,2,2,1.0,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,5,,NO_Q1_FOREST_OPPORTUNITY_PLOT_STATUS_2,FULLY_CLASSIFIED,6,12,0.5,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,5,,UNRESOLVED_DIAMETER_FRAME_NO_POSITIVE_BREAKPOINT,EXPLICITLY_UNRESOLVED,6,12,0.5,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,5.1,,NO_Q1_FOREST_OPPORTUNITY_PLOT_STATUS_2,FULLY_CLASSIFIED,345,1311,0.2631578947368421,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,5.1,,REMOTE_INFORMATION_NO_DIRECT_TREE_OPPORTUNITY,FULLY_CLASSIFIED,486,1311,0.3707093821510298,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,5.1,,UNRESOLVED_DIAMETER_FRAME_NO_POSITIVE_BREAKPOINT,EXPLICITLY_UNRESOLVED,480,1311,0.36613272311212813,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,6,,NO_Q1_FOREST_OPPORTUNITY_PLOT_STATUS_2,FULLY_CLASSIFIED,1150,20699,0.05555823952847964,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,6,,REMOTE_INFORMATION_NO_DIRECT_TREE_OPPORTUNITY,FULLY_CLASSIFIED,13638,20699,0.658872409295135,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,6,,UNRESOLVED_DIAMETER_FRAME_NO_POSITIVE_BREAKPOINT,EXPLICITLY_UNRESOLVED,5911,20699,0.2855693511763853,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,6.1,,NO_Q1_FOREST_OPPORTUNITY_PLOT_STATUS_2,FULLY_CLASSIFIED,1198,2888,0.41481994459833793,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,6.1,,REMOTE_INFORMATION_NO_DIRECT_TREE_OPPORTUNITY,FULLY_CLASSIFIED,775,2888,0.26835180055401664,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,6.1,,UNRESOLVED_DIAMETER_FRAME_NO_POSITIVE_BREAKPOINT,EXPLICITLY_UNRESOLVED,915,2888,0.31682825484764543,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,7,,NO_Q1_FOREST_OPPORTUNITY_PLOT_STATUS_2,FULLY_CLASSIFIED,4779,67498,0.070802097839936,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,7,,REMOTE_INFORMATION_NO_DIRECT_TREE_OPPORTUNITY,FULLY_CLASSIFIED,38756,67498,0.5741799757029838,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,7,,UNRESOLVED_DIAMETER_FRAME_NO_POSITIVE_BREAKPOINT,EXPLICITLY_UNRESOLVED,23963,67498,0.3550179264570802,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,8,,NO_Q1_FOREST_OPPORTUNITY_PLOT_STATUS_2,FULLY_CLASSIFIED,2572,44502,0.057795155273920276,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,8,,REMOTE_INFORMATION_NO_DIRECT_TREE_OPPORTUNITY,FULLY_CLASSIFIED,26067,44502,0.5857489551031414,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,8,,UNRESOLVED_DIAMETER_FRAME_NO_POSITIVE_BREAKPOINT,EXPLICITLY_UNRESOLVED,15863,44502,0.3564558896229383,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9,,NO_Q1_FOREST_OPPORTUNITY_PLOT_STATUS_2,FULLY_CLASSIFIED,4617,86443,0.05341091817729602,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9,,REMOTE_INFORMATION_NO_DIRECT_TREE_OPPORTUNITY,FULLY_CLASSIFIED,37404,86443,0.43270131763127145,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9,,UNRESOLVED_DIAMETER_FRAME_NO_POSITIVE_BREAKPOINT,EXPLICITLY_UNRESOLVED,44422,86443,0.5138877641914325,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.1,,NO_Q1_FOREST_OPPORTUNITY_PLOT_STATUS_2,FULLY_CLASSIFIED,1421,31493,0.04512113803067348,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.1,,REMOTE_INFORMATION_NO_DIRECT_TREE_OPPORTUNITY,FULLY_CLASSIFIED,21408,31493,0.6797701076429683,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.1,,UNRESOLVED_DIAMETER_FRAME_NO_POSITIVE_BREAKPOINT,EXPLICITLY_UNRESOLVED,8664,31493,0.27510875432635823,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.2,,NO_DIRECT_OPPORTUNITY_PLOT_STATUS_3,FULLY_CLASSIFIED,2,31105,6.429834431763383e-05,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.2,,NO_Q1_FOREST_OPPORTUNITY_PLOT_STATUS_2,FULLY_CLASSIFIED,1346,31105,0.04327278572576756,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.2,,REMOTE_INFORMATION_NO_DIRECT_TREE_OPPORTUNITY,FULLY_CLASSIFIED,20311,31105,0.6529818357177303,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.2,,UNRESOLVED_DIAMETER_FRAME_NO_POSITIVE_BREAKPOINT,EXPLICITLY_UNRESOLVED,9446,31105,0.30368108021218454,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.3,,NO_DIRECT_OPPORTUNITY_PLOT_STATUS_3,FULLY_CLASSIFIED,9,7378,0.0012198427758200055,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.3,,NO_Q1_FOREST_OPPORTUNITY_PLOT_STATUS_2,FULLY_CLASSIFIED,713,7378,0.09663865546218488,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.3,,REMOTE_INFORMATION_NO_DIRECT_TREE_OPPORTUNITY,FULLY_CLASSIFIED,2893,7378,0.39211168338303065,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.3,,UNRESOLVED_DIAMETER_FRAME_NO_POSITIVE_BREAKPOINT,EXPLICITLY_UNRESOLVED,3763,7378,0.5100298183789644,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.4,,NO_DIRECT_OPPORTUNITY_PLOT_STATUS_3,FULLY_CLASSIFIED,10,3212,0.00311332503113325,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.4,,NO_Q1_FOREST_OPPORTUNITY_PLOT_STATUS_2,FULLY_CLASSIFIED,290,3212,0.09028642590286426,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.4,,REMOTE_INFORMATION_NO_DIRECT_TREE_OPPORTUNITY,FULLY_CLASSIFIED,1669,3212,0.5196139476961394,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,1,9.4,,UNRESOLVED_DIAMETER_FRAME_NO_POSITIVE_BREAKPOINT,EXPLICITLY_UNRESOLVED,1243,3212,0.386986301369863,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,501,,,UNRESOLVED_PLOT_SOURCE_BINDING,EXPLICITLY_UNRESOLVED,3237,3237,1.0,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,501,1.7,,DIRECT_FIELD_OPPORTUNITY_ALL_FOUR_SAMPLED_SPLIT_FRAME,FULLY_CLASSIFIED,4,4,1.0,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,501,5.1,,DIRECT_FIELD_OPPORTUNITY_ALL_FOUR_SAMPLED_SPLIT_FRAME,FULLY_CLASSIFIED,2,5,0.4,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,501,5.1,,DIRECT_FIELD_OPPORTUNITY_PARTIAL_ELEMENTS_SPLIT_FRAME,FULLY_CLASSIFIED,2,5,0.4,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,501,5.1,,REMOTE_INFORMATION_NO_DIRECT_TREE_OPPORTUNITY,FULLY_CLASSIFIED,1,5,0.2,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,501,6,,DIRECT_FIELD_OPPORTUNITY_ALL_FOUR_SAMPLED_SPLIT_FRAME,FULLY_CLASSIFIED,1593,4885,0.32610030706243603,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,501,6,,DIRECT_FIELD_OPPORTUNITY_PARTIAL_ELEMENTS_SPLIT_FRAME,FULLY_CLASSIFIED,260,4885,0.05322415557830092,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,501,6,,NO_Q1_FOREST_OPPORTUNITY_PLOT_STATUS_2,FULLY_CLASSIFIED,148,4885,0.03029682702149437,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
DESIGN_MANUAL,501,6,,REMOTE_INFORMATION_NO_DIRECT_TREE_OPPORTUNITY,FULLY_CLASSIFIED,2884,4885,0.5903787103377687,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE
