check_id,observed,expected,status,evidence
INPUT_SHA_AUTHORIZATION,223d9b294cf86e8ea1cd7a0c80dade6cdf83b9f0926c27bd01c128f494c7faab,223d9b294cf86e8ea1cd7a0c80dade6cdf83b9f0926c27bd01c128f494c7faab,PASS,C:\Users\bug_g\Downloads\Q1_FIA_SUPPORT_LEGAL_OBSERVATION_OPPORTUNITY_OPERATOR_v01_1_WORK_AUTHORIZATION.md
INPUT_SHA_MAINLINE_HANDOFF,c8ff616269809d941e6516e91fcbe7d49344d5c557dbf3edd5ab19eff26260ec,c8ff616269809d941e6516e91fcbe7d49344d5c557dbf3edd5ab19eff26260ec,PASS,C:\Users\bug_g\Downloads\Q1_MAINLINE_SAFE_TRANSFER_20260909_v04.md
INPUT_SHA_ACCEPTED_LOCAL,bff3dad4bececb0cf3e72b474d261b540160b5f511a3e3eaeb7d12c7bd635d53,bff3dad4bececb0cf3e72b474d261b540160b5f511a3e3eaeb7d12c7bd635d53,PASS,C:\range_paper\05_qc\q1_fia_support_native_fields_local_availability_audit_v01\Q1_FIA_SUPPORT_NATIVE_FIELDS_LOCAL_AVAILABILITY_AUDIT_v01.zip
INPUT_SHA_FROZEN_SUBSTRATE_ZIP,1dbd8cf3fdb9fdbd25945ed70af64e1c739ec78f10f24ec4866128c38d5d946e,1dbd8cf3fdb9fdbd25945ed70af64e1c739ec78f10f24ec4866128c38d5d946e,PASS,C:\range_paper\10_archive\q1_fia_substrate_v01_1\Q1_FIA_SUBSTRATE_v01_1.zip
INPUT_SHA_ACCEPTED_SEARCH,eebf8cd8f8142d57f24fe01351c3a84ea821975b994aec9e14578d8594d46a6a,eebf8cd8f8142d57f24fe01351c3a84ea821975b994aec9e14578d8594d46a6a,PASS,C:\range_paper\10_archive\q1_fia_support_source_native_capability_closure_v01\Q1_FIA_SUPPORT_SOURCE_NATIVE_IDENTIFICATION_CAPABILITY_CLOSURE_v01_SEARCH.zip
INPUT_SHA_FROZEN_SUBSTRATE_INTERNAL_SQLITE,9eaabcd32f169713d00b11aa10355dab13fe2e5bc57672220cbe8fd6be57084e,9eaabcd32f169713d00b11aa10355dab13fe2e5bc57672220cbe8fd6be57084e,PASS,C:\range_paper\99_tmp\q1_fia_support_native_fields_local_availability_audit_v01\substrate_cache\Q1_FIA_SUBSTRATE_v01_1.sqlite
SOURCE_BINDING_MODE,INHERITED_ACCEPTED_FULL_HASH_BINDING,INHERITED_ACCEPTED_FULL_HASH_BINDING,PASS,SOURCE_BINDING_RECORD_v01_1.json
LAYER1_PATH_SIZE_RESTART_VALIDATION,71565119488,71565119488,PASS,C:\range_paper\99_tmp\d08c2_preflight_observational_authority_v01\source_cache\SQLite_FIADB_ENTIRE.db
F0_ROWS_ACCOUNTED,338619,338619,PASS,LEGAL_OPPORTUNITY_F0_CLASSIFICATION_v01_1.csv.gz
A_ROWS_ACCOUNTED,135513,135513,PASS,f0_linkage.fold
B_ROWS_ACCOUNTED,203106,203106,PASS,f0_linkage.fold
A_B_PERMANENT_PLOT_OVERLAP,0,0,PASS,validated when f0_linkage checkpoint was built
LAYER2_SQLITE_INTEGRITY,ok,ok,PASS,Q1_FIA_SUPPORT_MEASUREMENT_SUBSTRATE_CANDIDATE_v01_1.sqlite
LAYER2_PLOT_ROWS,334387,334387,PASS,exact F0 PLT_CN filter; reproduces accepted Local match count
F0_WITHOUT_LAYER1_PLOT_MATCH_RETAINED,4232,4232,PASS,retained in f0_linkage and explicit unresolved class; no causal label assigned
LAYER2_RELATION_MISSING_SUBPLOT,0,0,PASS,subplot_condition_relation to subplot_opportunity_source
LAYER2_RELATION_MISSING_CONDITION,0,0,PASS,subplot_condition_relation to condition_opportunity_source
POSITIVE_BREAKPOINT_F0,37843,37843,PASS,accepted Local control reproduced
POSITIVE_BREAKPOINT_LE_5,0,0,PASS,all observed positive breakpoints exceed frozen 5-in threshold
EVERY_STATE_IN_DICTIONARY,0,0,PASS,classification builder hard gate
UNRESOLVED_STATES_EXPLICIT,118910,reported without row deletion,PASS,full F0 classification and unresolved summary
NO_SILENT_DELETION,338619,338619,PASS,classification status partition
NO_OUTCOME_DEPENDENT_SCOPE,0,0,PASS,species firewall
NO_SUPPORT_OR_ABUNDANCE_ESTIMATOR,0,0,PASS,operator only classifies measurement opportunity
TRANSFER_UPLOAD_TARGET_POLICY,mirror,mirror,PASS,transfer manifest builder uses one constant
RESTART_PROVENANCE_NO_OPAQUE_STATE,FILE_BOUND_CHECKPOINTS,FILE_BOUND_CHECKPOINTS,PASS,SOURCE_BINDING_RECORD plus Layer2/Layer3 checkpoint JSON
