state_code,classification_status,opportunity_presence,rule,scientific_meaning,provenance_class,observed_count,observed_fraction_f0
NO_Q1_FOREST_OPPORTUNITY_PLOT_STATUS_2,FULLY_CLASSIFIED,NO_DIRECT_Q1_FOREST_OPPORTUNITY,PLOT_STATUS_CD=2,Sampled plot with no accessible forest; not a Q1 forest species nondetection opportunity.,PROJECT-INDUCED CANDIDATE LAYER 3 OPERATOR,19457,0.057459859015589795
NO_DIRECT_OPPORTUNITY_PLOT_STATUS_3,FULLY_CLASSIFIED,NO_DIRECT_Q1_FOREST_OPPORTUNITY,PLOT_STATUS_CD=3,Nonsampled plot; no direct field opportunity.,PROJECT-INDUCED CANDIDATE LAYER 3 OPERATOR,21,6.201660273050243e-05
REMOTE_INFORMATION_NO_DIRECT_TREE_OPPORTUNITY,FULLY_CLASSIFIED,NO_DIRECT_Q1_FOREST_OPPORTUNITY,accepted PLOT_STATUS_CD and SAMP_METHOD_CD=2; plot status is retained as a separate dimension,Remote/non-field information is explicitly retained and is not promoted to a tree nondetection opportunity.,PROJECT-INDUCED CANDIDATE LAYER 3 OPERATOR,180653,0.5334993015749264
NO_DIRECT_OPPORTUNITY_ON_EXAMINED_ELEMENTS,FULLY_CLASSIFIED,NO_DIRECT_Q1_FOREST_OPPORTUNITY,"field visit and resolved examination scope, but every directly examined element has SUBP_STATUS_CD in {2,3}",All direct elements are explicitly without accessible sampled forest opportunity.,PROJECT-INDUCED CANDIDATE LAYER 3 OPERATOR,0,0.0
DIRECT_FIELD_OPPORTUNITY_SUBPLOT1_ONLY_SPLIT_FRAME,FULLY_CLASSIFIED,DIRECT_Q1_FOREST_OPPORTUNITY,field visit; SUBP_EXAMINE_CD=1; subplot 1 sampled accessible; accessible conditions resolved; positive breakpoint>5; macro basis resolved,Direct opportunity is limited to subplot-1 center and is diameter-split across subplot/macroplot frames.,PROJECT-INDUCED CANDIDATE LAYER 3 OPERATOR,0,0.0
DIRECT_FIELD_OPPORTUNITY_ALL_FOUR_SAMPLED_SPLIT_FRAME,FULLY_CLASSIFIED,DIRECT_Q1_FOREST_OPPORTUNITY,field visit; SUBP_EXAMINE_CD=4; all four direct elements SUBP_STATUS_CD=1; accessible conditions resolved; positive breakpoint>5; macro basis resolved,"Four described spatial elements are sampled accessible; they are spatial replicates, not repeated detections of an identical unit.",PROJECT-INDUCED CANDIDATE LAYER 3 OPERATOR,17185,0.05075025323446115
DIRECT_FIELD_OPPORTUNITY_PARTIAL_ELEMENTS_SPLIT_FRAME,FULLY_CLASSIFIED,DIRECT_Q1_FOREST_OPPORTUNITY,field visit; SUBP_EXAMINE_CD=4; one to three direct elements SUBP_STATUS_CD=1 and remaining elements explicitly status 2/3; accessible conditions resolved; positive breakpoint>5; macro basis resolved,Direct opportunity exists only on the explicitly sampled-accessible subset of described elements.,PROJECT-INDUCED CANDIDATE LAYER 3 OPERATOR,2393,0.007066939539718681
DIRECT_FIELD_OPPORTUNITY_MACRO_ALL_TARGET_DIAMETERS,FULLY_CLASSIFIED,DIRECT_Q1_FOREST_OPPORTUNITY,otherwise direct field opportunity with positive breakpoint<=5 and macro basis resolved,All frozen DIA>=5 target diameters fall in the macroplot frame.,PROJECT-INDUCED CANDIDATE LAYER 3 OPERATOR,0,0.0
UNRESOLVED_PLOT_SOURCE_BINDING,EXPLICITLY_UNRESOLVED,UNRESOLVED,zero or multiple Layer 1 PLOT rows for one F0 PLT_CN,Plot-source identity is not unique.,OPEN / UNRESOLVED,4232,0.012497822035975535
UNRESOLVED_PLOT_STATUS,EXPLICITLY_UNRESOLVED,UNRESOLVED,PLOT_STATUS_CD missing or outside accepted codes,Plot sampling/forest status cannot be legally interpreted.,OPEN / UNRESOLVED,0,0.0
UNRESOLVED_SAMPLING_METHOD,EXPLICITLY_UNRESOLVED,UNRESOLVED,PLOT_STATUS_CD=1 and SAMP_METHOD_CD missing or outside accepted codes,Actual field versus remote opportunity is unresolved.,OPEN / UNRESOLVED,0,0.0
UNRESOLVED_EXAMINATION_SCOPE,EXPLICITLY_UNRESOLVED,UNRESOLVED,"field visit and SUBP_EXAMINE_CD missing or outside {1,4}",Directly examined spatial extent is unresolved.,OPEN / UNRESOLVED,0,0.0
UNRESOLVED_SUBPLOT_STATUS_COVERAGE,EXPLICITLY_UNRESOLVED,UNRESOLVED,"missing, duplicate, or uninterpretable status for any required directly examined subplot",The direct sampled-element set cannot be fully determined.,OPEN / UNRESOLVED,0,0.0
UNRESOLVED_CONDITION_STATUS_OR_RELATION,EXPLICITLY_UNRESOLVED,UNRESOLVED,sampled-accessible direct element exists but condition status is missing/uninterpretable or contradicts absence of any accessible condition,Accessible forest condition opportunity is not fully resolved.,OPEN / UNRESOLVED,0,0.0
UNRESOLVED_DIAMETER_FRAME_NO_POSITIVE_BREAKPOINT,EXPLICITLY_UNRESOLVED,UNRESOLVED,"otherwise direct opportunity, but MACRO_BREAKPOINT_DIA is absent, zero, or non-positive",No positive breakpoint does not prove subplot-only frame; DIA>=5 legal frame remains explicit unresolved.,OPEN / UNRESOLVED,114678,0.33866380799659795
UNRESOLVED_DIAMETER_FRAME_NONNUMERIC_BREAKPOINT,EXPLICITLY_UNRESOLVED,UNRESOLVED,"otherwise direct opportunity, but breakpoint is nonnumeric",Diameter/tally frame cannot be interpreted from the retained source value.,OPEN / UNRESOLVED,0,0.0
UNRESOLVED_MACRO_CONDITION_BASIS,EXPLICITLY_UNRESOLVED,UNRESOLVED,positive breakpoint with one or more accessible condition rows lacking MACR PROP_BASIS or numeric MACRPROP_UNADJ,"Diameter-split opportunity exists in principle, but condition/frame representation is incomplete.",OPEN / UNRESOLVED,0,0.0
