artifact_or_statement,provenance_class,identity_or_rule,role,freeze_status
AUTHORIZATION,ACCEPTED EVIDENCE,223d9b294cf86e8ea1cd7a0c80dade6cdf83b9f0926c27bd01c128f494c7faab,protected input,ACCEPTED_NOT_FROZEN
MAINLINE_HANDOFF,FROZEN,c8ff616269809d941e6516e91fcbe7d49344d5c557dbf3edd5ab19eff26260ec,protected input,INHERITED
ACCEPTED_LOCAL,ACCEPTED EVIDENCE,bff3dad4bececb0cf3e72b474d261b540160b5f511a3e3eaeb7d12c7bd635d53,protected input,ACCEPTED_NOT_FROZEN
FROZEN_SUBSTRATE_ZIP,FROZEN,1dbd8cf3fdb9fdbd25945ed70af64e1c739ec78f10f24ec4866128c38d5d946e,protected input,INHERITED
ACCEPTED_SEARCH,ACCEPTED EVIDENCE,eebf8cd8f8142d57f24fe01351c3a84ea821975b994aec9e14578d8594d46a6a,protected input,ACCEPTED_NOT_FROZEN
FROZEN_SUBSTRATE_INTERNAL_SQLITE,FROZEN,9eaabcd32f169713d00b11aa10355dab13fe2e5bc57672220cbe8fd6be57084e,protected input,INHERITED
LAYER1_SQLITE,LAYER 1 BOUND SOURCE,d2935fa9e2c7dd754fbdd8151ba2f093675e3772fefe260336daa308adcaeb72,INHERITED_ACCEPTED_FULL_HASH_BINDING,BOUND_SOURCE
Q1_FIA_SUPPORT_MEASUREMENT_SUBSTRATE_CANDIDATE_v01_1.sqlite,PROJECT-INDUCED CANDIDATE LAYER 2 SUBSTRATE,see SHA256SUMS.csv,minimal source-native measurement substrate; not frozen,CANDIDATE_NOT_FROZEN
LEGAL_OPPORTUNITY_F0_CLASSIFICATION_v01_1.csv.gz,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE,see SHA256SUMS.csv,species-blind full F0 classification,DERIVED_OR_OPEN
LEGAL_OPPORTUNITY_STATE_DICTIONARY_v01_1.csv,PROJECT-INDUCED CANDIDATE LAYER 3 OPERATOR,see SHA256SUMS.csv,candidate state definitions; not frozen,CANDIDATE_NOT_FROZEN
LEGAL_OPPORTUNITY_OPERATOR_SPEC_v01_1.md,PROJECT-INDUCED CANDIDATE LAYER 3 OPERATOR,see SHA256SUMS.csv,deterministic rule specification; not frozen,CANDIDATE_NOT_FROZEN
LEGAL_OPPORTUNITY_F0_CLASSIFICATION_SUMMARY_v01_1.csv,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE,see SHA256SUMS.csv,classification counts and fractions,DERIVED_OR_OPEN
LEGAL_OPPORTUNITY_A_B_SUMMARY_v01_1.csv,LOCAL/WORK DERIVED QUALIFICATION EVIDENCE,see SHA256SUMS.csv,fold closure and classification,DERIVED_OR_OPEN
LEGAL_OPPORTUNITY_UNRESOLVED_STATES_v01_1.csv,OPEN / UNRESOLVED,see SHA256SUMS.csv,retained unresolved measurement states,DERIVED_OR_OPEN
LEGAL_OPPORTUNITY_DIAMETER_FRAME_RULES_v01_1.csv,PROJECT-INDUCED CANDIDATE LAYER 3 OPERATOR,see SHA256SUMS.csv,diameter/tally-frame rule and observed coverage,CANDIDATE_NOT_FROZEN
