"State","STATE_ABBR","TABLE","EXPECTED_FILE","MANIFEST_LOCAL_FILE","MANIFEST_BYTES","ACTUAL_BYTES","MANIFEST_SHA256","ACTUAL_SHA256","ZIP_VALID","EXPECTED_CSV_ENTRY_PRESENT","WORKING_CSV","WORKING_CSV_BYTES","WORKING_CSV_SHA256","INPUT_STATUS","DETAILS"
"California","CA","POP_EVAL_GRP","CA_POP_EVAL_GRP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_EVAL_GRP.zip","773","773","03b07475eed35be708307355fb1cbe397bcfaa0405a165a87b1da653d8ff3b5a","03b07475eed35be708307355fb1cbe397bcfaa0405a165a87b1da653d8ff3b5a","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\CA_POP_EVAL_GRP.csv","2448","7d602acf5a933432f8eb0754edede48481a1806882a0264030ed8d8f6d461d3c","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"California","CA","POP_EVAL_TYP","CA_POP_EVAL_TYP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_EVAL_TYP.zip","1150","1150","7b105e99ed84779062bc8b00a3ac289fcbc32a4e3e27ac3854a35e010eedbda9","7b105e99ed84779062bc8b00a3ac289fcbc32a4e3e27ac3854a35e010eedbda9","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\CA_POP_EVAL_TYP.csv","6049","3531f98ad198b1497b8f91b8108e3bb493875bcc180c134bd5af4e3bb51ebc8f","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"California","CA","POP_EVAL","CA_POP_EVAL.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_EVAL.zip","1397","1397","e917a042d4338881171368e8788514610b41a0a15321e9c1c227338c5ce4daf9","e917a042d4338881171368e8788514610b41a0a15321e9c1c227338c5ce4daf9","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\CA_POP_EVAL.csv","7507","67db81b14cebb5ae20e3073d71d58c2bfaa3b53520f292c2fb77668ae7fac46b","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"California","CA","POP_ESTN_UNIT","CA_POP_ESTN_UNIT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_ESTN_UNIT.zip","1884","1884","9b56b2f685adc83fce78a80f1fb98a8c2d3f45a13caf0b7320c86f080aa75fd5","9b56b2f685adc83fce78a80f1fb98a8c2d3f45a13caf0b7320c86f080aa75fd5","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\CA_POP_ESTN_UNIT.csv","14815","3f68be54ffbefd694424ab21d98b36d315dc552cb919a53ea1086fdad91a3b28","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"California","CA","POP_STRATUM","CA_POP_STRATUM.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_STRATUM.zip","332407","332407","db7a42b9a5e72800b2ce3a0aa22dd9c918f750a53e5ba2d50422020ea3fefa1d","db7a42b9a5e72800b2ce3a0aa22dd9c918f750a53e5ba2d50422020ea3fefa1d","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\CA_POP_STRATUM.csv","1903859","d63ab96768c28fc3aec3cd2044a4341ecf450eea031c52ef89a457fb7f589eae","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"California","CA","POP_PLOT_STRATUM_ASSGN","CA_POP_PLOT_STRATUM_ASSGN.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_PLOT_STRATUM_ASSGN.zip","6520344","6520344","b402c4af76cd67d38b6cde9e22ca239dd84c917e4369c170e5871de8b1f71d8b","b402c4af76cd67d38b6cde9e22ca239dd84c917e4369c170e5871de8b1f71d8b","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\CA_POP_PLOT_STRATUM_ASSGN.csv","51120504","36d89b32dd6337b6d66b420621d704bc9d54ece600f3a31e69f893be7bce86ec","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"California","CA","PLOT","CA_PLOT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_PLOT.zip","1581030","1581030","1d0516792da09c73175b2e8affe1a727d98586a11d3d13a646a9e385396beaad","1d0516792da09c73175b2e8affe1a727d98586a11d3d13a646a9e385396beaad","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\CA_PLOT.csv","10443040","53f186309b5afcc3366711fac526e2741ec2364ce34fc695502cf3446db86757","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"California","CA","SURVEY","CA_SURVEY.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_SURVEY.zip","1701","1701","32f69a2e894013603c9a27a8e30462c09a420e7974d10bdd317c1e83bdbc7d1d","32f69a2e894013603c9a27a8e30462c09a420e7974d10bdd317c1e83bdbc7d1d","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\CA_SURVEY.csv","8248","f3869a2a905535ec7ea76492ad9da8a0d40d21bf5a9c6130f736a9813943aeae","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Oregon","OR","POP_EVAL_GRP","OR_POP_EVAL_GRP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_EVAL_GRP.zip","837","837","0b3e6f266d39017e2e4219a32421a75c7644ef0078941dd7c41188092a011784","0b3e6f266d39017e2e4219a32421a75c7644ef0078941dd7c41188092a011784","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\OR_POP_EVAL_GRP.csv","2511","7f614b8c29fb81c43cf2dd523cb4bd03472b643109024e1d419822a3282e42aa","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Oregon","OR","POP_EVAL_TYP","OR_POP_EVAL_TYP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_EVAL_TYP.zip","1134","1134","e5d157bb2ebf6590af76883682ea6d9f7762393f8cdac1f39bc95ce76bd2cc87","e5d157bb2ebf6590af76883682ea6d9f7762393f8cdac1f39bc95ce76bd2cc87","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\OR_POP_EVAL_TYP.csv","6084","1e35ecc741f968abb35faa212308d38a6bde61db3ed879ec34780f3e5130709a","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Oregon","OR","POP_EVAL","OR_POP_EVAL.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_EVAL.zip","1458","1458","d1d4d2ac1bcc263d89b7fac25c06a001111db9c8f3f31402f3a0339a214ddbbb","d1d4d2ac1bcc263d89b7fac25c06a001111db9c8f3f31402f3a0339a214ddbbb","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\OR_POP_EVAL.csv","7542","0668e1febf6544387f1290d497b21ff199941712b029062c0a7062077b127b44","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Oregon","OR","POP_ESTN_UNIT","OR_POP_ESTN_UNIT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_ESTN_UNIT.zip","1832","1832","629f9e111069d351c89b65b319e5fdc7c7bbd010df8d360311d0b94591aa3d59","629f9e111069d351c89b65b319e5fdc7c7bbd010df8d360311d0b94591aa3d59","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\OR_POP_ESTN_UNIT.csv","15307","f6178199534afc19beb18379553db72a5ab7c2b4a7010bd670c6d9a13e3278dd","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Oregon","OR","POP_STRATUM","OR_POP_STRATUM.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_STRATUM.zip","235280","235280","dfe587a2df21c693282474f1c60bba94bcf4a7cc911f18b168a4758c58fd5de1","dfe587a2df21c693282474f1c60bba94bcf4a7cc911f18b168a4758c58fd5de1","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\OR_POP_STRATUM.csv","1346501","e88ffb4db18c75b0811b9332d284aecd963ba9c42222d090ccde14b4907ed3ca","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Oregon","OR","POP_PLOT_STRATUM_ASSGN","OR_POP_PLOT_STRATUM_ASSGN.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_PLOT_STRATUM_ASSGN.zip","6064878","6064878","d51b8e22273bc285c8a6ab5b9ea28e23aaffe9de1e95806d68e79392da747663","d51b8e22273bc285c8a6ab5b9ea28e23aaffe9de1e95806d68e79392da747663","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\OR_POP_PLOT_STRATUM_ASSGN.csv","49012068","689f0b1d0cc6d40f7dbeb767d25e6dc2f1917c3f31bd8997edb37aef7ed134a4","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Oregon","OR","PLOT","OR_PLOT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_PLOT.zip","1462284","1462284","e92e8ee1fb6c0fd4934c375fed3b1df4685cc0c0c07f7f10180ba57d0937db15","e92e8ee1fb6c0fd4934c375fed3b1df4685cc0c0c07f7f10180ba57d0937db15","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\OR_PLOT.csv","9601850","9d44fac9a788d9839122e4241b59d4a9704681170da7cc28b17f3f0625f400a2","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Oregon","OR","SURVEY","OR_SURVEY.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_SURVEY.zip","1958","1958","942c5183a2c0340e854dd9d85b5750cbad304fb58b66106aafd3c8948a31e43f","942c5183a2c0340e854dd9d85b5750cbad304fb58b66106aafd3c8948a31e43f","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\OR_SURVEY.csv","9436","4f91f6318a5f6c5e7577580859de94868378938d5f854d99a058246e2d68d386","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Washington","WA","POP_EVAL_GRP","WA_POP_EVAL_GRP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_POP_EVAL_GRP.zip","793","793","ba4cc6396be0b6d7c05a3561835bce51eb15425f0dbd081fd992e0aa070b179b","ba4cc6396be0b6d7c05a3561835bce51eb15425f0dbd081fd992e0aa070b179b","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\WA_POP_EVAL_GRP.csv","2467","5f43fc08cd6d3f9a024e3bfd3bbac98228dad51675908747fcab767421f4504b","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Washington","WA","POP_EVAL_TYP","WA_POP_EVAL_TYP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_POP_EVAL_TYP.zip","1003","1003","dcc94db945c35bc2748e2ed6cb7cad2ab8c8e42d084f9d07028559b071fad0e2","dcc94db945c35bc2748e2ed6cb7cad2ab8c8e42d084f9d07028559b071fad0e2","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\WA_POP_EVAL_TYP.csv","6098","3a8344516ca0dff5b188b49ef5408fc46818685150b9ad473ebb086ff5bd2adb","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Washington","WA","POP_EVAL","WA_POP_EVAL.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_POP_EVAL.zip","1351","1351","2b3e903a431f4a50f3f61404840c105b8fbe3199a2e7b5546c2ab58af227c651","2b3e903a431f4a50f3f61404840c105b8fbe3199a2e7b5546c2ab58af227c651","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\WA_POP_EVAL.csv","7744","557429f6498d1b3e5ab9660955a356d86d3ea49272582598c93f625fc67ba8ef","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Washington","WA","POP_ESTN_UNIT","WA_POP_ESTN_UNIT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_POP_ESTN_UNIT.zip","1876","1876","b5ea750a8458b600464c219771ef8c5ece9a726fd0ae18e7929ffece0e4b7265","b5ea750a8458b600464c219771ef8c5ece9a726fd0ae18e7929ffece0e4b7265","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\WA_POP_ESTN_UNIT.csv","16136","cec8059c15fec261b39b2fece624b923f5f6331e0d4ec2fe271fe83954239081","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Washington","WA","POP_STRATUM","WA_POP_STRATUM.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_POP_STRATUM.zip","185972","185972","99eeb190bb67fc0d6c42f0766407209dcc393e1d9db1abea18dc1a8289071e08","99eeb190bb67fc0d6c42f0766407209dcc393e1d9db1abea18dc1a8289071e08","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\WA_POP_STRATUM.csv","981503","2bf2cad37309fbca5415a3ba72d9ff72471ed4807ee5f6f05ba738d6b5a792c6","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Washington","WA","POP_PLOT_STRATUM_ASSGN","WA_POP_PLOT_STRATUM_ASSGN.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_POP_PLOT_STRATUM_ASSGN.zip","3709175","3709175","cb984f57247b7ca97dc25569359909a83fe251636afad6ba3ceee82cf310dda0","cb984f57247b7ca97dc25569359909a83fe251636afad6ba3ceee82cf310dda0","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\WA_POP_PLOT_STRATUM_ASSGN.csv","29659932","1ec47ada496e25f3d8b8aacb54277391285b21ce4f712760c3f05907c9d92c68","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
"Washington","WA","PLOT","WA_PLOT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_PLOT.zip","848326","848326","0b572645a39a1ebf18b23dbbba26e1eaf3e89cc389aa66f4206f1cb47dc46adb","0b572645a39a1ebf18b23dbbba26e1eaf3e89cc389aa66f4206f1cb47dc46adb","TRUE","TRUE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\verification_component_evalid_v01\run_20260903T184603_950ed205e32d\working_extracted_csv\WA_PLOT.csv","5418128","7e4827f3c9290f3d18a70410059b1a531e94667273041a3209b49e55a913b0bd","PASS","Manifest SHA-256 and byte size match; ZIP readable; expected CSV extracted only to run-scoped working directory."
