"State","STATE_ABBR","EVAL_GRP","GROUP_CN","GROUP_DESCR","EVAL_TYP","EVAL_CN","EVALID","EVAL_DESCR","LOCATION_NM","REPORT_YEAR_NM","START_INVYR","END_INVYR","RAW_KEY_PROVENANCE","MEMBERSHIP_KEY_INTEGRITY"
"California","CA","62023","1957507988290487","CALIFORNIA 2023: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM","EXPALL","1957432407290487","62300","CALIFORNIA 2023: 2013-2023: ALL AREA","California","2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023","2013","2023","POP_EVAL_GRP.EVAL_GRP=62023 -> POP_EVAL_GRP.CN=1957507988290487 -> POP_EVAL_TYP.EVAL_GRP_CN -> POP_EVAL_TYP.EVAL_CN=1957432407290487 -> POP_EVAL.CN -> POP_EVAL.EVALID=62300","PASS_RAW_KEY_CHAIN"
"California","CA","62023","1957507988290487","CALIFORNIA 2023: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM","EXPCURR;EXPVOL","1957432408290487","62301","CALIFORNIA 2023: 2012-2023: CURRENT AREA, CURRENT VOLUME","California","2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023","2012","2023","POP_EVAL_GRP.EVAL_GRP=62023 -> POP_EVAL_GRP.CN=1957507988290487 -> POP_EVAL_TYP.EVAL_GRP_CN -> POP_EVAL_TYP.EVAL_CN=1957432408290487 -> POP_EVAL.CN -> POP_EVAL.EVALID=62301","PASS_RAW_KEY_CHAIN"
"California","CA","62023","1957507988290487","CALIFORNIA 2023: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM","EXPCHNG;EXPGROW;EXPMORT;EXPREMV","1957432409290487","62303","CALIFORNIA 2023: 2003-2013 to 2013-2023: AREA CHANGE, GROWTH, REMOVALS, MORTALITY","California","2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023","2013","2023","POP_EVAL_GRP.EVAL_GRP=62023 -> POP_EVAL_GRP.CN=1957507988290487 -> POP_EVAL_TYP.EVAL_GRP_CN -> POP_EVAL_TYP.EVAL_CN=1957432409290487 -> POP_EVAL.CN -> POP_EVAL.EVALID=62303","PASS_RAW_KEY_CHAIN"
"California","CA","62023","1957507988290487","CALIFORNIA 2023: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM","EXPDWM","1957432410290487","62307","CALIFORNIA 2023: 2013-2023: DWM","California","2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023","2013","2023","POP_EVAL_GRP.EVAL_GRP=62023 -> POP_EVAL_GRP.CN=1957507988290487 -> POP_EVAL_TYP.EVAL_GRP_CN -> POP_EVAL_TYP.EVAL_CN=1957432410290487 -> POP_EVAL.CN -> POP_EVAL.EVALID=62307","PASS_RAW_KEY_CHAIN"
"Oregon","OR","412023","1956358791290487","OREGON 2023: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM","EXPALL","1977698085290487","412300","OREGON 2023: 2014-2023: ALL AREA","Oregon","2014;2015;2016;2017;2018;2019;2020;2021;2022;2023","2014","2023","POP_EVAL_GRP.EVAL_GRP=412023 -> POP_EVAL_GRP.CN=1956358791290487 -> POP_EVAL_TYP.EVAL_GRP_CN -> POP_EVAL_TYP.EVAL_CN=1977698085290487 -> POP_EVAL.CN -> POP_EVAL.EVALID=412300","PASS_RAW_KEY_CHAIN"
"Oregon","OR","412023","1956358791290487","OREGON 2023: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM","EXPCURR;EXPVOL","1977698086290487","412301","OREGON 2023: 2013-2023: CURRENT AREA, CURRENT VOLUME","Oregon","2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023","2013","2023","POP_EVAL_GRP.EVAL_GRP=412023 -> POP_EVAL_GRP.CN=1956358791290487 -> POP_EVAL_TYP.EVAL_GRP_CN -> POP_EVAL_TYP.EVAL_CN=1977698086290487 -> POP_EVAL.CN -> POP_EVAL.EVALID=412301","PASS_RAW_KEY_CHAIN"
"Oregon","OR","412023","1956358791290487","OREGON 2023: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM","EXPCHNG;EXPGROW;EXPMORT;EXPREMV","1977698087290487","412303","OREGON 2023: 2004-2013 to 2014-2023: AREA CHANGE, GROWTH, REMOVALS, MORTALITY","Oregon","2014;2015;2016;2017;2018;2019;2020;2021;2022;2023","2014","2023","POP_EVAL_GRP.EVAL_GRP=412023 -> POP_EVAL_GRP.CN=1956358791290487 -> POP_EVAL_TYP.EVAL_GRP_CN -> POP_EVAL_TYP.EVAL_CN=1977698087290487 -> POP_EVAL.CN -> POP_EVAL.EVALID=412303","PASS_RAW_KEY_CHAIN"
"Oregon","OR","412023","1956358791290487","OREGON 2023: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM","EXPDWM","1977698088290487","412307","OREGON 2023: 2014-2023: DWM","Oregon","2014;2015;2016;2017;2018;2019;2020;2021;2022;2023","2014","2023","POP_EVAL_GRP.EVAL_GRP=412023 -> POP_EVAL_GRP.CN=1956358791290487 -> POP_EVAL_TYP.EVAL_GRP_CN -> POP_EVAL_TYP.EVAL_CN=1977698088290487 -> POP_EVAL.CN -> POP_EVAL.EVALID=412307","PASS_RAW_KEY_CHAIN"
"Washington","WA","532023","1956294126290487","WASHINGTON 2023: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM","EXPALL","1956290452290487","532300","WASHINGTON 2023: 2014-2023: ALL AREA","Washington","2014;2015;2016;2017;2018;2019;2020;2021;2022;2023","2014","2023","POP_EVAL_GRP.EVAL_GRP=532023 -> POP_EVAL_GRP.CN=1956294126290487 -> POP_EVAL_TYP.EVAL_GRP_CN -> POP_EVAL_TYP.EVAL_CN=1956290452290487 -> POP_EVAL.CN -> POP_EVAL.EVALID=532300","PASS_RAW_KEY_CHAIN"
"Washington","WA","532023","1956294126290487","WASHINGTON 2023: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM","EXPCURR;EXPVOL","1956290453290487","532301","WASHINGTON 2023: 2013-2023: CURRENT AREA, CURRENT VOLUME","Washington","2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023","2013","2023","POP_EVAL_GRP.EVAL_GRP=532023 -> POP_EVAL_GRP.CN=1956294126290487 -> POP_EVAL_TYP.EVAL_GRP_CN -> POP_EVAL_TYP.EVAL_CN=1956290453290487 -> POP_EVAL.CN -> POP_EVAL.EVALID=532301","PASS_RAW_KEY_CHAIN"
"Washington","WA","532023","1956294126290487","WASHINGTON 2023: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM","EXPCHNG;EXPGROW;EXPMORT;EXPREMV","1956290454290487","532303","WASHINGTON 2023: 2004-2013 to 2014-2023: AREA CHANGE, GROWTH, REMOVALS, MORTALITY","Washington","2014;2015;2016;2017;2018;2019;2020;2021;2022;2023","2014","2023","POP_EVAL_GRP.EVAL_GRP=532023 -> POP_EVAL_GRP.CN=1956294126290487 -> POP_EVAL_TYP.EVAL_GRP_CN -> POP_EVAL_TYP.EVAL_CN=1956290454290487 -> POP_EVAL.CN -> POP_EVAL.EVALID=532303","PASS_RAW_KEY_CHAIN"
"Washington","WA","532023","1956294126290487","WASHINGTON 2023: ALL AREA, CURRENT AREA, CURRENT VOLUME, AREA CHANGE, GROWTH, REMOVALS, MORTALITY, DWM","EXPDWM","1956290455290487","532307","WASHINGTON 2023: 2014-2023: DWM","Washington","2014;2015;2016;2017;2018;2019;2020;2021;2022;2023","2014","2023","POP_EVAL_GRP.EVAL_GRP=532023 -> POP_EVAL_GRP.CN=1956294126290487 -> POP_EVAL_TYP.EVAL_GRP_CN -> POP_EVAL_TYP.EVAL_CN=1956290455290487 -> POP_EVAL.CN -> POP_EVAL.EVALID=532307","PASS_RAW_KEY_CHAIN"
