"State","STATE_ABBR","EVAL_GRP","EVALID","TABLE","LINKAGE_MODE","PRESENT","ROW_COUNT","KEY_INTEGRITY_STATUS","UNRESOLVED_KEY_COUNT","DUPLICATE_KEY_COUNT","DETAILS"
"California","CA","62023","62300","POP_ESTN_UNIT","DIRECT_EVALID; optional EVAL_CN crosscheck to resolved component evaluation","YES","3","PASS","0","0","PEU_CN=3; empty_CN=0; EVAL_CN_mismatch=0"
"California","CA","62023","62300","POP_STRATUM","DIRECT_EVALID; ESTN_UNIT_CN -> POP_ESTN_UNIT.CN","YES","329","PASS","0","0","STRATUM_CN=329; empty_CN=0; unresolved_ESTN_UNIT_CN=0"
"California","CA","62023","62300","POP_PLOT_STRATUM_ASSGN","DIRECT_EVALID; STRATUM_CN -> POP_STRATUM.CN; PLT_CN retained for PLOT FK check","YES","17666","PASS","0","0","distinct_stratum_refs=329; unresolved_stratum_refs=0; distinct_plot_refs=17666; empty_PLT_CN=0"
"California","CA","62023","62301","POP_ESTN_UNIT","DIRECT_EVALID; optional EVAL_CN crosscheck to resolved component evaluation","YES","3","PASS","0","0","PEU_CN=3; empty_CN=0; EVAL_CN_mismatch=0"
"California","CA","62023","62301","POP_STRATUM","DIRECT_EVALID; ESTN_UNIT_CN -> POP_ESTN_UNIT.CN","YES","329","PASS","0","0","STRATUM_CN=329; empty_CN=0; unresolved_ESTN_UNIT_CN=0"
"California","CA","62023","62301","POP_PLOT_STRATUM_ASSGN","DIRECT_EVALID; STRATUM_CN -> POP_STRATUM.CN; PLT_CN retained for PLOT FK check","YES","16750","PASS","0","0","distinct_stratum_refs=329; unresolved_stratum_refs=0; distinct_plot_refs=16750; empty_PLT_CN=0"
"California","CA","62023","62303","POP_ESTN_UNIT","DIRECT_EVALID; optional EVAL_CN crosscheck to resolved component evaluation","YES","3","PASS","0","0","PEU_CN=3; empty_CN=0; EVAL_CN_mismatch=0"
"California","CA","62023","62303","POP_STRATUM","DIRECT_EVALID; ESTN_UNIT_CN -> POP_ESTN_UNIT.CN","YES","308","PASS","0","0","STRATUM_CN=308; empty_CN=0; unresolved_ESTN_UNIT_CN=0"
"California","CA","62023","62303","POP_PLOT_STRATUM_ASSGN","DIRECT_EVALID; STRATUM_CN -> POP_STRATUM.CN; PLT_CN retained for PLOT FK check","YES","16299","PASS","0","0","distinct_stratum_refs=308; unresolved_stratum_refs=0; distinct_plot_refs=16299; empty_PLT_CN=0"
"California","CA","62023","62307","POP_ESTN_UNIT","DIRECT_EVALID; optional EVAL_CN crosscheck to resolved component evaluation","YES","3","PASS","0","0","PEU_CN=3; empty_CN=0; EVAL_CN_mismatch=0"
"California","CA","62023","62307","POP_STRATUM","DIRECT_EVALID; ESTN_UNIT_CN -> POP_ESTN_UNIT.CN","YES","317","PASS","0","0","STRATUM_CN=317; empty_CN=0; unresolved_ESTN_UNIT_CN=0"
"California","CA","62023","62307","POP_PLOT_STRATUM_ASSGN","DIRECT_EVALID; STRATUM_CN -> POP_STRATUM.CN; PLT_CN retained for PLOT FK check","YES","16745","PASS","0","0","distinct_stratum_refs=317; unresolved_stratum_refs=0; distinct_plot_refs=16745; empty_PLT_CN=0"
"California","CA","62023","62300","PLOT","POP_PLOT_STRATUM_ASSGN.PLT_CN -> PLOT.CN; EVALID is NOT inferred from PLOT itself","YES","17666","PASS","0","0","assignment_plot_refs=17666; matched_plot_CN=17666; unresolved_PLT_CN=0; STATECD_INVYR_mismatch=0; missing_plot_identity=0"
"California","CA","62023","62301","PLOT","POP_PLOT_STRATUM_ASSGN.PLT_CN -> PLOT.CN; EVALID is NOT inferred from PLOT itself","YES","16750","PASS","0","0","assignment_plot_refs=16750; matched_plot_CN=16750; unresolved_PLT_CN=0; STATECD_INVYR_mismatch=0; missing_plot_identity=0"
"California","CA","62023","62303","PLOT","POP_PLOT_STRATUM_ASSGN.PLT_CN -> PLOT.CN; EVALID is NOT inferred from PLOT itself","YES","16299","PASS","0","0","assignment_plot_refs=16299; matched_plot_CN=16299; unresolved_PLT_CN=0; STATECD_INVYR_mismatch=0; missing_plot_identity=0"
"California","CA","62023","62307","PLOT","POP_PLOT_STRATUM_ASSGN.PLT_CN -> PLOT.CN; EVALID is NOT inferred from PLOT itself","YES","16745","PASS","0","0","assignment_plot_refs=16745; matched_plot_CN=16745; unresolved_PLT_CN=0; STATECD_INVYR_mismatch=0; missing_plot_identity=0"
"California","CA","62023","62300","SURVEY","matched PLOT.STATECD+INVYR -> SURVEY.STATECD+INVYR; EVALID is NOT inferred from SURVEY itself","YES","21","FAIL","0","10","required_state_invyr_pairs=11; matched_pairs=11; unresolved_pairs=0; duplicate_state_invyr_pairs=10"
"California","CA","62023","62301","SURVEY","matched PLOT.STATECD+INVYR -> SURVEY.STATECD+INVYR; EVALID is NOT inferred from SURVEY itself","YES","23","FAIL","0","11","required_state_invyr_pairs=12; matched_pairs=12; unresolved_pairs=0; duplicate_state_invyr_pairs=11"
"California","CA","62023","62303","SURVEY","matched PLOT.STATECD+INVYR -> SURVEY.STATECD+INVYR; EVALID is NOT inferred from SURVEY itself","YES","21","FAIL","0","10","required_state_invyr_pairs=11; matched_pairs=11; unresolved_pairs=0; duplicate_state_invyr_pairs=10"
"California","CA","62023","62307","SURVEY","matched PLOT.STATECD+INVYR -> SURVEY.STATECD+INVYR; EVALID is NOT inferred from SURVEY itself","YES","21","FAIL","0","10","required_state_invyr_pairs=11; matched_pairs=11; unresolved_pairs=0; duplicate_state_invyr_pairs=10"
