"CHECK_ID","STATUS","DETAILS"
"EXPECTED_24_RAW_ZIPS_VERIFIED","PASS","rows=24; failures=0"
"RAW_ZIPS_UNMODIFIED","PASS","Only Get-FileHash/OpenRead were used on raw ZIPs; extraction wrote only to run-scoped working directory."
"THREE_STATE_SUMMARIES_PRESENT","PASS","summary_rows=3"
"FINAL_STATUS_ALLOWLIST","PASS","invalid_status_rows=0"
"COMPONENT_EVALID_RAW_KEY_ONLY","PASS","EVALID read only from POP_EVAL rows reached by POP_EVAL_GRP.CN -> POP_EVAL_TYP.EVAL_GRP_CN -> POP_EVAL_TYP.EVAL_CN -> POP_EVAL.CN."
"NO_COMPONENT_EVALID_STRING_INFERENCE","PASS","Target EVAL_GRP codes were used only to locate POP_EVAL_GRP rows; component EVALID values were never constructed from group codes."
"DESIGN_CROSSCHECK_5_ROWS_PER_RESOLVED_COMPONENT","PASS","components=12; expected_cross_rows=60; actual=60"
"PLOT_LINKAGE_NOT_DIRECT_EVALID","PASS","PLOT checked only through POP_PLOT_STRATUM_ASSGN.PLT_CN -> PLOT.CN."
"SURVEY_LINKAGE_NOT_DIRECT_EVALID","PASS","SURVEY checked only through matched PLOT STATECD+INVYR."
"TREE_NOT_READ","PASS","TREE is absent from table allowlist and no TREE path is referenced."
"D09C_NOT_RUN","PASS","No estimator, P2PANEL, partition, TI/MA, D08C2, species, abundance, detection, R1/R2, World 0, or real Q1 calculation exists in this tool."
"NO_NETWORK_ACCESS","PASS","Verification tool contains no HTTP/download operation."
