"source_local_path","source_file_role","staged_local_path","relative_path","size_bytes","sha256","copy_status","original_relay_policy","original_notes"
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\logs\failed_responses\CA_POP_EVAL_GRP.zip__TRANSPORT_ERROR__20260903T150849.body","FAILED_HTTP_RESPONSE_EVIDENCE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\failed_responses\CA_POP_EVAL_GRP.zip__TRANSPORT_ERROR__20260903T150849.body","failed_responses/CA_POP_EVAL_GRP.zip__TRANSPORT_ERROR__20260903T150849.body","773","03b07475eed35be708307355fb1cbe397bcfaa0405a165a87b1da653d8ff3b5a","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE","-Notes=Preserved only when a requested endpoint failed or conflicted; useful for audit."
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\logs\failed_responses\CA_POP_EVAL_GRP.zip__TRANSPORT_ERROR__20260903T150849.headers.txt","FAILED_HTTP_RESPONSE_EVIDENCE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\failed_responses\CA_POP_EVAL_GRP.zip__TRANSPORT_ERROR__20260903T150849.headers.txt","failed_responses/CA_POP_EVAL_GRP.zip__TRANSPORT_ERROR__20260903T150849.headers.txt","582","e1068024a85f94ee9c097ec02ddd0c34c0a0509cc84ae1d8489fb4fbdd0ee20f","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE","-Notes=Preserved only when a requested endpoint failed or conflicted; useful for audit."
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\logs\failed_responses\ORPHANED_ABORTED_RUN__20260903T151633706__CA_POP_EVAL_TYP.zip.part.3c46a170d1ec","FAILED_HTTP_RESPONSE_EVIDENCE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\failed_responses\ORPHANED_ABORTED_RUN__20260903T151633706__CA_POP_EVAL_TYP.zip.part.3c46a170d1ec","failed_responses/ORPHANED_ABORTED_RUN__20260903T151633706__CA_POP_EVAL_TYP.zip.part.3c46a170d1ec","1150","7b105e99ed84779062bc8b00a3ac289fcbc32a4e3e27ac3854a35e010eedbda9","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE","-Notes=Preserved only when a requested endpoint failed or conflicted; useful for audit."
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\logs\failed_responses\ORPHANED_ABORTED_RUN__20260903T151633706__raw_CA_POP_EVAL_TYP.zip.3c46a170d1ec.headers.txt.part","FAILED_HTTP_RESPONSE_EVIDENCE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\failed_responses\ORPHANED_ABORTED_RUN__20260903T151633706__raw_CA_POP_EVAL_TYP.zip.3c46a170d1ec.headers.txt.part","failed_responses/ORPHANED_ABORTED_RUN__20260903T151633706__raw_CA_POP_EVAL_TYP.zip.3c46a170d1ec.headers.txt.part","583","61e1634197892d5241208c212b926c0af9406cc2671b7a5db927153fa3c967a4","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE","-Notes=Preserved only when a requested endpoint failed or conflicted; useful for audit."
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\prov_FIA_DATAMART_LANDING_20260903.html.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\prov_FIA_DATAMART_LANDING_20260903.html.e0c9d8ab5b78.headers.txt","http_headers/prov_FIA_DATAMART_LANDING_20260903.html.e0c9d8ab5b78.headers.txt","1040","e7fb158ad9e2b05bc8d902c315ebab93a26a9711623a54b2476b025b1458ce80","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\prov_FIA_DATAMART_LOG_20260903.txt.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\prov_FIA_DATAMART_LOG_20260903.txt.e0c9d8ab5b78.headers.txt","http_headers/prov_FIA_DATAMART_LOG_20260903.txt.e0c9d8ab5b78.headers.txt","553","1378c0c290cf2b533783f626725b43800e6a76804bec2dd66f48e011813f38c0","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\prov_FIA_DATAMART_WRAPPER_20260903.html.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\prov_FIA_DATAMART_WRAPPER_20260903.html.e0c9d8ab5b78.headers.txt","http_headers/prov_FIA_DATAMART_WRAPPER_20260903.html.e0c9d8ab5b78.headers.txt","542","190a10c6c5092e50986827ad1ebc6eacb262fe3bd7614cfb44686157bad1d551","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\prov_FIADB_API_DOCUMENTATION_20260903.html.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\prov_FIADB_API_DOCUMENTATION_20260903.html.e0c9d8ab5b78.headers.txt","http_headers/prov_FIADB_API_DOCUMENTATION_20260903.html.e0c9d8ab5b78.headers.txt","514","c80a30f5760b39fb4073a7ba7deb5e483eff465ea9a038f9ebe44b976a01102e","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\prov_FIADB_API_WC_20260903.html.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\prov_FIADB_API_WC_20260903.html.e0c9d8ab5b78.headers.txt","http_headers/prov_FIADB_API_WC_20260903.html.e0c9d8ab5b78.headers.txt","736","326e04d599773d9f94885404fd4f0d9339d3c2c9ac4e599faa4cbfe3db8c75db","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
"C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\prov_FIADB_UPDATE_HISTORY_CA_OR_WA_20260903.html.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\relay_payload_v01\http_headers\prov_FIADB_UPDATE_HISTORY_CA_OR_WA_20260903.html.e0c9d8ab5b78.headers.txt","http_headers/prov_FIADB_UPDATE_HISTORY_CA_OR_WA_20260903.html.e0c9d8ab5b78.headers.txt","777","b537d9ebe4f6b9114cf9ce77a39a78525d09479f7416226c286c2a8eaeed2cbf","COPIED_AND_VERIFIED","RELAY_COMPACT_EVIDENCE",""
