"FILE_NAME","FILE_ROLE","LOCAL_PATH","BYTES","SHA256","MUST_RELAY","RELAY_POLICY","SUGGESTED_GITHUB_PATH","NOTES"
"DOWNLOAD_FREEZE_QC_v01.csv","DOWNLOAD_FREEZE_QC","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\manifests\DOWNLOAD_FREEZE_QC_v01.csv","970","6240bbbe73dd6dc4d7e047e26ade7b96111a563df37bf2c30b5879f2cec11d2c","YES","RELAY_COMPACT_EVIDENCE","manifests/DOWNLOAD_FREEZE_QC_v01.csv",""
"DOWNLOAD_FREEZE_20260903T151633_e0c9d8ab5b78.log","DOWNLOAD_LOG","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\logs\DOWNLOAD_FREEZE_20260903T151633_e0c9d8ab5b78.log","17997","32bf7bd48814b06e0325e0fe08d6b085fe3093774ca65e7b01f4a83d42bff20d","YES","RELAY_COMPACT_EVIDENCE","manifests/DOWNLOAD_FREEZE_20260903T151633_e0c9d8ab5b78.log",""
"DOWNLOAD_STATUS_v01.csv","DOWNLOAD_STATUS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\manifests\DOWNLOAD_STATUS_v01.csv","18994","d4ec6ace80195f6f76b2aad9ef73de18ce46acb43c661ff010b5bf5f843d57b2","YES","RELAY_COMPACT_EVIDENCE","manifests/DOWNLOAD_STATUS_v01.csv",""
"CA_POP_EVAL_GRP.zip__TRANSPORT_ERROR__20260903T150849.body","FAILED_HTTP_RESPONSE_EVIDENCE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\logs\failed_responses\CA_POP_EVAL_GRP.zip__TRANSPORT_ERROR__20260903T150849.body","773","03b07475eed35be708307355fb1cbe397bcfaa0405a165a87b1da653d8ff3b5a","YES","RELAY_COMPACT_EVIDENCE","failed_responses/CA_POP_EVAL_GRP.zip__TRANSPORT_ERROR__20260903T150849.body","-Notes=Preserved only when a requested endpoint failed or conflicted; useful for audit."
"CA_POP_EVAL_GRP.zip__TRANSPORT_ERROR__20260903T150849.headers.txt","FAILED_HTTP_RESPONSE_EVIDENCE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\logs\failed_responses\CA_POP_EVAL_GRP.zip__TRANSPORT_ERROR__20260903T150849.headers.txt","582","e1068024a85f94ee9c097ec02ddd0c34c0a0509cc84ae1d8489fb4fbdd0ee20f","YES","RELAY_COMPACT_EVIDENCE","failed_responses/CA_POP_EVAL_GRP.zip__TRANSPORT_ERROR__20260903T150849.headers.txt","-Notes=Preserved only when a requested endpoint failed or conflicted; useful for audit."
"ORPHANED_ABORTED_RUN__20260903T151633706__CA_POP_EVAL_TYP.zip.part.3c46a170d1ec","FAILED_HTTP_RESPONSE_EVIDENCE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\logs\failed_responses\ORPHANED_ABORTED_RUN__20260903T151633706__CA_POP_EVAL_TYP.zip.part.3c46a170d1ec","1150","7b105e99ed84779062bc8b00a3ac289fcbc32a4e3e27ac3854a35e010eedbda9","YES","RELAY_COMPACT_EVIDENCE","failed_responses/ORPHANED_ABORTED_RUN__20260903T151633706__CA_POP_EVAL_TYP.zip.part.3c46a170d1ec","-Notes=Preserved only when a requested endpoint failed or conflicted; useful for audit."
"ORPHANED_ABORTED_RUN__20260903T151633706__raw_CA_POP_EVAL_TYP.zip.3c46a170d1ec.headers.txt.part","FAILED_HTTP_RESPONSE_EVIDENCE","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\logs\failed_responses\ORPHANED_ABORTED_RUN__20260903T151633706__raw_CA_POP_EVAL_TYP.zip.3c46a170d1ec.headers.txt.part","583","61e1634197892d5241208c212b926c0af9406cc2671b7a5db927153fa3c967a4","YES","RELAY_COMPACT_EVIDENCE","failed_responses/ORPHANED_ABORTED_RUN__20260903T151633706__raw_CA_POP_EVAL_TYP.zip.3c46a170d1ec.headers.txt.part","-Notes=Preserved only when a requested endpoint failed or conflicted; useful for audit."
"FROZEN_Q1_FIA_PROVENANCE_SNAPSHOT_CHECKLIST_v01.csv","FROZEN_SOURCE_PLAN","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\manifests\source_plans\FROZEN_Q1_FIA_PROVENANCE_SNAPSHOT_CHECKLIST_v01.csv","3870","cfeceb0361425d0f2032f01f124397c2d3f14931659c1bcb0010e80797b9094c","YES","RELAY_COMPACT_EVIDENCE","source_plans/FROZEN_Q1_FIA_PROVENANCE_SNAPSHOT_CHECKLIST_v01.csv",""
"FROZEN_Q1_FIA_T2_2023_USER_DOWNLOAD_PLAN_v01.csv","FROZEN_SOURCE_PLAN","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\manifests\source_plans\FROZEN_Q1_FIA_T2_2023_USER_DOWNLOAD_PLAN_v01.csv","12944","8e5f22b07e175eb47fe28680416eadce2bdd426fc7e4e5d3caac58d1b632f8c2","YES","RELAY_COMPACT_EVIDENCE","source_plans/FROZEN_Q1_FIA_T2_2023_USER_DOWNLOAD_PLAN_v01.csv",""
"prov_FIA_DATAMART_LANDING_20260903.html.e0c9d8ab5b78.headers.txt","HTTP_RESPONSE_HEADERS","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\prov_FIA_DATAMART_LANDING_20260903.html.e0c9d8ab5b78.headers.txt","1040","e7fb158ad9e2b05bc8d902c315ebab93a26a9711623a54b2476b025b1458ce80","YES","RELAY_COMPACT_EVIDENCE","http_headers/prov_FIA_DATAMART_LANDING_20260903.html.e0c9d8ab5b78.headers.txt",""
