"CHECK_ID","STATUS","DETAILS"
"RAW_PLAN_COUNT_24","PASS","count=24"
"RAW_PLAN_3_STATES_X_8_TABLES","PASS","California, Oregon, Washington; exactly eight whitelist tables each; validated before download."
"TREE_NOT_DOWNLOADED","PASS","TREE absent from embedded plan."
"NATIONAL_SQLITE_NOT_DOWNLOADED","PASS","No SQLite/national endpoint present in embedded plan."
"RAW_TABLE_ZIPS_FROZEN","PASS","successful_or_verified=24/24"
"RAW_ZIP_STRUCTURE_VALIDATED","PASS","Each successful raw asset opened as ZIP and contained the expected state_table.csv entry."
"PROVENANCE_PLAN_COUNT_9","PASS","count=9"
"PROVENANCE_BODIES_FROZEN","PASS","successful_or_verified=9/9"
"FAILED_ITEMS","PASS","failed_items=0; failures are isolated and preserved in logs/failed_responses when server returned a body."
"SCOPE_NO_ANALYSIS","PASS","Script performs HTTP acquisition, ZIP structural validation, hashing, manifests and QC only; no table extraction or scientific analysis."
