"KEY","RUN_ID","ITEM_TYPE","NAME","STATE","TABLE","REQUEST_URL","TARGET_PATH","STATUS","ATTEMPTS","HTTP_STATUS","BYTES","SHA256","MESSAGE","CHECKED_AT"
"PROV|FIA_DATAMART_LANDING_20260903.html","e0c9d8ab5b78","PROVENANCE_SNAPSHOT","FIA_DATAMART_LANDING_20260903.html","","","https://research.fs.usda.gov/products/dataandtools/fia-datamart","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\FIA_DATAMART_LANDING_20260903.html","DOWNLOADED_FROZEN","1","200","69811","ccdfbfa171a263e8d2e8ed16c80156d8b97e93a23e42a094f7a1187dace6a400","HTTP 200 response body saved byte-for-byte as received by HttpClient with Accept-Encoding: identity; no prettification or body reconstruction. Headers saved separately.","2026-09-03T15:22:46.7233963+08:00"
"PROV|FIA_DATAMART_LOG_20260903.txt","e0c9d8ab5b78","PROVENANCE_SNAPSHOT","FIA_DATAMART_LOG_20260903.txt","","","https://apps.fs.usda.gov/fia/datamart/DataMart_log.txt","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\FIA_DATAMART_LOG_20260903.txt","DOWNLOADED_FROZEN","1","200","413514","7ad587d3da780d172dfdb602f90937a94625f25727c6dabd5772a2c17e4d8aaf","HTTP 200 response body saved byte-for-byte as received by HttpClient with Accept-Encoding: identity; no prettification or body reconstruction. Headers saved separately.","2026-09-03T15:22:51.0871488+08:00"
"PROV|FIA_DATAMART_WRAPPER_20260903.html","e0c9d8ab5b78","PROVENANCE_SNAPSHOT","FIA_DATAMART_WRAPPER_20260903.html","","","https://apps.fs.usda.gov/fia/datamart/datamart.html","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\FIA_DATAMART_WRAPPER_20260903.html","DOWNLOADED_FROZEN","1","200","752","69cbdacbdd4e5798867822c6c8fd869dc24189d1067143a1852bbd5d68451ee5","HTTP 200 response body saved byte-for-byte as received by HttpClient with Accept-Encoding: identity; no prettification or body reconstruction. Headers saved separately.","2026-09-03T15:22:48.0701379+08:00"
"PROV|FIADB_API_DOCUMENTATION_20260903.html","e0c9d8ab5b78","PROVENANCE_SNAPSHOT","FIADB_API_DOCUMENTATION_20260903.html","","","https://apps.fs.usda.gov/fiadb-api","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\FIADB_API_DOCUMENTATION_20260903.html","DOWNLOADED_FROZEN","1","200","27844","495e9bcb1704cd69e030bf119caecabeade02cd92ca9bc39d13515466f559507","HTTP 200 response body saved byte-for-byte as received by HttpClient with Accept-Encoding: identity; no prettification or body reconstruction. Headers saved separately.","2026-09-03T15:22:32.8570526+08:00"
"PROV|FIADB_API_WC_20260903.html","e0c9d8ab5b78","PROVENANCE_SNAPSHOT","FIADB_API_WC_20260903.html","","","https://apps.fs.usda.gov/fiadb-api/fullreport/parameters/wc","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\FIADB_API_WC_20260903.html","DOWNLOADED_FROZEN","1","200","343899","97a0ed9cceef123cbcb1db5c5142f6b2234b1818e2594291b0fb49815e59f2fc","HTTP 200 response body saved byte-for-byte as received by HttpClient with Accept-Encoding: identity; no prettification or body reconstruction. Headers saved separately.","2026-09-03T15:22:38.3785136+08:00"
"PROV|FIADB_UPDATE_HISTORY_CA_OR_WA_20260903.html","e0c9d8ab5b78","PROVENANCE_SNAPSHOT","FIADB_UPDATE_HISTORY_CA_OR_WA_20260903.html","","","https://apps.fs.usda.gov/fiadb-api/fiadb_update_history?statecd=06,41,53","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\FIADB_UPDATE_HISTORY_CA_OR_WA_20260903.html","DOWNLOADED_FROZEN","1","200","21347","413236c3faaedf50c88f674c5046d9af56cf3e98a23182df663205962e21bb82","HTTP 200 response body saved byte-for-byte as received by HttpClient with Accept-Encoding: identity; no prettification or body reconstruction. Headers saved separately.","2026-09-03T15:22:40.2928528+08:00"
"PROV|PNW_FIADB_CA_OR_WA_DATABASE_PAGE_20260903.html","e0c9d8ab5b78","PROVENANCE_SNAPSHOT","PNW_FIADB_CA_OR_WA_DATABASE_PAGE_20260903.html","","","https://research.fs.usda.gov/pnw/products/dataandtools/pnw-fiadb-forest-inventory-and-analysis-databases","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\PNW_FIADB_CA_OR_WA_DATABASE_PAGE_20260903.html","DOWNLOADED_FROZEN","1","200","112407","1ca5f73a455a02bff12c14220b67ef72794432bedbef51edc9b32031b55ebdeb","HTTP 200 response body saved byte-for-byte as received by HttpClient with Accept-Encoding: identity; no prettification or body reconstruction. Headers saved separately.","2026-09-03T15:22:43.1123740+08:00"
"PROV|USFS_DATA_HUB_FIADB_ITEM_20260903.html","e0c9d8ab5b78","PROVENANCE_SNAPSHOT","USFS_DATA_HUB_FIADB_ITEM_20260903.html","","","https://data-usfs.hub.arcgis.com/documents/usfs::forest-inventory-and-analysis-database","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\USFS_DATA_HUB_FIADB_ITEM_20260903.html","DOWNLOADED_FROZEN","1","200","60755","b940703e511245e50320a2271e53ce17e6e4b73cf5376cef0fa325912e4c8ef7","HTTP 200 response body saved byte-for-byte as received by HttpClient with Accept-Encoding: identity; no prettification or body reconstruction. Headers saved separately.","2026-09-03T15:22:56.5535669+08:00"
"PROV|USFS_FIESTA_DATAMART_DB_TOOLS_20260903.html","e0c9d8ab5b78","PROVENANCE_SNAPSHOT","USFS_FIESTA_DATAMART_DB_TOOLS_20260903.html","","","https://usdaforestservice.github.io/FIESTA/articles/FIESTA_tutorial_DB.html","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\provenance_snapshots\USFS_FIESTA_DATAMART_DB_TOOLS_20260903.html","DOWNLOADED_FROZEN","1","200","139852","df85982fe3b5b8469f785ab8eddd49bd4cc226b27cdb9e6a0c0096e6b10121da","HTTP 200 response body saved byte-for-byte as received by HttpClient with Accept-Encoding: identity; no prettification or body reconstruction. Headers saved separately.","2026-09-03T15:22:54.4354879+08:00"
"RAW|CA|PLOT","e0c9d8ab5b78","RAW_TABLE_ZIP","CA_PLOT.zip","California","PLOT","https://apps.fs.usda.gov/fia/datamart/CSV/CA_PLOT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_PLOT.zip","DOWNLOADED_FROZEN","1","200","1581030","1d0516792da09c73175b2e8affe1a727d98586a11d3d13a646a9e385396beaad","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:20:25.9104807+08:00"
"RAW|CA|POP_ESTN_UNIT","e0c9d8ab5b78","RAW_TABLE_ZIP","CA_POP_ESTN_UNIT.zip","California","POP_ESTN_UNIT","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_ESTN_UNIT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_ESTN_UNIT.zip","DOWNLOADED_FROZEN","1","200","1884","9b56b2f685adc83fce78a80f1fb98a8c2d3f45a13caf0b7320c86f080aa75fd5","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:16:45.7657085+08:00"
"RAW|CA|POP_EVAL","e0c9d8ab5b78","RAW_TABLE_ZIP","CA_POP_EVAL.zip","California","POP_EVAL","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_EVAL.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_EVAL.zip","DOWNLOADED_FROZEN","1","200","1397","e917a042d4338881171368e8788514610b41a0a15321e9c1c227338c5ce4daf9","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking.","2026-09-03T15:16:44.4191793+08:00"
