"KEY","STATE","STATE_ABBR","TABLE","REQUEST_URL","FINAL_URL","LOCAL_FILE","HEADERS_LOCAL_PATH","HEADERS_SHA256","BYTES","SHA256","HTTP_STATUS","CONTENT_TYPE","CONTENT_LENGTH","ETAG","LAST_MODIFIED","RETRIEVED_AT_UTC","RETRIEVED_AT_LOCAL","VERIFIED_AT_LOCAL","ZIP_VALID","ZIP_ENTRY_COUNT","EXPECTED_CSV_ENTRY_PRESENT","SCIENTIFIC_ROLE","COMPONENT_EVALID_ROLE","IMMUTABLE_STATUS","DOWNLOAD_STATUS","NOTES"
"RAW|CA|PLOT","California","CA","PLOT","https://apps.fs.usda.gov/fia/datamart/CSV/CA_PLOT.zip","https://apps.fs.usda.gov/fia/datamart/CSV/CA_PLOT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_PLOT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_PLOT.zip.e0c9d8ab5b78.headers.txt","ab22dd45fcd3a45be0299767cbb39f9a0c9298dd645b7e5bf4d477be085b9b77","1581030","1d0516792da09c73175b2e8affe1a727d98586a11d3d13a646a9e385396beaad","200","application/x-zip-compressed","1581030","""b63290f9463add1:0""","Tue, 01 Sep 2026 19:20:40 GMT","2026-09-03T07:19:48.2567547Z","2026-09-03T15:19:48.2562455+08:00","2026-09-03T15:20:25.9104807+08:00","TRUE","1","TRUE","Plot identifiers and survey/inventory metadata needed by downstream bounded D09C","SUPPORTING","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|CA|POP_ESTN_UNIT","California","CA","POP_ESTN_UNIT","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_ESTN_UNIT.zip","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_ESTN_UNIT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_ESTN_UNIT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_POP_ESTN_UNIT.zip.e0c9d8ab5b78.headers.txt","09ec68ec8af47b38f1f46d71591104c9b4f3df72bcc6700260cfa16f7c7ccc54","1884","9b56b2f685adc83fce78a80f1fb98a8c2d3f45a13caf0b7320c86f080aa75fd5","200","application/x-zip-compressed","1884","""1c7a801f473add1:0""","Tue, 01 Sep 2026 19:21:43 GMT","2026-09-03T07:16:45.7534003Z","2026-09-03T15:16:45.7528944+08:00","2026-09-03T15:16:45.7657085+08:00","TRUE","1","TRUE","Estimation-unit design metadata","SUPPORTING","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|CA|POP_EVAL","California","CA","POP_EVAL","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_EVAL.zip","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_EVAL.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_EVAL.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_POP_EVAL.zip.e0c9d8ab5b78.headers.txt","198aafe5e693cb8ac8e66d321f2b9971eb48c5b932c0813f9488e4a51ee50bb0","1397","e917a042d4338881171368e8788514610b41a0a15321e9c1c227338c5ce4daf9","200","application/x-zip-compressed","1397","""a0d5db1f473add1:0""","Tue, 01 Sep 2026 19:21:44 GMT","2026-09-03T07:16:44.4043248Z","2026-09-03T15:16:44.4043248+08:00","2026-09-03T15:16:44.4191793+08:00","TRUE","1","TRUE","Component evaluation records; contains EVALID and inventory-span metadata","PRIMARY","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|CA|POP_EVAL_GRP","California","CA","POP_EVAL_GRP","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_EVAL_GRP.zip","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_EVAL_GRP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_EVAL_GRP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_POP_EVAL_GRP.zip.e0c9d8ab5b78.headers.txt","6dd71afe714b1127c8620c62e5c63c203a53e9369c004aaa89a0e936fd111811","773","03b07475eed35be708307355fb1cbe397bcfaa0405a165a87b1da653d8ff3b5a","200","application/x-zip-compressed","773","""4f329620473add1:0""","Tue, 01 Sep 2026 19:21:45 GMT","2026-09-03T07:16:38.5075046Z","2026-09-03T15:16:38.5075046+08:00","2026-09-03T15:16:38.6607291+08:00","TRUE","1","TRUE","Evaluation-group record and group CN","PRIMARY","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|CA|POP_EVAL_TYP","California","CA","POP_EVAL_TYP","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_EVAL_TYP.zip","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_EVAL_TYP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_EVAL_TYP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_POP_EVAL_TYP.zip.e0c9d8ab5b78.headers.txt","ca3e123db6e83bec40ebef414e9ec561cd0489ebb64a7cfdc452662d09ea7ce0","1150","7b105e99ed84779062bc8b00a3ac289fcbc32a4e3e27ac3854a35e010eedbda9","200","application/x-zip-compressed","1150","""d9abf920473add1:0""","Tue, 01 Sep 2026 19:21:46 GMT","2026-09-03T07:16:40.0349414Z","2026-09-03T15:16:40.0349414+08:00","2026-09-03T15:16:40.0438778+08:00","TRUE","1","TRUE","Official group-to-evaluation membership bridge and evaluation type","PRIMARY","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|CA|POP_PLOT_STRATUM_ASSGN","California","CA","POP_PLOT_STRATUM_ASSGN","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_PLOT_STRATUM_ASSGN.zip","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_PLOT_STRATUM_ASSGN.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_PLOT_STRATUM_ASSGN.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_POP_PLOT_STRATUM_ASSGN.zip.e0c9d8ab5b78.headers.txt","1967da8668ddedf1d272d86ef466b7acf6a9da1d3b96395482dba2e76293cc48","6520344","b402c4af76cd67d38b6cde9e22ca239dd84c917e4369c170e5871de8b1f71d8b","200","application/x-zip-compressed","6520344","""356eb934473add1:0""","Tue, 01 Sep 2026 19:22:19 GMT","2026-09-03T07:17:03.1305741Z","2026-09-03T15:17:03.1305741+08:00","2026-09-03T15:19:41.3077927+08:00","TRUE","1","TRUE","Plot-to-stratum/estimation-unit assignment and EVALID membership","DIRECT_CROSSCHECK","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|CA|POP_STRATUM","California","CA","POP_STRATUM","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_STRATUM.zip","https://apps.fs.usda.gov/fia/datamart/CSV/CA_POP_STRATUM.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_STRATUM.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_POP_STRATUM.zip.e0c9d8ab5b78.headers.txt","9891c724edbe72fff37fe896e8dcc2b5a2ef47e6ec21d17fbe80c29b86b24371","332407","db7a42b9a5e72800b2ce3a0aa22dd9c918f750a53e5ba2d50422020ea3fefa1d","200","application/x-zip-compressed","332407","""a6d21d41473add1:0""","Tue, 01 Sep 2026 19:22:40 GMT","2026-09-03T07:16:47.7954720Z","2026-09-03T15:16:47.7954720+08:00","2026-09-03T15:17:01.8150483+08:00","TRUE","1","TRUE","Stratum design metadata","SUPPORTING","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|CA|SURVEY","California","CA","SURVEY","https://apps.fs.usda.gov/fia/datamart/CSV/CA_SURVEY.zip","https://apps.fs.usda.gov/fia/datamart/CSV/CA_SURVEY.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_SURVEY.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_CA_SURVEY.zip.e0c9d8ab5b78.headers.txt","604c0c68ae3ddd50893ef7532d6e64603cf3be0658295700414eba35aa6c3306","1701","32f69a2e894013603c9a27a8e30462c09a420e7974d10bdd317c1e83bdbc7d1d","200","application/x-zip-compressed","1701","""ba3d546b473add1:0""","Tue, 01 Sep 2026 19:23:50 GMT","2026-09-03T07:20:27.2646160Z","2026-09-03T15:20:27.2646160+08:00","2026-09-03T15:20:27.2773421+08:00","TRUE","1","TRUE","Survey/inventory-year metadata","SUPPORTING","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|OR|PLOT","Oregon","OR","PLOT","https://apps.fs.usda.gov/fia/datamart/CSV/OR_PLOT.zip","https://apps.fs.usda.gov/fia/datamart/CSV/OR_PLOT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_PLOT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_PLOT.zip.e0c9d8ab5b78.headers.txt","55ed46fe9640fd282520957d461de36f62984850d605a18dbcbbe39086e1e8c9","1462284","e92e8ee1fb6c0fd4934c375fed3b1df4685cc0c0c07f7f10180ba57d0937db15","200","application/x-zip-compressed","1462284","""91ac79f713add1:0""","Wed, 02 Sep 2026 00:25:57 GMT","2026-09-03T07:21:47.5926586Z","2026-09-03T15:21:47.5926586+08:00","2026-09-03T15:21:59.4281567+08:00","TRUE","1","TRUE","Plot identifiers and survey/inventory metadata needed by downstream bounded D09C","SUPPORTING","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|OR|POP_ESTN_UNIT","Oregon","OR","POP_ESTN_UNIT","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_ESTN_UNIT.zip","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_ESTN_UNIT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_ESTN_UNIT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_POP_ESTN_UNIT.zip.e0c9d8ab5b78.headers.txt","be13c1dfd23bd42c939c57a5782fed4e5957d0a7c080a546862734b630c69caa","1832","629f9e111069d351c89b65b319e5fdc7c7bbd010df8d360311d0b94591aa3d59","200","application/x-zip-compressed","1832","""ced9a5bb713add1:0""","Wed, 02 Sep 2026 00:26:44 GMT","2026-09-03T07:20:37.3880505Z","2026-09-03T15:20:37.3880505+08:00","2026-09-03T15:20:37.4002175+08:00","TRUE","1","TRUE","Estimation-unit design metadata","SUPPORTING","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|OR|POP_EVAL","Oregon","OR","POP_EVAL","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_EVAL.zip","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_EVAL.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_EVAL.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_POP_EVAL.zip.e0c9d8ab5b78.headers.txt","9f8086f2dced8737a526ebc6fe5dbaecd16be7a55a604acb58b3801cfad4219d","1458","d1d4d2ac1bcc263d89b7fac25c06a001111db9c8f3f31402f3a0339a214ddbbb","200","application/x-zip-compressed","1458","""50a6fcbb713add1:0""","Wed, 02 Sep 2026 00:26:45 GMT","2026-09-03T07:20:34.4873311Z","2026-09-03T15:20:34.4868264+08:00","2026-09-03T15:20:34.5049563+08:00","TRUE","1","TRUE","Component evaluation records; contains EVALID and inventory-span metadata","PRIMARY","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|OR|POP_EVAL_GRP","Oregon","OR","POP_EVAL_GRP","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_EVAL_GRP.zip","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_EVAL_GRP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_EVAL_GRP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_POP_EVAL_GRP.zip.e0c9d8ab5b78.headers.txt","722bc0053ca5e7b8174b1f180b090e5dbe976d1e58f9d140656442a60dead1f6","837","0b3e6f266d39017e2e4219a32421a75c7644ef0078941dd7c41188092a011784","200","application/x-zip-compressed","837","""cdb291bf713add1:0""","Wed, 02 Sep 2026 00:26:51 GMT","2026-09-03T07:20:28.6290909Z","2026-09-03T15:20:28.6290909+08:00","2026-09-03T15:20:28.6409497+08:00","TRUE","1","TRUE","Evaluation-group record and group CN","PRIMARY","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|OR|POP_EVAL_TYP","Oregon","OR","POP_EVAL_TYP","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_EVAL_TYP.zip","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_EVAL_TYP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_EVAL_TYP.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_POP_EVAL_TYP.zip.e0c9d8ab5b78.headers.txt","bad890b55dabc59d414e13c6e779b562b6df5acfb04d22873d14d2ce171e234f","1134","e5d157bb2ebf6590af76883682ea6d9f7762393f8cdac1f39bc95ce76bd2cc87","200","application/x-zip-compressed","1134","""2e641c0713add1:0""","Wed, 02 Sep 2026 00:26:51 GMT","2026-09-03T07:20:32.6192754Z","2026-09-03T15:20:32.6192754+08:00","2026-09-03T15:20:32.6322163+08:00","TRUE","1","TRUE","Official group-to-evaluation membership bridge and evaluation type","PRIMARY","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|OR|POP_PLOT_STRATUM_ASSGN","Oregon","OR","POP_PLOT_STRATUM_ASSGN","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_PLOT_STRATUM_ASSGN.zip","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_PLOT_STRATUM_ASSGN.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_PLOT_STRATUM_ASSGN.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_POP_PLOT_STRATUM_ASSGN.zip.e0c9d8ab5b78.headers.txt","9c94f4b989f4fc7f59e8486fe26f6626a412d484c75c183e51081760e36a6058","6064878","d51b8e22273bc285c8a6ab5b9ea28e23aaffe9de1e95806d68e79392da747663","200","application/x-zip-compressed","6064878","""25bf37d0713add1:0""","Wed, 02 Sep 2026 00:27:19 GMT","2026-09-03T07:20:41.5402822Z","2026-09-03T15:20:41.5402822+08:00","2026-09-03T15:21:43.5042474+08:00","TRUE","1","TRUE","Plot-to-stratum/estimation-unit assignment and EVALID membership","DIRECT_CROSSCHECK","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|OR|POP_STRATUM","Oregon","OR","POP_STRATUM","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_STRATUM.zip","https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_STRATUM.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_POP_STRATUM.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_POP_STRATUM.zip.e0c9d8ab5b78.headers.txt","16eca4be0341bb8fdce3f04a2445dfd7be9d96395b2419054d3207c6e0b1702b","235280","dfe587a2df21c693282474f1c60bba94bcf4a7cc911f18b168a4758c58fd5de1","200","application/x-zip-compressed","235280","""2c8739d1713add1:0""","Wed, 02 Sep 2026 00:27:20 GMT","2026-09-03T07:20:39.2725910Z","2026-09-03T15:20:39.2725910+08:00","2026-09-03T15:20:40.2338182+08:00","TRUE","1","TRUE","Stratum design metadata","SUPPORTING","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|OR|SURVEY","Oregon","OR","SURVEY","https://apps.fs.usda.gov/fia/datamart/CSV/OR_SURVEY.zip","https://apps.fs.usda.gov/fia/datamart/CSV/OR_SURVEY.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\OR_SURVEY.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_OR_SURVEY.zip.e0c9d8ab5b78.headers.txt","33921e3e837498b23ee3d85cb64776c05f96ad911eabdf9224c6341338aff87c","1958","942c5183a2c0340e854dd9d85b5750cbad304fb58b66106aafd3c8948a31e43f","200","application/x-zip-compressed","1958","""be525efd713add1:0""","Wed, 02 Sep 2026 00:28:34 GMT","2026-09-03T07:22:00.7280334Z","2026-09-03T15:22:00.7280334+08:00","2026-09-03T15:22:00.7416386+08:00","TRUE","1","TRUE","Survey/inventory-year metadata","SUPPORTING","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
"RAW|WA|PLOT","Washington","WA","PLOT","https://apps.fs.usda.gov/fia/datamart/CSV/WA_PLOT.zip","https://apps.fs.usda.gov/fia/datamart/CSV/WA_PLOT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\WA_PLOT.zip","C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\http_headers\raw_WA_PLOT.zip.e0c9d8ab5b78.headers.txt","35c067924d5e18a8b42b9f67f264bf6f3a825f7cc2a130cba5bc31b7de8fa4fc","848326","0b572645a39a1ebf18b23dbbba26e1eaf3e89cc389aa66f4206f1cb47dc46adb","200","application/x-zip-compressed","848326","""40b5d4f823add1:0""","Wed, 02 Sep 2026 02:25:24 GMT","2026-09-03T07:22:26.3955960Z","2026-09-03T15:22:26.3950551+08:00","2026-09-03T15:22:29.8400533+08:00","TRUE","1","TRUE","Plot identifiers and survey/inventory metadata needed by downstream bounded D09C","SUPPORTING","ORIGINAL_FILE_PRESERVED","DOWNLOADED_FROZEN","HTTP 200; byte count checked when Content-Length supplied; ZIP opened successfully; expected CSV entry present; original ZIP frozen without extraction/repacking."
